Ticker,Trades,Win_Rate,Avg_PnL,Median_PnL,Avg_Drop,Avg_ATR,Avg_Volume,Avg_Drop_ATR
AAPL,16,50.0,0.53240057163275,-0.07551741073243409,-2.7851829065568356,2.2315401695747563,1.2206177148386719,1.296835331479239
ABBV,15,33.33333333333333,-0.3377905952122217,-2.0000000000000018,-2.9050382994108537,2.2854383521849972,1.4599177829242351,1.3206833835949126
ADBE,20,40.0,0.39999999999999897,-2.0000000000000018,-3.5534346818697786,2.9563068789951146,1.6440707130550873,1.2430928023489554
AMD,42,45.23809523809524,0.7142857142857145,-1.999999999999991,-4.084124091175352,4.916774701986173,1.2427705520863281,0.8336948126412478
AMT,12,25.0,-0.5000000000000012,-2.0000000000000018,-2.981263265492178,2.7216778992442077,1.5438398460317007,1.1170528477136967
AMZN,34,41.17647058823529,0.302822717193847,-1.999999999999991,-3.229694332140787,2.658521524250509,1.3737827146594364,1.214453545596772
AVGO,46,30.434782608695656,-0.27616418228716055,-2.0000000000000018,-3.6788510077417906,3.647361254803594,1.4662518279094234,1.0292335282253953
BA,25,36.0,0.012557402946099997,-2.0000000000000018,-3.271551935068756,2.9747247945120763,1.5613458937267064,1.1192531225166293
BAC,23,21.73913043478261,-0.7178332384238904,-2.0000000000000018,-2.677499867005459,2.181975563040242,1.2837796437142506,1.233377204932245
BLK,24,45.83333333333333,0.199138852415642,-0.8594150557766801,-2.8587685173544783,2.294402876663637,1.3742948139679065,1.2899721112391318
CAT,43,37.2093023255814,0.10393577306216514,-2.0000000000000018,-3.383173179265526,2.9055737576517955,1.374668342738197,1.1829402351500269
COP,35,42.857142857142854,0.3822884818914177,-2.0000000000000018,-2.8277329766102195,3.111542463496668,1.2268297155968804,0.9538921059764054
COST,24,41.66666666666667,0.13554863362695166,-1.434022796749601,-3.0732552163213427,2.0514218287847563,1.60440418524656,1.5246276617446692
CRM,24,45.83333333333333,0.6036525860541891,-1.0531454465214918,-3.2383849778273324,3.114114507149677,1.3736780500944032,1.1007082004768605
CVX,29,37.93103448275862,0.06113096330412828,-2.0000000000000018,-2.950033102144849,2.4081101259546043,1.427362683736513,1.2697143946452074
DIS,14,28.57142857142857,-0.6848580904089684,-2.0000000000000018,-2.7410218860214806,2.336025821739632,1.2343385124564514,1.2121037301706201
DUK,11,45.45454545454545,-0.030877957234285516,-2.0000000000000018,-2.5074399963947758,1.867726155032728,1.6103838737349818,1.3368899833374999
GE,29,44.827586206896555,0.5277181984861304,-1.999999999999991,-2.8396513637313423,2.639691689467247,1.3417673873444196,1.1007673059495335
GOOGL,35,51.42857142857142,0.8194073074488212,0.4670277370526055,-3.3315345695746794,2.78784231859733,1.4856196256596692,1.2137350098918016
GS,26,42.30769230769231,0.33794905422877236,-1.999999999999991,-3.1370411045091293,2.5566517056803977,1.3882635370536438,1.2424107059478549
HD,15,40.0,0.4000000000000007,-2.0000000000000018,-2.584876255150851,2.410200157968281,1.2707408739607855,1.1123122210238854
HON,15,40.0,-0.0047473441961718875,-1.999999999999991,-2.8468079900667176,2.2581326413804206,1.389752456499267,1.3454713623411019
JNJ,12,66.66666666666666,1.2241791106269886,1.4707385408860296,-2.734177825747695,2.020301803123268,1.562537572440691,1.3793361369186068
JPM,21,42.857142857142854,0.03425130601212946,-0.4735654942013667,-2.954135521637658,2.0167669662538272,1.4128326476772823,1.491061136237244
KO,9,55.55555555555556,0.6497985831820215,0.8911623631083776,-2.8052185222851045,1.8795550051082281,1.279850337806443,1.5251532128451084
LLY,35,45.714285714285715,0.4665862703350611,-1.999999999999991,-3.085523331875765,2.8345836469573014,1.4289593829097411,1.1113904343406982
LOW,15,60.0,1.3779555538614352,3.5886155321553925,-2.8473253935143275,2.608799320663595,1.287606497229315,1.1244167994189884
MA,11,27.27272727272727,-0.587828153193449,-2.0000000000000018,-3.000244209768256,2.249834346443693,1.5651891452997047,1.5086421260800045
MCD,10,40.0,-0.6161921086681954,-1.217221254471923,-2.7073637045639223,1.9266345422328761,1.7009905830178425,1.4959298547714335
META,29,51.724137931034484,0.951762822607321,0.7723677785772987,-3.005033142677922,2.820180197216649,1.3037302626232616,1.0913846887917766
MRK,11,54.54545454545454,0.7220264313150737,0.3907580183502901,-2.9454018262165396,2.327139584493069,1.2846763132617531,1.3486199532914023
MS,28,35.714285714285715,-0.3331569496629097,-1.9999999999999964,-2.8497863437966715,2.4662523626971833,1.3532870309552456,1.1773235319020074
MSFT,25,36.0,-0.2854943979664467,-2.0000000000000018,-2.9643865189781877,2.2219494458760805,1.4417389546908044,1.366427713906922
NEE,23,39.130434782608695,-0.35179206702601507,-2.0000000000000018,-2.9489319659870294,2.446726699244691,1.5397789337328973,1.2089022744142957
NFLX,31,51.61290322580645,0.6030556803745996,0.5876844759070243,-3.4463675132484277,2.98433276478732,1.4746674465845535,1.1683005028122777
NKE,18,22.22222222222222,-0.7322429529937593,-1.9999999999999964,-2.9126875677733075,2.573929927812033,1.3203092810284576,1.1463155248362003
NVDA,70,48.57142857142857,0.9335235351207627,-1.3266762707733362,-3.8380574149101556,4.009586401061365,1.2534284289740407,0.9795390237299374
ORCL,33,33.33333333333333,-0.0895504357916001,-1.999999999999991,-3.9811684400499967,3.75363368180304,1.3965461538396247,1.187001496219213
PEP,15,60.0,0.7305828669349407,0.3863408907124555,-2.589992848355637,1.866555366765044,1.4140859513713477,1.4625545054195626
PFE,17,29.411764705882355,-0.145797729732877,-1.999999999999991,-3.2120134419655733,2.8746491886613885,1.4339978751274876,1.1635480144064463
PLD,23,30.434782608695656,-0.19734308093454256,-1.999999999999991,-2.9472541804390016,2.475618459367243,1.5571553813191763,1.1773631317569044
TSLA,45,44.44444444444444,0.6666666666666685,-1.999999999999991,-4.8604226215921305,4.81707056696565,1.201423726217506,1.0058220003392455
UNH,15,46.666666666666664,0.6276748005364754,-0.3604865608292984,-2.8225669550464536,2.329613427142713,1.4112760674387996,1.2337584753935886
UPS,18,38.88888888888889,0.4990541325654565,-1.3911237327843717,-3.0333232339394383,2.295192549219215,1.3702702696249642,1.3581995263400475
V,14,50.0,0.5208533305782035,-0.4875820537631971,-2.9393505665869704,2.0361018171408016,1.5491045003525359,1.5446330546201261
WMT,16,43.75,0.35254110554282464,-0.2922785293251018,-2.9801554152776473,2.0053309219414874,1.6660328256150614,1.5035625488953994
XOM,37,43.24324324324324,0.5070678008797852,-0.8121955746894449,-3.3030212787463658,2.6895155730834572,1.2213246996310956,1.2424752182616285
