Strategy,Initial_Capital,Final_Equity,Total_Return,Total_PnL_Dollars,Trades,Win_Rate,Avg_PnL_Pct,Median_PnL_Pct,Profit_Factor,Expectancy_Dollars,Max_Drawdown,Sharpe
BASE,10000.0,12247.401204553562,0.2247401204553563,2247.401204553533,1258,0.39507154213036566,0.0009298317661094391,-0.0199999999999999,1.0750549725500662,1.7864874440012137,-0.2597805454581825,0.30305512556281394
SCORE_3,10000.0,11931.847917662857,0.19318479176628567,1931.847917662857,1179,0.3969465648854962,0.0008724325970762179,-0.0199999999999999,1.069061228999648,1.6385478521313495,-0.23513259462234493,0.2847681576077989
SCORE_4,10000.0,13199.73673418673,0.3199736734186731,3199.7367341866975,876,0.4143835616438356,0.0017038136239810693,-0.0199999999999999,1.146754581318155,3.6526675047793375,-0.10288747804018838,0.49116386838979637
SCORE_5,10000.0,11893.169350075723,0.1893169350075723,1893.1693500757326,305,0.46229508196721314,0.0029324652652395183,-0.0102957486625397,1.284158896563559,6.207112623199134,-0.05718978235287897,0.5445114470193769
