Ticker,Sector,Final_Capital,Strategy_Return,Buy_Hold,Max_Drawdown,Trades,Win_Rate,Avg_Win,Avg_Loss,Expectancy,TP,SL,TIME,FINAL
AAPL,Technology,10169.555529702844,1.6955552970284504,111.60430706027623,-2.358478202543024,16,50.0,2.847345340297575,-1.7825441970320752,0.5324005716327498,5,7,4,0
MSFT,Technology,9855.29168908198,-1.4470831091802028,66.36891886701804,-3.04670010955137,25,36.0,2.7625155612043164,-2.000000000000001,-0.2854943979664468,4,16,5,0
NVDA,Technology,11380.65008840603,13.806500884060302,870.887673380427,-2.5378092120570406,70,48.57142857142857,4.0000000000000036,-1.9625931261540768,0.9335235351207625,34,35,0,1
AVGO,Technology,9742.831872560848,-2.571681274391524,651.5348709016916,-6.167104236471066,46,30.434782608695656,3.6640319724850494,-2.000000000000003,-0.276164182287161,11,32,3,0
ORCL,Technology,9936.68447179471,-0.6331552820528996,57.37194044722524,-3.6815674518341224,33,33.33333333333333,3.4451937773097385,-1.8569225423422695,-0.08955043579160038,8,19,6,0
CRM,Technology,10289.915675730212,2.8991567573021237,-2.286582882636312,-1.6815487461718348,24,45.83333333333333,3.508541178031228,-1.854330068695614,0.6036525860541886,9,12,3,0
ADBE,Technology,10157.721888310629,1.5772188831062905,-56.95715270414645,-1.9869492651135578,20,40.0,4.0000000000000036,-2.000000000000004,0.399999999999999,8,12,0,0
AMD,Technology,10601.390354841355,6.013903548413535,320.8882767363126,-2.047621470928074,42,45.23809523809524,4.000000000000003,-2.0000000000000027,0.7142857142857137,19,23,0,0
GOOGL,Communication,10549.386578449,5.493865784490004,133.81045246253726,-1.4231013902477052,35,51.42857142857142,3.457772123642744,-1.9741554391094505,0.8194073074488206,13,16,6,0
META,Communication,10570.33124734794,5.703312473479394,54.162220184717214,-1.4670485783336962,29,51.724137931034484,3.62915532029962,-1.9168719963487153,0.9517628226073204,13,13,3,0
NFLX,Communication,10367.551817021103,3.675518170211034,37.30353952445753,-2.2836468713890556,31,51.61290322580645,3.043420380725788,-2.0000000000000013,0.6030556803745994,11,15,5,0
DIS,Communication,9808.582779121232,-1.914172208787679,-41.592433265032646,-2.504281228383798,14,28.57142857142857,2.6029966835686142,-2.000000000000002,-0.684858090408969,2,10,2,0
AMZN,Consumer,10202.619200209152,2.0261920020915314,47.21984195914823,-3.9650157434969024,34,41.17647058823529,3.5202031308104034,-1.9493435723377424,0.3028227171938469,11,19,3,1
TSLA,Consumer,10626.256285390029,6.2625628539003,45.86080744512386,-2.798191689428331,45,44.44444444444444,4.000000000000003,-2.0,0.6666666666666676,20,25,0,0
HD,Consumer,10118.059721079484,1.1805972107948426,-2.4318061445609884,-2.011671662472214,15,40.0,4.0000000000000036,-2.0000000000000018,0.40000000000000036,6,9,0,0
NKE,Consumer,9737.87005069001,-2.6212994930999045,-76.70923238323978,-3.0057128998324467,18,22.22222222222222,3.2553104490289195,-1.871543925000239,-0.7322429529937595,3,13,2,0
MCD,Consumer,9876.965477814492,-1.230345221855078,8.854792457055026,-1.3366592387130227,10,40.0,1.068130355565472,-1.7390737514906405,-0.6161921086681954,0,5,5,0
LOW,Consumer,10401.87229060406,4.018722906040595,-2.959006075833115,-1.0243882715003205,15,60.0,3.6299259231023893,-1.9999999999999962,1.377955553861435,7,6,2,0
JPM,Financials,10012.192185534583,0.12192185534583011,121.20777599117223,-2.091515321949644,21,42.857142857142854,2.3815566903387584,-1.7262277322328423,0.034251306012129445,3,10,8,0
BAC,Financials,9672.973217071522,-3.2702678292847898,51.12140659845903,-4.091168428196457,23,21.73913043478261,3.1570802057065928,-1.794198084015691,-0.7178332384238904,2,15,6,0
GS,Financials,10173.291884362357,1.7329188436235654,141.8721345135329,-1.9095712487466776,26,42.30769230769231,3.4325533540822617,-1.9314274323304528,0.33794905422877264,8,14,4,0
MS,Financials,9827.867005705815,-1.7213299429418516,101.31640713528505,-2.4068553820703387,28,35.714285714285715,2.4934094154023856,-1.903471596921407,-0.33315694966290965,3,16,9,0
V,Financials,10144.840468108861,1.448404681088622,66.23696386978912,-1.5856351029227223,14,50.0,3.0417066611564025,-1.9999999999999958,0.5208533305782034,4,7,3,0
MA,Financials,9870.202260671376,-1.2979773932862426,70.2707388843289,-2.3744864714146385,11,27.27272727272727,3.177963438290695,-2.000000000000003,-0.5878281531934492,2,8,1,0
BLK,Financials,10101.036548831478,1.0103654883147906,18.663678864945222,-2.5351657110368353,24,45.83333333333333,2.590742051775345,-1.8245253931964145,0.1991388524156419,6,11,7,0
UNH,Healthcare,10187.715526432969,1.8771552643296774,-6.4690482204537325,-1.195206400000015,15,46.666666666666664,3.3965155098394915,-1.795060820103664,0.6276748005364754,5,7,3,0
JNJ,Healthcare,10296.196592941225,2.961965929412247,55.02773326243444,-0.6107395168580276,12,66.66666666666666,2.836268665940483,-2.0000000000000018,1.224179110626988,4,4,4,0
LLY,Healthcare,10309.80681021053,3.098068102105289,346.8929257112087,-2.083850259567477,35,45.714285714285715,3.39565746635795,-2.0000000000000036,0.4665862703350607,10,19,6,0
MRK,Healthcare,10158.412429405424,1.5841242940542344,94.32053328991014,-0.8110327707947174,11,54.54545454545454,2.9238714015366036,-1.9201875329507634,0.722026431315073,4,4,3,0
ABBV,Healthcare,9899.914404702306,-1.0008559529769423,132.09248172251873,-1.8024606551906186,15,33.33333333333333,2.7057373291984543,-1.8595545574175596,-0.33779059521222177,2,9,4,0
PFE,Healthcare,9956.182378429652,-0.43817621570347853,-39.04782420141992,-2.534631226382855,17,29.411764705882355,3.7510537250951175,-1.7694858359112082,-0.14579772973287697,4,10,3,0
CAT,Industrials,10091.276269210826,0.912762692108271,267.9100848218062,-3.3054493286732045,43,37.2093023255814,3.5640471601012704,-1.94650060444249,0.10393577306216506,13,26,4,0
GE,Industrials,10305.80584207489,3.058058420748888,400.1225395430023,-1.6469954944679621,29,44.827586206896555,3.638755981238292,-2.0000000000000018,0.5277181984861301,10,16,3,0
HON,Industrials,9996.706873734109,-0.032931262658908445,-8.027409087230152,-1.895609475575144,15,40.0,2.844525827688989,-1.9042627921196131,-0.004747344196172287,3,8,4,0
UPS,Industrials,10178.276657755052,1.7827665775505208,-48.201219840814005,-1.2982765558433584,18,38.88888888888889,4.0000000000000036,-1.7288205103474377,0.49905413256545605,7,8,3,0
BA,Industrials,10002.447178906448,0.024471789064484106,-6.869536767269091,-2.735789114198628,25,36.0,3.5904372304058336,-2.0000000000000004,0.01255740294609975,8,16,1,0
XOM,Energy,10348.172831361844,3.4817283136184374,198.74727229762505,-2.2465967159550293,37,43.24324324324324,3.5059827930300895,-1.7778198121871138,0.5070678008797849,13,18,6,0
CVX,Energy,10031.432088793834,0.31432088793834634,115.99632077501094,-3.799653266338998,29,37.93103448275862,3.3668037747342394,-1.9590024214587176,0.06113096330412815,7,17,5,0
COP,Energy,10264.811530769048,2.6481153076904684,140.61838535857146,-4.03736396596166,35,42.857142857142854,3.4347670547941362,-1.9070704477856224,0.38228848189141695,12,19,4,0
WMT,Consumer Staples,10111.417528930393,1.1141752893039314,113.89337073873014,-2.1948299936892957,16,43.75,2.889316392476487,-1.620506339850024,0.3525411055428245,3,7,6,0
COST,Consumer Staples,10062.399116889843,0.623991168898419,103.90915232738158,-1.5261524187941022,24,41.66666666666667,2.835672160168643,-1.793111028188542,0.1355486336269518,4,12,8,0
KO,Consumer Staples,10116.402960561254,1.1640296056125488,55.011448459422056,-1.195206400000004,9,55.55555555555556,2.7696374497276377,-1.9999999999999991,0.6497985831820214,2,4,3,0
PEP,Consumer Staples,10219.519020259811,2.1951902025981074,-10.933420831966167,-0.9621780954355286,15,60.0,2.5509714448915686,-2.0000000000000018,0.7305828669349403,3,6,6,0
PLD,Real Estate,9891.641358995354,-1.0835864100464665,0.8738293091725691,-2.3607682762316506,23,30.434782608695656,2.8865090184837072,-1.546528374430027,-0.19734308093454256,3,12,8,0
AMT,Real Estate,9879.060433005274,-1.2093956699472663,-41.50021745383468,-2.5494925086766096,12,25.0,4.0000000000000036,-2.000000000000003,-0.5000000000000013,3,9,0,0
NEE,Utilities,9837.269198595615,-1.627308014043849,-4.104998744167121,-3.0741781916485134,23,39.130434782608695,2.051408610309517,-1.8967067881702862,-0.3517920670260154,3,13,7,0
DUK,Utilities,9991.962839713955,-0.08037160286045175,12.883260822490916,-1.0072905942344113,11,45.45454545454545,2.3320684940845737,-2.0000000000000018,-0.030877957234285436,1,6,4,0
