Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Position_Value,PnL,Return,Hold_Sessions,ATR_Pct,Return_10D,Hold_Period,Year
AMD,2022-01-04,2022-01-04,151.00999450683594,144.4199981689453,13.244156497929438,2000.0,-87.27894281980532,-0.04363947140990265,1,0.0465017702460965,0.0906715462298661,1,2022
NVDA,2022-01-04,2022-01-04,30.18165084016446,29.1977596282959,66.26542764647203,2000.0,-65.19797191207574,-0.03259898595603783,1,0.0466333673477107,0.0834502594627919,1,2022
TSLA,2022-01-04,2022-01-04,396.51666259765625,383.1966552734375,5.043924224766795,2000.0,-67.18510761669809,-0.033592553808349024,1,0.0477057806716556,0.2865308004956926,1,2022
AMD,2022-01-05,2022-01-05,142.82000732421875,136.14999389648438,13.696033435215933,1956.0675955302843,-91.35272691958923,-0.04670223418062591,1,0.0508882674424689,0.0634756621758112,1,2022
NVDA,2022-01-05,2022-01-05,28.857832469761814,27.51706886291504,67.78290079755354,1956.0675955302843,-90.88084655586499,-0.04646099488766775,1,0.04964154476359,0.0566760297925632,1,2022
TSLA,2022-01-05,2022-01-05,382.2166748046875,362.7066650390625,5.117692985346162,1956.0675955302843,-99.84624012157418,-0.051044371037958,1,0.0528045516823519,0.2774072979512694,1,2022
TSLA,2022-01-06,2022-01-06,359.0,354.8999938964844,5.291508726492699,1899.651632810879,-21.695218075426258,-0.011420629814806738,1,0.0583365378064604,0.1593875868796488,1,2022
TSLA,2022-01-07,2022-01-07,360.1233215332031,342.32000732421875,5.262954315556724,1895.3125891957934,-93.69802934738667,-0.04943671554840667,1,0.0592501006780361,0.0553390968470492,1,2022
COP,2022-01-24,2022-01-24,68.18113355452384,70.1412353515625,27.523346789557813,1876.5729833263163,53.94856150273052,0.02874844835882917,1,0.0328130020056894,0.0538918745536076,1,2022
COP,2022-01-26,2022-01-26,74.9569785080597,73.55448913574219,25.179279277164635,1887.3626956268627,-35.313671588838126,-0.018710591064802773,1,0.0353084302244479,0.0750339344580182,1,2022
COP,2022-01-28,2022-01-28,74.33177130278283,75.37940979003906,25.296046742245473,1880.2999613090951,26.50111214260909,0.014094087479616046,1,0.0340015016059759,0.0623222705713555,1,2022
COP,2022-01-31,2022-01-31,75.00767361588956,74.87249755859375,25.138763713612537,1885.6001837376168,-3.39815896409708,-0.0018021630425180124,1,0.0337448789389777,0.0669696042933947,1,2022
V,2022-01-31,2022-01-31,217.5475100640139,218.1455078125,8.667532821601931,1885.6001837376168,5.183165112247399,0.0027488144925682523,1,0.0343201735808504,0.0604650266119581,1,2022
V,2022-02-01,2022-02-01,218.84958939329303,224.11587524414065,8.617595263466574,1885.9571849672466,45.38272000432552,0.024063494317933642,1,0.0331735169928989,0.0535706692507047,1,2022
MA,2022-02-02,2022-02-02,378.9185667737952,386.1798095703125,5.001163561614016,1895.0337289681117,36.31466288597462,0.01916306941182988,1,0.0377365191068063,0.0703249538480079,1,2022
MS,2022-02-02,2022-02-02,89.75427428490303,89.8580322265625,21.113576418130126,1895.0337289681117,2.190701230215038,0.0011560222895916628,1,0.0374947347182728,0.1134389467589858,1,2022
UPS,2022-02-02,2022-02-02,182.98109433964447,184.1393585205078,10.35644548857382,1895.0337289681117,11.9954998504788,0.006329966410155041,1,0.0324245214762754,0.1220878184612745,1,2022
V,2022-02-02,2022-02-02,223.093458671636,227.06727600097656,8.494349140722006,1895.0337289681117,33.75499181687022,0.017812343548761378,1,0.0329752980235525,0.0771869979445842,1,2022
AVGO,2022-02-03,2022-02-03,54.97563535906677,53.60786437988281,34.77694960026514,1911.8849001248193,-47.56690240778584,-0.024879584751509087,1,0.0403064701807252,0.069968097245868,1,2022
