Ticker,Entry_Date,Exit_Date,Raw_Entry_Price,Entry_Price,Raw_Exit_Price,Exit_Price,Shares,Allocation,Buy_Fee,Sell_Fee,Slippage_Cost,Total_Cost,PnL,Return_pct,Holding_Days,Exit_Reason,Exit_Year
TSLA,2022-01-03,2022-01-10,382.5833435058594,382.7746351776123,352.7066650390625,352.530311706543,5.222394109454088,2000.0,1.0,0.9205261116301319,1.9199871046826493,2000.9205261116301,-159.86830285136648,-7.9934151425683275,7,TIME,2022
NVDA,2022-01-03,2022-01-10,29.72110791823675,29.735968472195868,27.31371307373047,27.300056217193607,67.8204268893008,2017.7149332177223,1.0088574666088612,0.9257507333759905,1.9340629536147458,2018.6406839510983,-167.1392171991174,-8.283589244818367,7,TIME,2022
AMD,2022-01-03,2022-01-10,145.13999938964844,145.21256938934326,132.0,131.934,13.913660585075831,2021.4491277339614,1.0107245638669806,0.9178424478156973,1.928015943027833,2022.366970181777,-186.68207455038237,-9.235061718305637,7,TIME,2022
COP,2022-01-21,2022-01-26,71.73801876249225,71.77388777187349,73.55448913574219,73.51771189117432,26.420659503168334,1897.2620810798269,0.9486310405399134,0.9711932166643732,1.9193619397703081,1898.2332742964913,44.15315903225496,2.3272039995194227,5,TIME,2022
COP,2022-01-27,2022-02-01,75.15130297472625,75.18887862621361,77.33950805664062,77.3008383026123,25.338051336034063,1906.092712886278,0.953046356443139,0.9793263046150293,1.9319099990929849,1907.072039190893,51.58057003916565,2.7060892521361346,5,TIME,2022
V,2022-01-28,2022-02-02,212.8116854164778,212.918091259186,227.06727600097656,226.9537423629761,8.951396267949297,1906.8676412970142,0.9534338206485071,1.0157764411925354,1.968765446790465,1907.8834177382066,123.66946464686407,6.485477123244188,5,TIME,2022
MA,2022-02-01,2022-02-07,375.48260239896206,375.67034370016154,366.109130859375,365.92607629394536,5.15158356332441,1936.2653004844262,0.9681326502422132,0.9425493800138415,1.910185891875222,1937.20784986444,-52.10908983675722,-2.6912164269906724,6,TIME,2022
MS,2022-02-01,2022-02-07,89.0279437165657,89.07245768842398,90.94752502441406,90.90205126190186,21.793776025942513,1942.1962910872971,0.9710981455436486,0.990549472750317,1.9611725279522845,1943.1868405600474,37.91210494058669,1.952022311779955,6,TIME,2022
UPS,2022-02-01,2022-02-07,178.50667879587238,178.5959321352703,178.54635620117188,178.4570830230713,10.888078495276043,1945.5392976746532,0.9727696488373266,0.9715273639965971,1.943810736011754,1946.5108250386497,-3.4560970454556355,-0.17764210929003266,6,TIME,2022
AVGO,2022-02-02,2022-02-07,55.28296703945002,55.310608522969744,54.23361206054688,54.20649525451661,35.54292002928921,1966.883977491982,0.983441988745991,0.9633285629496646,1.9462695064161102,1967.8473060549318,-41.19018015560255,-2.094184538943933,5,TIME,2022
