Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Allocation,PnL,Return_pct,Holding_Days,Exit_Reason,Exit_Year
TSLA,2022-01-03,2022-01-10,382.5833435058594,352.7066650390625,5.227619116066848,2000.0,-156.18389547761012,-7.809194773880501,7,TIME,2022
NVDA,2022-01-03,2022-01-10,29.72110791823675,27.31371307373047,67.90234276140727,2018.1328571128875,-163.4677498937103,-8.0999498778076,7,TIME,2022
AMD,2022-01-03,2022-01-10,145.13999938964844,132.0,13.933274072682199,2022.2753904048986,-183.0832128108485,-9.053327438959325,7,TIME,2022
COP,2022-01-21,2022-01-26,71.73801876249225,73.55448913574219,26.477634330161948,1899.4530283635665,48.095838314484745,2.53208884854188,5,TIME,2022
COP,2022-01-27,2022-02-01,75.15130297472625,77.33950805664062,25.403048522904438,1909.0721960264634,55.587079873936965,2.911732724914007,5,TIME,2022
V,2022-01-28,2022-02-02,212.8116854164778,227.06727600097656,8.976157084549435,1910.2311177260226,127.9604204194849,6.698687882951648,5,TIME,2022
MA,2022-02-01,2022-02-07,375.48260239896206,366.109130859375,5.167971129220948,1940.4832487225842,-48.44183029716015,-2.496379720311903,6,TIME,2022
MS,2022-02-01,2022-02-07,89.0279437165657,90.94752502441406,21.867531875560022,1946.821397037564,41.97650543710323,2.156155952517169,6,TIME,2022
UPS,2022-02-01,2022-02-07,178.50667879587238,178.54635620117188,10.927127710021354,1950.5652762942582,0.4335600749099137,0.022227406597408184,6,TIME,2022
AVGO,2022-02-02,2022-02-07,55.28296703945002,54.23361206054688,35.685104704544216,1972.7784671806407,-37.446342294393304,-1.8981524239723213,5,TIME,2022
COP,2022-02-02,2022-02-07,76.4186108650295,78.5223617553711,25.102001586743327,1918.2600911906916,52.8083581874672,2.7529300343567265,5,TIME,2022
NVDA,2022-02-07,2022-02-14,24.29524762592509,24.190580368041992,80.16579111663088,1947.647746306733,-8.390733532206905,-0.43081371095559096,7,TIME,2022
AMD,2022-02-07,2022-02-14,123.55999755859376,114.2699966430664,15.808818619658972,1953.3375900493143,-146.8639394500378,-7.518615327846634,7,TIME,2022
AMZN,2022-02-07,2022-02-14,158.52000427246094,155.16700744628906,12.324535284712583,1953.6853859887342,-41.32412769368458,-2.115188453066663,7,TIME,2022
MA,2022-02-07,2022-02-14,372.0174207509835,364.1916809082031,5.247723711566534,1952.24463999076,-41.06732053350948,-2.103594994821134,7,TIME,2022
AVGO,2022-02-07,2022-02-14,54.46710957366001,53.39836883544922,35.4585250496219,1931.3233691981243,-37.89597023739877,-1.9621763419728655,7,TIME,2022
UPS,2022-02-14,2022-02-22,169.52623566648103,166.98631286621094,11.163695817210678,1892.539328017366,-28.354925541413248,-1.4982476253805554,8,TIME,2022
NVDA,2022-02-15,2022-02-22,24.870431043038703,23.316341400146484,76.35021706971818,1898.8628087534628,-118.65508158062173,-6.24874430283432,7,TIME,2022
BA,2022-02-16,2022-02-22,216.1000061035156,198.7400054931641,8.881006287023249,1919.1855128310845,-154.17427456325916,-8.033317963922581,6,TIME,2022
AMZN,2022-02-17,2022-02-22,158.14599609375,150.19749450683594,11.862815133128844,1876.0567157046726,-94.29160491094278,-5.026053003708131,5,TIME,2022
AMD,2022-02-28,2022-03-07,120.30999755859376,102.9499969482422,15.07309606431443,1813.4441506981184,-261.66895687638623,-14.429391540712844,7,TIME,2022
COP,2022-03-01,2022-03-07,81.38826264410004,85.99049377441406,22.041377623738388,1793.9094310786095,101.43951425497576,5.654661963284524,6,TIME,2022
COP,2022-03-07,2022-03-14,86.17730145908214,81.98265838623047,20.671316367682532,1781.3982621738364,-86.708794008425,-4.867456977454021,7,TIME,2022
CAT,2022-03-08,2022-03-14,189.0159401939916,199.74298095703125,9.37463318912189,1771.955106215672,100.56207235825481,5.675204298658731,6,TIME,2022
XOM,2022-03-08,2022-03-14,76.57715135317999,70.41143035888672,23.27862785080139,1782.611008225169,-143.52952445802606,-8.051645804708073,6,TIME,2022
TSLA,2022-03-09,2022-03-14,279.82666015625,255.4566650390625,6.246987894582991,1748.0737585776822,-152.2390644881169,-8.70896114886971,5,TIME,2022
CRM,2022-03-09,2022-03-14,194.9768045779972,189.8357391357422,9.007177497987914,1756.1906868245235,-46.306488967162636,-2.6367574611668276,5,TIME,2022
CVX,2022-03-14,2022-03-21,139.03618402359692,137.722900390625,12.340340856664676,1715.7539022611415,-16.206367672352364,-0.9445624836402544,7,TIME,2022
CAT,2022-03-14,2022-03-21,200.54032167180037,207.410400390625,8.560905871557633,1716.8068172841722,58.81409724204891,3.425784232094742,7,TIME,2022
PFE,2022-03-14,2022-03-21,39.568952432588524,42.27605056762695,43.35322317277257,1715.4416255228325,117.36142959891743,6.8414703160271095,7,TIME,2022
ORCL,2022-03-15,2022-03-21,73.48834501161325,76.22825622558594,23.265115326638767,1709.714821859001,63.74435037782545,3.7283615701778405,6,TIME,2022
MS,2022-03-17,2022-03-22,77.99455277298165,81.4705810546875,22.06631467441089,1721.0523443785596,76.70313388127309,4.45675775822898,5,TIME,2022
AMD,2022-03-21,2022-03-28,113.7300033569336,120.23999786376952,15.560479957088207,1769.6934377551397,101.29863904437471,5.724078356354889,7,TIME,2022
NVDA,2022-03-21,2022-03-28,26.428023517702798,28.134923934936523,67.2206497258803,1776.508911830827,114.73895506382723,6.458676019000653,7,TIME,2022
TSLA,2022-03-21,2022-03-28,304.99334716796875,363.9466552734375,5.834722768487555,1779.5516269581765,343.97620908064044,19.329375100435044,7,TIME,2022
BA,2022-03-21,2022-03-28,184.3999938964844,188.16000366210935,9.521023633628849,1755.6766999294434,35.79914184119035,2.0390509165286064,7,TIME,2022
NFLX,2022-03-22,2022-03-28,37.11399841308594,37.85100173950195,48.43874427784548,1797.7554782598327,35.69951566018686,1.9857826101435494,6,TIME,2022
NVDA,2022-03-28,2022-04-04,27.673304055239864,27.278488159179688,68.73554814010592,1902.1397230847278,-27.137887030123327,-1.426703133359386,7,TIME,2022
AMD,2022-03-28,2022-04-04,117.6999969482422,110.52999877929688,16.214831874775967,1908.4856621773918,-116.2603148519,-6.091757310833479,7,TIME,2022
TSLA,2022-03-28,2022-04-04,355.0333251953125,381.8166809082031,5.3987123566058655,1916.7227997388022,144.5956334385529,7.543899068673743,7,TIME,2022
ADBE,2022-03-28,2022-04-04,433.4200134277344,468.80999755859375,4.444526881789331,1926.346900785058,157.29173581570234,8.16528610457441,7,TIME,2022
NFLX,2022-03-28,2022-04-04,37.52299880981445,39.150001525878906,49.48974198597218,1857.0035296376586,80.51994462850574,4.3360146248196285,7,TIME,2022
TSLA,2022-04-04,2022-04-11,363.1266784667969,325.3099975585937,5.369865837778623,1949.941545484875,-203.07050290713534,-10.414184126562597,7,TIME,2022
ADBE,2022-04-06,2022-04-11,448.239990234375,434.4400024414063,4.315380172661928,1934.325966451598,-59.55219370475373,-3.078705178838015,5,TIME,2022
META,2022-05-04,2022-05-09,208.8162478551521,194.50196838378903,9.0865391254356,1897.4170061624973,-130.06726046896023,-6.854964409327168,5,TIME,2022
AMD,2022-05-04,2022-05-09,98.18000030517578,86.36000061035156,19.560032619143307,1920.404008516738,-231.19957958902566,-12.039111487149889,5,TIME,2022
COP,2022-05-06,2022-05-11,88.71727644212284,84.34828186035156,21.122297555688245,1873.9127113407694,-92.28320357536259,-4.924626585692704,5,TIME,2022
XOM,2022-05-06,2022-05-11,78.23682899879181,74.63369750976562,24.113668683790838,1886.5769733472648,-86.88471895051131,-4.605416061893086,5,TIME,2022
META,2022-05-10,2022-05-16,197.77323719295447,198.2986297607422,8.991347092063272,1778.2478211228108,4.723986936569764,0.2656540264217577,6,TIME,2022
COP,2022-05-11,2022-05-16,84.91889165313943,90.25341796875,20.844964748806753,1770.1313030174313,111.1980130004844,6.281907608262283,5,TIME,2022
AMD,2022-05-13,2022-05-18,88.30000305175781,96.27999877929688,20.374916531874042,1799.1051919437887,162.59174687331986,9.03736744251471,5,TIME,2022
XOM,2022-05-13,2022-05-18,75.89338819946808,78.75154876708984,24.071880570783154,1826.8965768496791,68.80129983591294,3.766020513025148,5,TIME,2022
AVGO,2022-05-13,2022-05-18,53.617300116059255,53.01520156860352,33.054058512060244,1772.2693752949172,-19.90180061762825,-1.12295573658584,5,TIME,2022
COP,2022-05-16,2022-05-23,88.18315155903028,93.26470947265624,21.037883034827573,1855.1868281413517,106.90522102156532,5.762504314924977,7,TIME,2022
CVX,2022-05-16,2022-05-23,141.37005938148323,144.82711791992188,12.7970116434209,1809.114295935945,44.24001836838698,2.4453965383927967,7,TIME,2022
AMD,2022-05-23,2022-05-31,91.66000366210938,101.86000061035156,20.565586683569933,1885.0417507294478,209.7689214112235,11.12807826829565,8,TIME,2022
NFLX,2022-05-23,2022-05-31,18.614999771118164,19.74399948120117,102.01812988879023,1899.0674645297331,115.17843906765444,6.064999860137998,8,TIME,2022
COP,2022-05-23,2022-05-31,90.71537499901255,96.12201690673828,20.96336510085756,1901.699526365506,113.34140828125146,5.960006126618089,8,TIME,2022
ADBE,2022-05-23,2022-05-31,404.010009765625,416.4800109863281,4.733516511984352,1912.388052232545,59.02695668266326,3.086557490973374,8,TIME,2022
MA,2022-05-23,2022-05-31,330.45554060032543,348.8191223144531,5.528767822960229,1827.0119597900068,101.52797969537002,5.557050634033045,8,TIME,2022
AMD,2022-05-31,2022-06-06,102.43000030517578,105.6500015258789,19.572493271346573,2004.8104917570804,63.023452225939664,3.143611452806394,6,TIME,2022
NVDA,2022-05-31,2022-06-06,18.923452187686586,18.73003196716309,105.82525898851729,2002.5792287187571,-20.468744930515097,-1.0221191070483138,6,TIME,2022
BA,2022-05-31,2022-06-06,131.02999877929688,139.24000549316406,15.233762202146131,1996.0798427513064,125.06928995707592,6.265745852364613,6,TIME,2022
NFLX,2022-05-31,2022-06-06,19.618000030517575,19.714000701904297,101.80482838060495,1997.2071262775441,9.773331874948116,0.4893499400417278,6,TIME,2022
AMZN,2022-05-31,2022-06-06,116.27999877929688,124.79000091552734,17.197906929494852,1999.7725967681229,146.35422470869398,7.318543365641683,6,TIME,2022
TSLA,2022-06-06,2022-06-13,244.35333251953125,215.73666381835935,8.469541958708046,2069.560802524309,-242.3700762830227,-11.711184130826025,7,TIME,2022
