Ticker,Signal_Date,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Position_Value,PnL,Return,Hold_Days,ATR_Pct,Return_10D,Exit_Reason,Window,Holding_Period
TSLA,2022-01-03,2022-01-04,2022-01-04,396.51666259765625,383.1966552734375,5.043924224766795,2000.0,-67.18510761669809,-0.033592553808349024,1,0.0477057806716556,0.2865308004956926,TIME_1,2022,1
AMD,2022-01-03,2022-01-04,2022-01-04,151.00999450683594,144.4199981689453,13.244156497929438,2000.0,-87.27894281980532,-0.04363947140990265,1,0.0465017702460965,0.0906715462298661,TIME_1,2022,1
NVDA,2022-01-03,2022-01-04,2022-01-04,30.18165084016446,29.1977596282959,66.26542764647203,2000.0,-65.19797191207574,-0.03259898595603783,1,0.0466333673477107,0.0834502594627919,TIME_1,2022,1
TSLA,2022-01-04,2022-01-05,2022-01-05,382.2166748046875,362.7066650390625,5.117692985346162,1956.0675955302843,-99.84624012157418,-0.051044371037958,1,0.0528045516823519,0.2774072979512694,TIME_1,2022,1
AMD,2022-01-04,2022-01-05,2022-01-05,142.82000732421875,136.14999389648438,13.696033435215933,1956.0675955302843,-91.35272691958923,-0.04670223418062591,1,0.0508882674424689,0.0634756621758112,TIME_1,2022,1
NVDA,2022-01-04,2022-01-05,2022-01-05,28.857832469761814,27.51706886291504,67.78290079755354,1956.0675955302843,-90.88084655586499,-0.04646099488766775,1,0.04964154476359,0.0566760297925632,TIME_1,2022,1
TSLA,2022-01-05,2022-01-06,2022-01-06,359.0,354.8999938964844,5.291508726492699,1899.651632810879,-21.695218075426258,-0.011420629814806738,1,0.0583365378064604,0.1593875868796488,TIME_1,2022,1
TSLA,2022-01-06,2022-01-07,2022-01-07,360.1233215332031,342.32000732421875,5.262954315556724,1895.3125891957934,-93.69802934738667,-0.04943671554840667,1,0.0592501006780361,0.0553390968470492,TIME_1,2022,1
COP,2022-01-21,2022-01-24,2022-01-24,68.18113355452384,70.1412353515625,27.523346789557813,1876.5729833263163,53.94856150273052,0.02874844835882917,1,0.0328130020056894,0.0538918745536076,TIME_1,2022,1
COP,2022-01-25,2022-01-26,2022-01-26,74.9569785080597,73.55448913574219,25.179279277164635,1887.3626956268627,-35.313671588838126,-0.018710591064802773,1,0.0353084302244479,0.0750339344580182,TIME_1,2022,1
COP,2022-01-27,2022-01-28,2022-01-28,74.33177130278283,75.37940979003906,25.296046742245473,1880.2999613090951,26.50111214260909,0.014094087479616046,1,0.0340015016059759,0.0623222705713555,TIME_1,2022,1
COP,2022-01-28,2022-01-31,2022-01-31,75.00767361588956,74.87249755859375,25.138763713612537,1885.6001837376168,-3.39815896409708,-0.0018021630425180124,1,0.0337448789389777,0.0669696042933947,TIME_1,2022,1
V,2022-01-28,2022-01-31,2022-01-31,217.5475100640139,218.1455078125,8.667532821601931,1885.6001837376168,5.183165112247399,0.0027488144925682523,1,0.0343201735808504,0.0604650266119581,TIME_1,2022,1
V,2022-01-31,2022-02-01,2022-02-01,218.84958939329303,224.11587524414065,8.617595263466574,1885.9571849672466,45.38272000432552,0.024063494317933642,1,0.0331735169928989,0.0535706692507047,TIME_1,2022,1
UPS,2022-02-01,2022-02-02,2022-02-02,182.98109433964447,184.1393585205078,10.35644548857382,1895.0337289681117,11.9954998504788,0.006329966410155041,1,0.0324245214762754,0.1220878184612745,TIME_1,2022,1
MS,2022-02-01,2022-02-02,2022-02-02,89.75427428490303,89.8580322265625,21.113576418130126,1895.0337289681117,2.190701230215038,0.0011560222895916628,1,0.0374947347182728,0.1134389467589858,TIME_1,2022,1
MA,2022-02-01,2022-02-02,2022-02-02,378.9185667737952,386.1798095703125,5.001163561614016,1895.0337289681117,36.31466288597462,0.01916306941182988,1,0.0377365191068063,0.0703249538480079,TIME_1,2022,1
V,2022-02-01,2022-02-02,2022-02-02,223.093458671636,227.06727600097656,8.494349140722004,1895.0337289681113,33.754991816870216,0.017812343548761378,1,0.0329752980235525,0.0771869979445842,TIME_1,2022,1
UPS,2022-02-02,2022-02-03,2022-02-03,182.3384236373136,181.4261016845703,10.485364861592302,1911.8849001248193,-9.566028545753849,-0.005003454206437441,1,0.0332262888213391,0.1391345725620112,TIME_1,2022,1
MA,2022-02-02,2022-02-03,2022-02-03,378.1885587280321,379.67779541015625,5.055374775363627,1911.8849001248193,7.5286495573566885,0.003937815271654266,1,0.0393320511553653,0.0998528093339827,TIME_1,2022,1
MS,2022-02-02,2022-02-03,2022-02-03,89.64187103961474,88.4486083984375,21.32803429861381,1911.8849001248193,-25.449946538282717,-0.013311442826198006,1,0.0360679927954729,0.0931178951321198,TIME_1,2022,1
GOOGL,2022-02-02,2022-02-03,2022-02-03,144.33209690892662,141.74124145507812,13.246429180137364,1911.8849001248193,-34.31958328537668,-0.017950653453634224,1,0.0342010362826057,0.0953511178440063,TIME_1,2022,1
V,2022-02-02,2022-02-03,2022-02-03,224.7717465090932,223.3249664306641,8.505895112789336,1911.8849001248193,-12.306159598391055,-0.006436663419219224,1,0.0331747469607611,0.0966087847163295,TIME_1,2022,1
UPS,2022-02-03,2022-02-04,2022-02-04,180.31545741945556,178.33213806152344,10.520796794640425,1897.06228644273,-20.866099943680528,-0.01099916438843318,1,0.034113615456605,0.1305057997422167,TIME_1,2022,1
MA,2022-02-03,2022-02-04,2022-02-04,377.24432210210176,372.0173950195313,5.028736485341421,1897.06228644273,-26.284838926341237,-0.01385554871560346,1,0.0399854602626802,0.0716209154368916,TIME_1,2022,1
V,2022-02-03,2022-02-04,2022-02-04,220.39279516443568,220.2866973876953,8.60764202853059,1897.06228644273,-0.9132516822040633,-0.0004814031087595483,1,0.0334375857148875,0.0801960701825861,TIME_1,2022,1
GOOGL,2022-02-03,2022-02-04,2022-02-04,142.09241348974794,141.9423370361328,13.350904808014992,1897.06228644273,-2.0036564461400515,-0.0010561890668846496,1,0.0366567728420101,0.0733829815286204,TIME_1,2022,1
AVGO,2022-02-03,2022-02-04,2022-02-04,53.195329671643,54.46711349487305,35.66219625205186,1897.06228644273,45.354604294214695,0.02390780978481266,1,0.0405919700959751,0.060486851166839,TIME_1,2022,1
AMZN,2022-02-04,2022-02-07,2022-02-07,158.52000427246094,157.9355010986328,11.961390277550638,1896.1196379019,-6.991470580625225,-0.003687251817275361,1,0.0499901932361151,0.1051330237995296,TIME_1,2022,1
AVGO,2022-02-04,2022-02-07,2022-02-07,54.46710957366001,54.23361206054688,34.81219496947297,1896.1196379019,-8.128560951381308,-0.004286945184733049,1,0.0414052150597951,0.1067644026880971,TIME_1,2022,1
COP,2022-02-04,2022-02-07,2022-02-07,76.39328189837401,78.5223617553711,24.82050241570074,1896.1196379019,52.84483173381582,0.02786998809436403,1,0.0381361934756692,0.1106141734896581,TIME_1,2022,1
UPS,2022-02-04,2022-02-07,2022-02-07,178.887493456517,178.54635620117188,10.599509229317913,1896.1196379019,-3.615887486494903,-0.0019069933216323554,1,0.0349596539540162,0.1130971485824818,TIME_1,2022,1
V,2022-02-04,2022-02-07,2022-02-07,219.91058091813093,219.1003875732422,8.622230135473984,1896.1196379018986,-6.985673473860205,-0.0036841944644326885,1,0.0345399150092358,0.1090662713680286,TIME_1,2022,1
V,2022-02-07,2022-02-08,2022-02-08,218.2322601010345,219.8526611328125,8.713396840915438,1901.5442857501905,14.119197231310434,0.00742512143267815,1,0.0351451380221399,0.1253902215807278,TIME_1,2022,1
COP,2022-02-07,2022-02-08,2022-02-08,77.68592553710721,77.162109375,24.477333218382075,1901.5442857501905,-12.821622745072208,-0.006742742118158951,1,0.0386654949480455,0.1194892898849107,TIME_1,2022,1
AMZN,2022-02-07,2022-02-08,2022-02-08,156.75050354003906,161.4134979248047,12.131025054503098,1901.5442857501905,56.566901710599055,0.029747874995339707,1,0.0503340658656929,0.0926464893934615,TIME_1,2022,1
AMD,2022-02-07,2022-02-08,2022-02-08,122.37999725341795,128.22999572753906,15.538031773383475,1901.5442857501905,90.89746216513862,0.047801917024129725,1,0.0625512535644719,0.0612717709125811,TIME_1,2022,1
UPS,2022-02-07,2022-02-08,2022-02-08,178.29248567619558,178.65740966796875,10.665308066901172,1901.5442857501905,3.8920267932641424,0.002046771575308748,1,0.0352287342427846,0.1025326221573628,TIME_1,2022,1
AMD,2022-02-08,2022-02-09,2022-02-09,129.60000610351562,132.85000610351562,14.90798601689902,1932.0750787812385,48.450954554921815,0.02507715931281762,1,0.0603881373956416,0.1538738315193755,TIME_1,2022,1
AMZN,2022-02-08,2022-02-09,2022-02-09,162.87350463867188,161.1894989013672,11.86242712138765,1932.0750787812385,-19.97639533077553,-0.010339347342224747,1,0.0506841538815671,0.1530689258329025,TIME_1,2022,1
