Hold_Days,Trades,Win_Rate_pct,PnL,Final_Equity,Return_pct,Avg_Trade_pct,Median_Trade_pct,Profit_Factor,Max_Drawdown_pct,Avg_Open_Positions,Max_Open_Positions,Total_Fees,Total_Slippage,Accounting_Difference
1,1816,57.32378854625551,103829.57757168029,113829.57757168078,1038.2957757168078,0.699680673480238,0.6421927418741283,1.5223237293977052,-21.45720850212135,1.8367139959432048,5,17043.004244267482,17038.792018444758,4.94765117764473e-10
3,872,57.3394495412844,53123.601524534955,63123.60152453505,531.2360152453505,1.1235916410705238,0.8317112325438233,1.6835233191750127,-23.94380642110967,2.0953346855983774,5,5121.733911335564,5120.476281609237,9.458744898438454e-11
5,547,61.425959780621575,39599.29470228556,49599.29470228559,395.9929470228559,1.5700909934673304,1.7688247452848909,1.9721521116215937,-21.17446387794496,2.287018255578093,5,2335.110951718141,2334.543338347756,2.9103830456733704e-11
