Factor,Target,Q1_Avg_Return_Pct,Q5_Avg_Return_Pct,Q1_Win_Rate_Pct,Q5_Win_Rate_Pct,Q5_minus_Q1_Return_Pct,Monotonicity,Total_Observations
Return_1D,Future_Return_1D,0.11522522061395521,-0.05572614448078062,51.958750666745686,49.78367806554851,-0.17095136509473582,-1,84365
Return_1D,Future_Return_3D,0.3146977281058462,0.14679225909761479,53.819711965862616,52.99591062644462,-0.1679054690082314,-1,84365
Return_1D,Future_Return_5D,0.516045507717156,0.3181886206882416,54.98725774906655,54.578320393528124,-0.19785688702891438,-1,84365
Return_1D,Future_Return_10D,1.0811211328279744,0.8759653469591492,57.25715640372192,57.037871155099864,-0.20515578586882532,0,84365
Return_3D,Future_Return_1D,0.08542467305629937,-0.015089779659118358,51.786878444852725,49.925917145735795,-0.10051445271541772,-1,84365
Return_3D,Future_Return_3D,0.3289961270517901,0.11923531352026313,54.015290701120136,52.56919338588277,-0.20976081353152698,-1,84365
Return_3D,Future_Return_5D,0.5379087599216588,0.3262830270336977,54.8805784389261,54.163456409648546,-0.211625732887961,-1,84365
Return_3D,Future_Return_10D,0.9914014913013457,0.8866162646920334,56.75931962306644,56.8008060214544,-0.10478522660931233,0,84365
Return_5D,Future_Return_1D,0.07587507150997906,0.004383315615406804,52.02394357849819,50.198542049428085,-0.07149175589457225,-1,84365
Return_5D,Future_Return_3D,0.30486010349215764,0.16295762100902772,53.35150832691282,52.65216618265869,-0.1419024824831299,0,84365
Return_5D,Future_Return_5D,0.4927536290597684,0.4046780606475413,54.85094529722041,54.679073075327445,-0.08807556841222705,1,84365
Return_5D,Future_Return_10D,0.9423741532486547,0.9396430037243247,56.6407870562437,56.996384756711905,-0.0027311495243299844,-1,84365
Return_10D,Future_Return_1D,0.07703931459182925,0.026650845764240032,51.52018016950157,50.99863687548154,-0.050388468827589225,-1,84365
Return_10D,Future_Return_3D,0.2524409208979918,0.29866686372832113,52.64623955431755,54.234575949742194,0.046225942830329346,0,84365
Return_10D,Future_Return_5D,0.46329746048641673,0.558017169883334,55.12949682925383,56.45113494932733,0.0947197093969173,0,84365
Return_10D,Future_Return_10D,0.9580749986725682,1.0347004888923201,57.14455046524033,57.11491732353464,0.07662549021975207,1,84365
Return_20D,Future_Return_1D,0.0951230179265942,0.034573095200468855,51.875777869969774,51.555739939548396,-0.06054992272612533,0,84365
Return_20D,Future_Return_3D,0.33460912037333856,0.2747061198247527,53.90861139097968,53.83749185088603,-0.05990300054858591,-1,84365
Return_20D,Future_Return_5D,0.5889732745951078,0.5117371236101064,56.42742843596278,56.13109701890594,-0.07723615098500147,-1,84365
Return_20D,Future_Return_10D,1.2941748149432,0.9502649875752806,59.556688200082974,56.8008060214544,-0.34390982736791936,-1,84365
Distance_SMA20,Future_Return_1D,0.09383820150954722,0.030983383974520964,51.85207135660522,50.99863687548154,-0.06285481753502625,0,84365
Distance_SMA20,Future_Return_3D,0.30707140461550037,0.2643799365302882,53.22112250340781,53.82563859420376,-0.04269146808521217,1,84365
Distance_SMA20,Future_Return_5D,0.529854533152441,0.5281762402319474,55.55621406981568,56.20221655899959,-0.0016782929204935994,1,84365
Distance_SMA20,Future_Return_10D,1.0771081611198798,1.0351956192819187,57.826112724471045,57.46458839566171,-0.041912541837961156,0,84365
Distance_SMA50,Future_Return_1D,0.1054571733913652,0.0187964571518908,52.02394357849819,50.773424998518344,-0.08666071623947441,-1,84365
Distance_SMA50,Future_Return_3D,0.37147158193983476,0.24832829609177662,54.32940200320038,53.32780181354827,-0.12314328584805816,0,84365
Distance_SMA50,Future_Return_5D,0.6738705347705906,0.48623851387700096,56.806732649795535,55.508801043086585,-0.18763202089358963,0,84365
Distance_SMA50,Future_Return_10D,1.3864572185394235,0.9285101511882242,60.16120429087892,56.5281811177621,-0.45794706735119933,0,84365
Distance_SMA200,Future_Return_1D,0.10529229427158283,-0.008029729694073265,51.674272506371125,50.49487346648491,-0.1133220239656561,-1,84365
Distance_SMA200,Future_Return_3D,0.37777019972705295,0.1721076461050788,54.0271439578024,52.48029396076572,-0.2056625536219741,0,84365
Distance_SMA200,Future_Return_5D,0.6428007908150739,0.35831677569525205,56.16073016061163,54.08641024121378,-0.28448401511982185,-1,84365
Distance_SMA200,Future_Return_10D,1.3175816234351494,0.8090045398858856,58.66176732057132,55.13542345759498,-0.5085770835492637,0,84365
SMA20_vs_SMA50,Future_Return_1D,0.11618312932730084,0.01275003988715384,52.43880756237777,51.08160967225746,-0.103433089440147,-1,84365
SMA20_vs_SMA50,Future_Return_3D,0.4541466225595131,0.17014457833203042,55.43768150299295,52.68772595270551,-0.2840020442274827,0,84365
SMA20_vs_SMA50,Future_Return_5D,0.7927113390829289,0.31538970618719464,57.45866176732057,54.24050257808333,-0.47732163289573426,0,84365
SMA20_vs_SMA50,Future_Return_10D,1.5431367224818535,0.6602142075818422,60.143424405855505,54.45978782670539,-0.8829225149000114,-1,84365
SMA50_vs_SMA200,Future_Return_1D,0.05590016799213452,0.0028601361208162924,51.502400284478156,51.08160967225746,-0.05304003187131823,-1,84365
SMA50_vs_SMA200,Future_Return_3D,0.28807025640965944,0.20386196108628055,53.529307177146926,52.45658744740117,-0.08420829532337888,-1,84365
SMA50_vs_SMA200,Future_Return_5D,0.5056842763891758,0.4006538022004541,54.96355123570201,53.96787767439104,-0.10503047418872168,-1,84365
SMA50_vs_SMA200,Future_Return_10D,1.018478219159631,0.8838569509133796,56.895632074912584,55.71623303502638,-0.13462126824625165,-1,84365
Volume_Ratio,Future_Return_1D,0.045284324963131145,-0.003933198328860001,51.85207135660522,50.35856101463877,-0.04921752329199115,-1,84365
Volume_Ratio,Future_Return_3D,0.21053296808011468,0.1545215940236636,53.54708706217033,52.59882652758846,-0.05601137405645106,-1,84365
Volume_Ratio,Future_Return_5D,0.4316382221444529,0.31133125849760535,55.704379778344105,54.41830142831743,-0.12030696364684758,-1,84365
Volume_Ratio,Future_Return_10D,0.845781117954655,0.6404621280628066,56.895632074912584,56.05405085047117,-0.20531898989184852,-1,84365
ATR_Pct,Future_Return_1D,0.011398158923326285,0.09607870557705106,51.555739939548396,51.22977538078587,0.08468054665372478,0,84365
ATR_Pct,Future_Return_3D,0.0867652876895598,0.4445077153616064,53.60042671724056,54.27606234813015,0.3577424276720466,1,84365
ATR_Pct,Future_Return_5D,0.1700749631732779,0.7733161215221213,55.11764357257156,56.42742843596278,0.6032411583488434,1,84365
ATR_Pct,Future_Return_10D,0.3992592308935645,1.6933115440420452,56.854145676524624,58.95809873762816,1.294052313148481,1,84365
Positive_Days_5,Future_Return_1D,0.042687386161157255,-0.000776399186910345,51.59712230215827,50.231982678626665,-0.0434637853480676,-1,84365
Positive_Days_5,Future_Return_3D,0.22311923272713188,-0.07669206388334673,53.51994767822106,50.41756882152799,-0.2998112966104786,-1,84365
Positive_Days_5,Future_Return_5D,0.3829432892837266,0.13637585482254702,54.90647482014388,53.72718836993504,-0.2465674344611796,-1,84365
Positive_Days_5,Future_Return_10D,0.8274396710009343,0.5537191784878626,56.69849574885546,54.469532941540365,-0.2737204925130717,-1,84365
Positive_Days_10,Future_Return_1D,0.058308415593542,0.01673132217070686,51.691883431467545,51.06068080907745,-0.041577093422835144,-1,84365
Positive_Days_10,Future_Return_3D,0.20395064562071316,0.13656055917019316,53.00365208317805,53.44515704653839,-0.06739008645052,0,84365
Positive_Days_10,Future_Return_5D,0.37194473149539714,0.30913801349802605,54.78124767086532,55.171846735734256,-0.06280671799737113,0,84365
Positive_Days_10,Future_Return_10D,0.8528195221551309,0.5461276006408855,56.99485727062682,55.12251274461437,-0.3066919215142454,-1,84365
Momentum_Acceleration_5D,Future_Return_1D,0.07482790665616175,0.007604152005556513,52.20766905707344,50.21039530611036,-0.06722375465060523,-1,84365
Momentum_Acceleration_5D,Future_Return_3D,0.2864436195886394,0.10087259354864048,53.84341847922717,51.99431043679251,-0.18557102603999892,-1,84365
Momentum_Acceleration_5D,Future_Return_5D,0.5009710799593546,0.2940240460011937,55.218396254370894,53.77822556747467,-0.20694703395816097,-1,84365
Momentum_Acceleration_5D,Future_Return_10D,0.928163556513831,0.825752948698406,56.652640312925975,56.1725834172939,-0.10241060781542491,-1,84365
SPY_Return_1D,Future_Return_1D,0.14570980299583922,-0.0251264496838482,52.49807384578913,50.73786522847152,-0.1708362526796874,-1,84365
SPY_Return_1D,Future_Return_3D,0.3898162766588192,0.20824227552005262,55.32507556451135,54.5249807384579,-0.18157400113876657,0,84365
SPY_Return_1D,Future_Return_5D,0.618845214456194,0.3253165308800235,56.90155870325372,55.834765601849114,-0.29352868357617057,0,84365
SPY_Return_1D,Future_Return_10D,1.269803445920109,0.9867401455583278,59.556688200082974,59.141824216203396,-0.28306330036178134,0,84365
SPY_Return_5D,Future_Return_1D,0.055170097414254604,0.006793071967305678,52.43288093403663,51.0401232738695,-0.048377025446948926,0,84365
SPY_Return_5D,Future_Return_3D,0.3433460418036433,0.07756808180251301,55.53250755645114,52.213595685414575,-0.26577796000113024,-1,84365
SPY_Return_5D,Future_Return_5D,0.5815327301816313,0.3082446227207506,57.19789012031056,54.68499970366858,-0.27328810746088067,0,84365
SPY_Return_5D,Future_Return_10D,0.9115789796738551,0.8277299573417018,57.32827594381556,57.55941444911989,-0.08384902233215322,0,84365
SPY_Return_10D,Future_Return_1D,0.10218694315723159,0.027699352975213247,52.82403840455166,51.721685533100214,-0.07448759018201835,0,84365
SPY_Return_10D,Future_Return_3D,0.22337727894838752,0.21899573134446784,53.84341847922717,54.27606234813015,-0.004381547603919678,0,84365
SPY_Return_10D,Future_Return_5D,0.44519005915212345,0.35957429199846086,55.994784567059796,55.14727671427725,-0.08561576715366259,0,84365
