Factor,Target,Quantile,Trades,Average_Future_Return,Median_Future_Return,Win_Rate,Std_Future_Return,Min_Future_Return,Max_Future_Return,Average_Future_Return_Pct,Median_Future_Return_Pct,Win_Rate_Pct
Return_1D,Future_Return_1D,1,16873,0.0011522522061395521,0.0007126446947842,0.5195875066674569,0.020417620057794898,-0.1278971220645359,0.2224185161030107,0.11522522061395521,0.07126446947842001,51.958750666745686
Return_1D,Future_Return_1D,2,16873,0.00011840606866552806,0.0004359464087899,0.5131274817756178,0.014559832225531383,-0.1203373730798194,0.1502150768116916,0.011840606866552805,0.043594640878989996,51.31274817756179
Return_1D,Future_Return_1D,3,16873,0.0006771289610868781,0.0006264702277563,0.522847152255082,0.013651238790019695,-0.0898562267465722,0.1582283057612832,0.0677128961086878,0.06264702277563,52.28471522550821
Return_1D,Future_Return_1D,4,16873,2.889805700575612e-05,0.0003513013079465,0.5125348189415042,0.01379905948783266,-0.09342880225762,0.1535825164889992,0.002889805700575612,0.03513013079465,51.25348189415042
Return_1D,Future_Return_1D,5,16873,-0.0005572614448078062,0.0,0.4978367806554851,0.01870296284322227,-0.1685545990292773,0.157802559050403,-0.05572614448078062,0.0,49.78367806554851
Return_1D,Future_Return_3D,1,16873,0.0031469772810584617,0.0027595669288518,0.5381971196586262,0.04114060291551509,-0.3466666821186049,0.6073923617978638,0.3146977281058462,0.27595669288518,53.819711965862616
Return_1D,Future_Return_3D,2,16873,0.001842697276595469,0.0018340154673055,0.5323890238843122,0.029223516606111943,-0.3451172971949461,0.3037149295755048,0.1842697276595469,0.18340154673055,53.23890238843122
Return_1D,Future_Return_3D,3,16873,0.001682247181470602,0.0019923217257131,0.5364783974396966,0.02772975623587451,-0.2959265768303462,0.2536113685125956,0.1682247181470602,0.19923217257130998,53.64783974396966
Return_1D,Future_Return_3D,4,16873,0.0013003519354932314,0.0015539184498163,0.5298405736976234,0.028413168673390474,-0.2522453112196082,0.3076383494245076,0.13003519354932314,0.15539184498163,52.98405736976234
Return_1D,Future_Return_3D,5,16873,0.0014679225909761478,0.001982725519257,0.5299591062644462,0.03784400046327562,-0.3180966360711365,0.4598156743714217,0.14679225909761479,0.1982725519257,52.99591062644462
Return_1D,Future_Return_5D,1,16873,0.0051604550771715595,0.0044858090304575,0.5498725774906655,0.054912342989117714,-0.4531223602938753,0.8082123766737199,0.516045507717156,0.44858090304575,54.98725774906655
Return_1D,Future_Return_5D,2,16873,0.0034945821951869577,0.0034555380459022,0.5484501866887928,0.03866419958553692,-0.3700558157936853,0.47896388138874,0.34945821951869577,0.34555380459022,54.84501866887928
Return_1D,Future_Return_5D,3,16873,0.0031855871282827344,0.0038793541737793,0.5539026847626385,0.036902225635313674,-0.3130990361795991,0.3238443047894535,0.3185587128282734,0.38793541737793,55.39026847626385
Return_1D,Future_Return_5D,4,16873,0.002593420097652509,0.0032411882140168,0.5481538552717359,0.0377264934933075,-0.3144059031411338,0.3796307897680839,0.2593420097652509,0.32411882140167997,54.81538552717359
Return_1D,Future_Return_5D,5,16873,0.003181886206882416,0.0040425556833492,0.5457832039352812,0.05020113802638145,-0.4432934376807571,0.5408639892685674,0.3181886206882416,0.40425556833492,54.578320393528124
Return_1D,Future_Return_10D,1,16873,0.010811211328279745,0.010928039832657,0.5725715640372192,0.07554401832451917,-0.6148600699257925,0.5491964714904667,1.0811211328279744,1.0928039832657,57.25715640372192
Return_1D,Future_Return_10D,2,16873,0.006269455128692342,0.0068570894170369,0.559473715403307,0.05668525342321549,-0.4517910843093392,0.5873561692906928,0.6269455128692342,0.68570894170369,55.94737154033071
Return_1D,Future_Return_10D,3,16873,0.006351313171255338,0.0068688210813427,0.5619036330231731,0.054016590865976044,-0.4368815195133849,0.5263834340483209,0.6351313171255338,0.68688210813427,56.190363302317316
Return_1D,Future_Return_10D,4,16873,0.005974534291003111,0.0066925885407003,0.5631482249748119,0.05496076628299636,-0.6305522454304135,0.3915507665183437,0.5974534291003111,0.6692588540700299,56.31482249748119
Return_1D,Future_Return_10D,5,16873,0.008759653469591492,0.0087515487499836,0.5703787115509986,0.0716195140792062,-0.5561301348960563,0.552755472521202,0.8759653469591492,0.8751548749983599,57.037871155099864
Return_3D,Future_Return_1D,1,16873,0.0008542467305629937,0.0006913397010954,0.5178687844485272,0.021310605953127344,-0.1685545990292773,0.2224185161030107,0.08542467305629937,0.06913397010953999,51.786878444852725
