Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Position_Value,PnL,Return,Exit_Reason,Hold_Days,ATR_Pct,Return_10D
AMD,2022-01-04,2022-01-04,151.00999450683594,147.9897946166992,13.244156497929438,2000.0,-40.00000000000006,-0.020000000000000018,SL,0,0.0465017702460965,0.0906715462298661
NVDA,2022-01-04,2022-01-04,30.18165084016446,29.57801782336117,66.19785112421512,1997.960429000249,-39.95920858000502,-0.020000000000000018,SL,0,0.0466333673477107,0.0834502594627919
TSLA,2022-01-04,2022-01-04,396.51666259765625,388.5863293457031,5.033588179020736,1995.901585636316,-39.918031712726346,-0.020000000000000018,SL,0,0.0477057806716556,0.2865308004956926
AMD,2022-01-05,2022-01-05,142.82000732421875,139.96360717773436,13.835768454034863,1976.0245519414539,-39.520491038829284,-0.02000000000000013,SL,0,0.0508882674424689,0.0634756621758112
NVDA,2022-01-05,2022-01-05,28.857832469761814,28.280675820366575,68.62788376735774,1980.451972512696,-39.60903945025407,-0.02000000000000013,SL,0,0.04964154476359,0.0566760297925632
TSLA,2022-01-05,2022-01-05,382.2166748046875,374.57234130859376,5.193697187157362,1985.1176688177454,-39.70235337635484,-0.020000000000000018,SL,0,0.0528045516823519,0.2774072979512694
TSLA,2022-01-06,2022-01-06,359.0,351.82,5.438045056179293,1952.2581751683663,-39.04516350336736,-0.020000000000000018,SL,0,0.0583365378064604,0.1593875868796488
TSLA,2022-01-07,2022-01-07,360.1233215332031,352.92085510253906,5.399398001188367,1944.4491424676926,-38.888982849353845,-0.020000000000000018,SL,0,0.0592501006780361,0.0553390968470492
COP,2022-01-24,2022-01-24,68.18113355452384,66.81751088343336,28.404798291437665,1936.671345897822,-38.73342691795659,-0.02000000000000013,SL,0,0.0328130020056894,0.0538918745536076
COP,2022-01-26,2022-01-26,74.9569785080597,73.45783893789852,25.733756868372488,1928.9246605142305,-38.57849321028452,-0.019999999999999907,SL,0,0.0353084302244479,0.0750339344580182
COP,2022-01-28,2022-01-31,74.33177130278283,74.87249755859375,25.846403606424584,1921.2089618721734,13.975829048279923,0.007274497113869849,TIME,3,0.0340015016059759,0.0623222705713555
V,2022-01-31,2022-02-01,217.5475100640139,226.24941046657446,8.856109172384043,1926.6244993072232,77.06497997228904,0.040000000000000036,TP,1,0.0343201735808504,0.0604650266119581
UPS,2022-02-02,2022-02-02,182.98109433964447,179.32147245285157,10.617153832616243,1942.7384270644707,-38.85476854128958,-0.02000000000000013,SL,0,0.0324245214762754,0.1220878184612745
AVGO,2022-02-03,2022-02-03,54.97563535906677,53.87612265188544,35.40567414727225,1946.4494315623765,-38.92898863124744,-0.019999999999999907,SL,0,0.0403064701807252,0.069968097245868
COP,2022-02-03,2022-02-03,78.38716128316608,76.81941805750276,24.077686290545635,1887.3814785824775,-37.74762957164954,-0.020000000000000018,SL,0,0.0359660688852994,0.0564847502389733
MA,2022-02-02,2022-02-04,378.9185667737952,371.34019543831926,5.118295311282728,1939.4171236762872,-38.78834247352591,-0.02000000000000013,SL,2,0.0377365191068063,0.0703249538480079
V,2022-02-02,2022-02-04,223.093458671636,218.63158949820328,8.708483590314183,1942.8057239483774,-38.85611447896752,-0.020000000000000018,SL,2,0.0329752980235525,0.0771869979445842
MS,2022-02-02,2022-02-07,89.75427428490303,90.94752502441406,21.638825644176684,1942.1770920706276,25.82054470206405,0.013294639715133227,TIME,5,0.0374947347182728,0.1134389467589858
AVGO,2022-02-04,2022-02-07,53.195329671643,55.323142858508724,35.94000921534445,1911.8406386121355,76.47362554448551,0.040000000000000036,TP,3,0.0405919700959751,0.060486851166839
