Date,Equity,Cash,Open_Positions,Hold_Period
2022-01-03,10000.0,10000.0,0,1
2022-01-04,9780.337977651421,9780.337977651421,0,1
2022-01-05,9498.258164054394,9498.258164054394,0,1
2022-01-06,9476.562945978967,9476.562945978967,0,1
2022-01-07,9382.86491663158,9382.86491663158,0,1
2022-01-10,9382.86491663158,9382.86491663158,0,1
2022-01-11,9382.86491663158,9382.86491663158,0,1
2022-01-12,9382.86491663158,9382.86491663158,0,1
2022-01-13,9382.86491663158,9382.86491663158,0,1
2022-01-14,9382.86491663158,9382.86491663158,0,1
2022-01-18,9382.86491663158,9382.86491663158,0,1
2022-01-19,9382.86491663158,9382.86491663158,0,1
2022-01-20,9382.86491663158,9382.86491663158,0,1
2022-01-21,9382.86491663158,9382.86491663158,0,1
2022-01-24,9436.813478134312,9436.813478134312,0,1
2022-01-25,9436.813478134312,9436.813478134312,0,1
2022-01-26,9401.499806545475,9401.499806545475,0,1
2022-01-27,9401.499806545475,9401.499806545475,0,1
2022-01-28,9428.000918688083,9428.000918688083,0,1
2022-01-31,9429.785924836233,9429.785924836233,0,1
2022-02-01,9475.168644840558,9475.168644840558,0,1
2022-02-02,9559.424500624096,9559.424500624096,0,1
2022-02-03,9420.258099473063,9420.258099473063,0,1
2022-02-04,9413.821979410783,9413.821979410783,0,1
2022-02-07,9399.083694128785,9399.083694128785,0,1
2022-02-08,9575.052201201772,9575.052201201772,0,1
2022-02-09,9605.291771870252,9605.291771870252,0,1
2022-02-10,9593.16251688645,9593.16251688645,0,1
2022-02-11,9187.61065331394,9187.61065331394,0,1
2022-02-14,9162.751042026126,9162.751042026126,0,1
2022-02-15,9173.696902339978,9173.696902339978,0,1
2022-02-16,9191.304286264385,9191.304286264385,0,1
2022-02-17,9150.158616745666,9150.158616745666,0,1
2022-02-18,9116.05289360246,9116.05289360246,0,1
2022-02-22,9116.05289360246,9116.05289360246,0,1
2022-02-23,9116.05289360246,9116.05289360246,0,1
2022-02-24,9116.05289360246,9116.05289360246,0,1
2022-02-25,9116.05289360246,9116.05289360246,0,1
2022-02-28,9116.05289360246,9116.05289360246,0,1
2022-03-01,8989.368599584981,8989.368599584981,0,1
2022-03-02,8983.337272930388,8983.337272930388,0,1
2022-03-03,8987.219086098044,8987.219086098044,0,1
2022-03-04,9036.20170460983,9036.20170460983,0,1
2022-03-07,9032.284125641698,9032.284125641698,0,1
2022-03-08,8984.057387003004,8984.057387003004,0,1
2022-03-09,8949.97517449762,8949.97517449762,0,1
2022-03-10,9053.526877377208,9053.526877377208,0,1
2022-03-11,9140.402159767276,9140.402159767276,0,1
2022-03-14,9097.191016433933,9097.191016433933,0,1
2022-03-15,9076.385765995834,9076.385765995834,0,1
2022-03-16,9042.009746409229,9042.009746409229,0,1
2022-03-17,9095.593181668493,9095.593181668493,0,1
2022-03-18,9184.99931451025,9184.99931451025,0,1
2022-03-21,9174.037472953292,9174.037472953292,0,1
2022-03-22,9300.527898484943,9300.527898484943,0,1
2022-03-23,9167.044238758594,9167.044238758594,0,1
2022-03-24,9328.080259948549,9328.080259948549,0,1
2022-03-25,9360.866422092791,9360.866422092791,0,1
2022-03-28,9426.697041864845,9426.697041864845,0,1
2022-03-29,9528.458163701562,9528.458163701562,0,1
2022-03-30,9443.04157018859,9443.04157018859,0,1
2022-03-31,9285.385204680708,9285.385204680708,0,1
2022-04-01,9248.79825460641,9248.79825460641,0,1
2022-04-04,9344.004733341888,9344.004733341888,0,1
2022-04-05,9269.93027104238,9269.93027104238,0,1
2022-04-06,9222.072447664428,9222.072447664428,0,1
2022-04-07,9257.914970985958,9257.914970985958,0,1
2022-04-08,9257.914970985958,9257.914970985958,0,1
2022-04-11,9257.914970985958,9257.914970985958,0,1
2022-04-12,9257.914970985958,9257.914970985958,0,1
2022-04-13,9257.914970985958,9257.914970985958,0,1
2022-04-14,9257.914970985958,9257.914970985958,0,1
2022-04-18,9257.914970985958,9257.914970985958,0,1
2022-04-19,9257.914970985958,9257.914970985958,0,1
2022-04-20,9257.914970985958,9257.914970985958,0,1
2022-04-21,9257.914970985958,9257.914970985958,0,1
2022-04-22,9257.914970985958,9257.914970985958,0,1
2022-04-25,9257.914970985958,9257.914970985958,0,1
2022-04-26,9257.914970985958,9257.914970985958,0,1
2022-04-27,9257.914970985958,9257.914970985958,0,1
2022-04-28,9257.914970985958,9257.914970985958,0,1
2022-04-29,9257.914970985958,9257.914970985958,0,1
2022-05-02,9257.914970985958,9257.914970985958,0,1
2022-05-03,9257.914970985958,9257.914970985958,0,1
2022-05-04,9257.914970985958,9257.914970985958,0,1
2022-05-05,9097.699304069067,9097.699304069067,0,1
2022-05-06,9066.370361363519,9066.370361363519,0,1
2022-05-09,8667.9498241096,8667.9498241096,0,1
2022-05-10,8652.521482180278,8652.521482180278,0,1
2022-05-11,8573.993188697948,8573.993188697948,0,1
2022-05-12,8632.342447064382,8632.342447064382,0,1
2022-05-13,8632.342447064382,8632.342447064382,0,1
2022-05-16,8754.001080710685,8754.001080710685,0,1
2022-05-17,8752.161675751222,8752.161675751222,0,1
2022-05-18,8538.280754032658,8538.280754032658,0,1
2022-05-19,8538.280754032658,8538.280754032658,0,1
2022-05-20,8538.280754032658,8538.280754032658,0,1
2022-05-23,8538.280754032658,8538.280754032658,0,1
2022-05-24,8527.03042324032,8527.03042324032,0,1
2022-05-25,8612.756802001442,8612.756802001442,0,1
2022-05-26,8785.709275438527,8785.709275438527,0,1
2022-05-27,8961.558186724817,8961.558186724817,0,1
2022-05-31,8890.914530496606,8890.914530496606,0,1
2022-06-01,8824.77451789959,8824.77451789959,0,1
2022-06-02,9090.400625880886,9090.400625880886,0,1
2022-06-03,9058.671177288203,9058.671177288203,0,1
2022-06-06,8953.842206150257,8953.842206150257,0,1
2022-06-07,9123.572288197076,9123.572288197076,0,1
2022-06-08,9034.438318793873,9034.438318793873,0,1
2022-06-09,8866.468573370692,8866.468573370692,0,1
2022-06-10,8602.93168887942,8602.93168887942,0,1
2022-06-13,8557.331821047552,8557.331821047552,0,1
2022-06-14,8557.331821047552,8557.331821047552,0,1
2022-06-15,8557.331821047552,8557.331821047552,0,1
2022-06-16,8557.331821047552,8557.331821047552,0,1
2022-06-17,8557.331821047552,8557.331821047552,0,1
2022-06-21,8557.331821047552,8557.331821047552,0,1
2022-06-22,8557.331821047552,8557.331821047552,0,1
2022-06-23,8557.331821047552,8557.331821047552,0,1
2022-06-24,8557.331821047552,8557.331821047552,0,1
2022-06-27,8538.299290586936,8538.299290586936,0,1
2022-06-28,8429.195293790819,8429.195293790819,0,1
2022-06-29,8424.191637632974,8424.191637632974,0,1
2022-06-30,8498.746491107893,8498.746491107893,0,1
2022-07-01,8524.590287580246,8524.590287580246,0,1
2022-07-05,8698.638762261813,8698.638762261813,0,1
2022-07-06,8707.42583591864,8707.42583591864,0,1
2022-07-07,8870.971199059988,8870.971199059988,0,1
2022-07-08,8965.02409324466,8965.02409324466,0,1
2022-07-11,8758.468704138544,8758.468704138544,0,1
2022-07-12,8758.468704138544,8758.468704138544,0,1
2022-07-13,8772.699191216041,8772.699191216041,0,1
2022-07-14,8772.699191216041,8772.699191216041,0,1
2022-07-15,8755.879595125327,8755.879595125327,0,1
2022-07-18,8610.771276219944,8610.771276219944,0,1
2022-07-19,8884.149650412426,8884.149650412426,0,1
2022-07-20,9118.16308865506,9118.16308865506,0,1
2022-07-21,9262.427743445041,9262.427743445041,0,1
2022-07-22,9092.881846453707,9092.881846453707,0,1
2022-07-25,9064.186911496314,9064.186911496314,0,1
2022-07-26,8951.716891936088,8951.716891936088,0,1
2022-07-27,9119.850239850379,9119.850239850379,0,1
2022-07-28,9262.537776637228,9262.537776637228,0,1
2022-07-29,9405.10817557645,9405.10817557645,0,1
2022-08-01,9486.9312689998,9486.9312689998,0,1
2022-08-02,9531.240735566083,9531.240735566083,0,1
2022-08-03,9600.278806805898,9600.278806805898,0,1
2022-08-04,9784.816401637074,9784.816401637074,0,1
2022-08-05,9743.86641724961,9743.86641724961,0,1
2022-08-08,9700.397013508042,9700.397013508042,0,1
2022-08-09,9573.877857887257,9573.877857887257,0,1
2022-08-10,9620.501425816296,9620.501425816296,0,1
2022-08-11,9473.678109739598,9473.678109739598,0,1
2022-08-12,9596.558622799534,9596.558622799534,0,1
2022-08-15,9691.71784805158,9691.71784805158,0,1
2022-08-16,9670.97321181684,9670.97321181684,0,1
2022-08-17,9666.18158512167,9666.18158512167,0,1
2022-08-18,9733.827386676378,9733.827386676378,0,1
2022-08-19,9745.761457426368,9745.761457426368,0,1
2022-08-22,9724.906125622525,9724.906125622525,0,1
2022-08-23,9728.252450508706,9728.252450508706,0,1
2022-08-24,9801.148383830958,9801.148383830958,0,1
2022-08-25,9812.229176128962,9812.229176128962,0,1
2022-08-26,9812.229176128962,9812.229176128962,0,1
2022-08-29,9812.229176128962,9812.229176128962,0,1
2022-08-30,9812.229176128962,9812.229176128962,0,1
2022-08-31,9812.229176128962,9812.229176128962,0,1
2022-09-01,9812.229176128962,9812.229176128962,0,1
2022-09-02,9812.229176128962,9812.229176128962,0,1
2022-09-06,9812.229176128962,9812.229176128962,0,1
2022-09-07,9812.229176128962,9812.229176128962,0,1
2022-09-08,9812.229176128962,9812.229176128962,0,1
2022-09-09,9812.229176128962,9812.229176128962,0,1
2022-09-12,9812.229176128962,9812.229176128962,0,1
2022-09-13,9734.55069444139,9734.55069444139,0,1
2022-09-14,9734.55069444139,9734.55069444139,0,1
2022-09-15,9746.935459956936,9746.935459956936,0,1
2022-09-16,9805.231801404881,9805.231801404881,0,1
2022-09-19,9918.745629762383,9918.745629762383,0,1
2022-09-20,9950.976582554069,9950.976582554069,0,1
2022-09-21,9855.056849931581,9855.056849931581,0,1
2022-09-22,9780.978021242503,9780.978021242503,0,1
2022-09-23,9780.978021242503,9780.978021242503,0,1
2022-09-26,9780.978021242503,9780.978021242503,0,1
2022-09-27,9780.978021242503,9780.978021242503,0,1
2022-09-28,9780.978021242503,9780.978021242503,0,1
2022-09-29,9765.594780102694,9765.594780102694,0,1
