Quarter,Trades,PnL,Avg_PnL,Win_Rate,Profit_Factor
2022Q1,66,-89.86006191008869,-1.3615160895467984,48.484848484848484,0.9622638166707612
2022Q2,53,-1275.802738082723,-24.071749775145715,45.28301886792453,0.6145570961875527
2022Q3,77,3763.3006578476447,48.87403451750188,68.83116883116884,3.4281081570830483
2022Q4,89,2815.0160001165523,31.629393259736542,60.67415730337079,1.8954812562690588
2023Q1,80,6356.5728926769225,79.45716115846153,62.5,2.8841893097970015
2023Q2,55,6733.71510699784,122.43118376359709,60.0,3.380292983867805
2023Q3,19,596.0139094670812,31.36915312984638,52.63157894736842,1.402370411542365
2023Q4,32,3926.9494357999283,122.71716986874776,78.125,7.3061087581997715
2024Q1,29,1321.3996965112583,45.56550677625029,48.275862068965516,1.3712945617977503
2024Q2,35,-633.3527858099251,-18.095793880283573,48.57142857142857,0.8636242835129057
2024Q3,60,2752.793609481615,45.87989349136025,51.66666666666667,1.3672246871008396
2024Q4,32,7414.845125645621,231.71391017642566,56.25,2.5351003676055313
2025Q1,49,-4281.442547608225,-87.37637852261685,46.93877551020408,0.6267679308860947
2025Q2,88,13835.966651968443,157.22689377236867,72.72727272727273,2.681543253966433
2025Q3,56,5342.324638664135,95.39865426185955,44.642857142857146,1.5914135181414897
2025Q4,52,4545.161932768873,87.40696024555525,51.92307692307693,1.46536135201164
