Hold_Period,Trades,Wins,Losses,Win_Rate,PnL,Final_Equity,Portfolio_Return,Avg_Return,Median_Return,Profit_Factor,Max_Drawdown
1,1811,935,874,0.5162893429044727,4383.462818881593,14383.462818881593,0.4383462818881594,0.0011111589443529575,0.0007257104472870868,1.1368558657869086,-0.1575808362367026
3,720,409,311,0.5680555555555555,8923.629025264581,18923.62902526458,0.8923629025264581,0.004907886997742677,0.008008283337016309,1.3146363000353485,-0.21842544835133781
5,485,282,203,0.5814432989690722,9099.228211083515,19099.228211083515,0.9099228211083514,0.007564048023237719,0.009928992388652746,1.370853113610187,-0.26656666567019494
