Hold_Days,Trades,Win_Rate_pct,PnL,Final_Equity,Return_pct,Avg_Trade_pct,Median_Trade_pct,Profit_Factor,Max_Drawdown_pct,Avg_Open_Positions,Max_Open_Positions,Accounting_Difference
1,1816,59.691629955947135,225666.9882237903,235666.9882237912,2256.669882237912,0.9013068106655207,0.8437037737332842,1.7247600929160367,-20.14232453076017,1.841784989858012,5,9.022187441587448e-10
3,872,59.518348623853214,79537.88170220228,89537.88170220233,795.3788170220232,1.3260665548391486,1.0336017281802556,1.8572211822297175,-23.269219169320376,2.1004056795131847,5,4.3655745685100555e-11
5,547,62.705667276051194,51786.06532424262,61786.06532424262,517.8606532424262,1.7734599114579894,1.9725915783278758,2.1602982267846746,-20.83602170968354,2.292089249492901,5,0.0
