Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,PnL,Return_pct,Holding_Days,Exit_Reason,Exit_Year
NFLX,2023-01-04,2023-01-05,29.823999404907227,30.96999931335449,67.0600871749924,76.85085376300671,3.842542688150341,1,TIME,2023
NFLX,2023-01-05,2023-01-06,30.700000762939453,31.55500030517578,65.64723520090344,56.128356045853,2.785014726346424,1,TIME,2023
AMD,2023-01-10,2023-01-11,66.66999816894531,69.05999755859375,30.397418593386945,72.64981188508287,3.5848199419355797,1,TIME,2023
TSLA,2023-01-11,2023-01-12,122.08999633789062,123.55999755859376,16.718206778300353,24.575784372069016,1.2040308500254504,1,TIME,2023
NVDA,2023-01-11,2023-01-12,15.804882316459198,16.47439193725586,129.14527064925758,86.4640011800667,4.236093679099628,1,TIME,2023
AMD,2023-01-11,2023-01-12,68.38999938964844,70.80000305175781,29.845384157844205,71.92748511746566,3.5239123901412928,1,TIME,2023
TSLA,2023-01-12,2023-01-13,122.55999755859376,122.4000015258789,16.95267052758701,-2.7123600283360196,-0.13054506845788794,1,TIME,2023
NVDA,2023-01-12,2023-01-13,16.06430389569738,16.861534118652344,129.33764649641617,103.11188075280837,4.9627436590544916,1,TIME,2023
AMD,2023-01-12,2023-01-13,70.06999969482422,71.0,29.652051769969983,27.57641719516015,1.3272446256974657,1,TIME,2023
NVDA,2023-01-13,2023-01-17,16.241910621869895,17.66275405883789,129.4992008652296,183.99808964196166,8.748006746538884,4,TIME,2023
TSLA,2023-01-17,2023-01-18,125.6999969482422,128.77999877929688,17.02556973701625,52.438785964759084,2.4502799569063427,1,TIME,2023
NVDA,2023-01-17,2023-01-18,16.861534824609727,17.33847427368164,126.92285051426582,60.534514398910794,2.8285648609865044,1,TIME,2023
TSLA,2023-01-18,2023-01-19,136.55999755859375,127.16999816894533,15.837058895155655,-148.70997335933774,-6.87609809426033,1,TIME,2023
NVDA,2023-01-18,2023-01-19,17.627830325283927,16.727832794189453,122.68717613850345,-110.41815562160598,-5.105549091901517,1,TIME,2023
TSLA,2023-01-19,2023-01-20,127.26000213623048,133.4199981689453,16.587168496209003,102.17689213061986,4.840480849686468,1,TIME,2023
NVDA,2023-01-19,2023-01-20,16.998231918602517,17.799448013305664,124.18250959098079,99.4970253649217,4.713526080476127,1,TIME,2023
TSLA,2023-01-20,2023-01-23,128.67999267578125,143.75,16.717578521945008,251.93403076891335,11.711227993452521,3,TIME,2023
