Window,Train_Start,Train_End,Test_Start,Test_End,Signal,Horizon,Observations,Coverage_pct,Avg_Return_pct,Win_Rate_pct,Excess_vs_Baseline_pp,ATR_Q80,Return10_Q80,Score_Q80,Score_Q90,Score_Q95
W1,2018-10-16,2021-12-31,2022-01-01,2022-12-31,ATR_Q80,1,4342,36.80596761888616,0.05646132934495261,51.704283740211885,0.05432257060571832,0.032140927658263777,0.050548994091881086,0.6687662730452623,0.7986061068300766,0.8806801146674382
W1,2018-10-16,2021-12-31,2022-01-01,2022-12-31,ATR_Q80,3,4342,36.80596761888616,0.15362102278050246,52.09580838323353,0.22826241065864714,0.032140927658263777,0.050548994091881086,0.6687662730452623,0.7986061068300766,0.8806801146674382
W1,2018-10-16,2021-12-31,2022-01-01,2022-12-31,ATR_Q80,5,4342,36.80596761888616,0.238024549602869,53.615845232611704,0.3702035876581571,0.032140927658263777,0.050548994091881086,0.6687662730452623,0.7986061068300766,0.8806801146674382
W1,2018-10-16,2021-12-31,2022-01-01,2022-12-31,COMBO_Q80,1,994,8.425870984148512,0.03325890895418468,50.50301810865191,0.0311201502149504,0.032140927658263777,0.050548994091881086,0.6687662730452623,0.7986061068300766,0.8806801146674382
W1,2018-10-16,2021-12-31,2022-01-01,2022-12-31,COMBO_Q80,3,994,8.425870984148512,-0.03313692104533474,52.41448692152918,0.04150446683280993,0.032140927658263777,0.050548994091881086,0.6687662730452623,0.7986061068300766,0.8806801146674382
W1,2018-10-16,2021-12-31,2022-01-01,2022-12-31,COMBO_Q80,5,994,8.425870984148512,0.028682758909151625,53.52112676056338,0.1608617969644397,0.032140927658263777,0.050548994091881086,0.6687662730452623,0.7986061068300766,0.8806801146674382
W1,2018-10-16,2021-12-31,2022-01-01,2022-12-31,SCORE_TOP20,1,3328,28.21056200728999,0.08707241383489671,52.94471153846154,0.08493365509566242,0.032140927658263777,0.050548994091881086,0.6687662730452623,0.7986061068300766,0.8806801146674382
W1,2018-10-16,2021-12-31,2022-01-01,2022-12-31,SCORE_TOP20,3,3328,28.21056200728999,0.11955405858693831,54.567307692307686,0.194195446465083,0.032140927658263777,0.050548994091881086,0.6687662730452623,0.7986061068300766,0.8806801146674382
W1,2018-10-16,2021-12-31,2022-01-01,2022-12-31,SCORE_TOP20,5,3328,28.21056200728999,0.2019889157751451,55.28846153846154,0.3341679538304332,0.032140927658263777,0.050548994091881086,0.6687662730452623,0.7986061068300766,0.8806801146674382
W1,2018-10-16,2021-12-31,2022-01-01,2022-12-31,SCORE_TOP10,1,1672,14.173094854624058,0.05791641592835174,52.03349282296651,0.05577765718911746,0.032140927658263777,0.050548994091881086,0.6687662730452623,0.7986061068300766,0.8806801146674382
