Holding_Period,Trades,Win_Rate,PnL,Return,Avg_Trade_Return,Median_Trade_Return,Profit_Factor,Max_Drawdown
1,1810,0.518232044198895,4883.214630652977,0.48832146306529767,0.0012029826835156373,0.0007806702661278253,1.1564572342545136,-0.15956966476909296
3,714,0.5700280112044818,9270.88984101999,0.9270889841019991,0.0059584242928622825,0.008702605597705193,1.3932067243660384,-0.19847607742776519
5,476,0.5882352941176471,9288.739452466427,0.9288739452466427,0.008593834790085372,0.010651137032485103,1.4899103815622416,-0.2595170578246436
