Date,Equity,Cash,Open_Positions,Peak,Drawdown_pct
2022-01-03,10176.18495366766,3960.8359390483165,3,10176.18495366766,0.0
2022-01-04,9723.11733115833,4023.381536670481,3,10176.18495366766,-4.452234551279821
2022-01-05,9300.34247362147,7518.455164869223,1,10176.18495366766,-8.606786178060998
2022-01-06,9237.265593951626,7408.197718201943,1,10176.18495366766,-9.22663418551205
2022-01-07,9170.667623480602,9170.667623480602,0,10176.18495366766,-9.881083478387975
2022-01-10,9170.667623480602,9170.667623480602,0,10176.18495366766,-9.881083478387975
2022-01-11,9170.667623480602,9170.667623480602,0,10176.18495366766,-9.881083478387975
2022-01-12,9170.667623480602,9170.667623480602,0,10176.18495366766,-9.881083478387975
2022-01-13,9170.667623480602,9170.667623480602,0,10176.18495366766,-9.881083478387975
2022-01-14,9170.667623480602,9170.667623480602,0,10176.18495366766,-9.881083478387975
2022-01-18,9170.667623480602,9170.667623480602,0,10176.18495366766,-9.881083478387975
2022-01-19,9170.667623480602,9170.667623480602,0,10176.18495366766,-9.881083478387975
2022-01-20,9170.667623480602,9170.667623480602,0,10176.18495366766,-9.881083478387975
2022-01-21,9121.575638758915,7336.534098784481,1,10176.18495366766,-10.363503805310126
2022-01-24,9126.259012579936,9126.259012579936,0,10176.18495366766,-10.317480921072619
2022-01-25,9211.964406359597,7301.007210063949,1,10176.18495366766,-9.47526555087368
2022-01-26,9208.957753227043,9208.957753227043,0,10176.18495366766,-9.504811526563428
2022-01-27,9221.80353057144,7367.166202581635,1,10176.18495366766,-9.378577801421006
2022-01-28,9294.656491587637,5514.604452158829,2,10176.18495366766,-8.662661558271957
2022-01-31,9266.24596346461,7410.408216175876,1,10176.18495366766,-8.941847994567887
2022-02-01,9448.422364398397,1830.8473567624196,4,10176.18495366766,-7.151625020405761
2022-02-02,9539.859282988939,0.0,5,10176.18495366766,-6.253086727255086
2022-02-03,9178.638001074065,58.20969375020127,5,10176.18495366766,-9.80275965045293
2022-02-04,9181.046976480311,0.0,5,10176.18495366766,-9.779086973342455
2022-02-07,9084.087593453653,0.0,5,10176.18495366766,-10.731893781278002
2022-02-08,9443.079513666697,0.0,5,10176.18495366766,-7.204128495490247
2022-02-09,9827.871311721172,0.0,5,10176.18495366766,-3.4228312823751383
2022-02-10,9501.613349507537,19.075552605116172,5,10176.18495366766,-6.6289243683311465
2022-02-11,8624.322491339532,212.57516042428188,5,10176.18495366766,-15.249943563268397
2022-02-14,8601.965449957941,6881.017731152402,1,10176.18495366766,-15.469643200051564
2022-02-15,8731.596045566528,6901.213111652362,1,10176.18495366766,-14.1957807830574
2022-02-16,8751.969595894227,6984.696268265381,1,10176.18495366766,-13.99557264591701
2022-02-17,8666.888611513055,6965.647274654928,1,10176.18495366766,-14.83165202899177
2022-02-18,8642.648560897358,8642.648560897358,0,10176.18495366766,-15.069855744097804
2022-02-22,8642.648560897358,8642.648560897358,0,10176.18495366766,-15.069855744097804
2022-02-23,8642.648560897358,8642.648560897358,0,10176.18495366766,-15.069855744097804
2022-02-24,8642.648560897358,8642.648560897358,0,10176.18495366766,-15.069855744097804
2022-02-25,8642.648560897358,8642.648560897358,0,10176.18495366766,-15.069855744097804
2022-02-28,8684.410282421928,6914.118848717886,1,10176.18495366766,-14.659468927086206
2022-03-01,8564.346552660973,6837.024420424708,1,10176.18495366766,-15.8393190409315
2022-03-02,8574.372955836096,6865.472488816759,1,10176.18495366766,-15.740790926311199
2022-03-03,8563.678197419807,6849.355010000641,1,10176.18495366766,-15.845886877937287
2022-03-04,8657.417592874008,6889.797736248109,1,10176.18495366766,-14.924722454521266
2022-03-07,8667.771295763203,6938.609241406509,1,10176.18495366766,-14.822978009659703
2022-03-08,8599.690362318484,3458.692183195172,3,10176.18495366766,-15.492000180096788
2022-03-09,8537.23430085423,0.0,5,10176.18495366766,-16.105747490592982
2022-03-10,8654.843814902028,1671.125830887195,4,10176.18495366766,-14.950014624265616
2022-03-11,8717.819659423647,1717.4108439421263,4,10176.18495366766,-14.33115947561856
2022-03-14,8622.509316715197,3431.3063351717146,3,10176.18495366766,-15.267761386279577
2022-03-15,8566.365908407917,1692.006414951943,4,10176.18495366766,-15.81947510377687
2022-03-16,8546.657493858656,6847.627157262274,1,10176.18495366766,-16.0131470411384
2022-03-17,8757.207416801251,3398.3994694342955,3,10176.18495366766,-13.944101284784393
2022-03-18,9105.525588638942,0.0,5,10176.18495366766,-10.521225487778063
2022-03-21,9066.398850575484,0.0,5,10176.18495366766,-10.905718676940824
2022-03-22,9468.502182051867,0.0,5,10176.18495366766,-6.9543033547236455
2022-03-23,9295.90222109615,5.392856467487945,5,10176.18495366766,-8.650419942045584
2022-03-24,9839.39770962267,0.0,5,10176.18495366766,-3.3095629214522693
2022-03-25,9697.017829099017,18.481989205339005,5,10176.18495366766,-4.708710845472042
2022-03-28,10163.241005859083,0.0,5,10176.18495366766,-0.1271984330818543
2022-03-29,10453.835087498082,2.955357609749626,5,10453.835087498082,0.0
2022-03-30,10132.363330447462,54.139521722594054,5,10453.835087498082,-3.0751561925352444
2022-03-31,9850.92137239254,4011.9917544766085,3,10453.835087498082,-5.767392636857038
2022-04-01,9842.449270074429,7870.529252128533,1,10453.835087498082,-5.848435644013749
2022-04-04,10051.361872255477,7960.8147055059435,1,10453.835087498082,-3.850005398726164
2022-04-05,9869.676632027116,7960.3752705703755,1,10453.835087498082,-5.587982310621786
2022-04-06,9769.223086858861,7830.591422212305,1,10453.835087498082,-6.548907600981391
2022-04-07,9803.85435329164,9803.85435329164,0,10453.835087498082,-6.217629499280763
2022-04-08,9803.85435329164,9803.85435329164,0,10453.835087498082,-6.217629499280763
2022-04-11,9803.85435329164,9803.85435329164,0,10453.835087498082,-6.217629499280763
2022-04-12,9803.85435329164,9803.85435329164,0,10453.835087498082,-6.217629499280763
2022-04-13,9803.85435329164,9803.85435329164,0,10453.835087498082,-6.217629499280763
2022-04-14,9803.85435329164,9803.85435329164,0,10453.835087498082,-6.217629499280763
2022-04-18,9803.85435329164,9803.85435329164,0,10453.835087498082,-6.217629499280763
2022-04-19,9803.85435329164,9803.85435329164,0,10453.835087498082,-6.217629499280763
2022-04-20,9803.85435329164,9803.85435329164,0,10453.835087498082,-6.217629499280763
2022-04-21,9803.85435329164,9803.85435329164,0,10453.835087498082,-6.217629499280763
2022-04-22,9803.85435329164,9803.85435329164,0,10453.835087498082,-6.217629499280763
2022-04-25,9803.85435329164,9803.85435329164,0,10453.835087498082,-6.217629499280763
2022-04-26,9803.85435329164,9803.85435329164,0,10453.835087498082,-6.217629499280763
2022-04-27,9803.85435329164,9803.85435329164,0,10453.835087498082,-6.217629499280763
2022-04-28,9803.85435329164,9803.85435329164,0,10453.835087498082,-6.217629499280763
2022-04-29,9803.85435329164,9803.85435329164,0,10453.835087498082,-6.217629499280763
2022-05-02,9803.85435329164,9803.85435329164,0,10453.835087498082,-6.217629499280763
2022-05-03,9803.85435329164,9803.85435329164,0,10453.835087498082,-6.217629499280763
2022-05-04,9943.599313801704,5858.973785237687,2,10453.835087498082,-4.880847740812156
2022-05-05,9592.540070657975,7749.62353228651,1,10453.835087498082,-8.239033901253567
2022-05-06,9609.827026739495,1911.2322328959062,4,10453.835087498082,-8.073669172072083
2022-05-09,8869.76701425086,7206.367703383767,1,10453.835087498082,-15.15298510057459
2022-05-10,8845.929211781975,5332.732640280038,2,10453.835087498082,-15.381014357487132
2022-05-11,8698.825856526333,5283.02870991214,2,10453.835087498082,-16.7881855441798
2022-05-12,8727.497684826407,8727.497684826407,0,10453.835087498082,-16.513914637282078
2022-05-13,8968.598274679502,0.0,5,10453.835087498082,-14.207578370877505
2022-05-16,9192.789632073749,3604.8082554414386,3,10453.835087498082,-12.062993579575776
2022-05-17,9325.885671658943,1798.8374318120286,4,10453.835087498082,-10.789814516856811
2022-05-18,9078.887876916946,9078.887876916946,0,10453.835087498082,-13.152562663107814
2022-05-19,9078.887876916946,9078.887876916946,0,10453.835087498082,-13.152562663107814
2022-05-20,9078.887876916946,9078.887876916946,0,10453.835087498082,-13.152562663107814
2022-05-23,9262.692627524768,0.0,5,10453.835087498082,-11.394310796023765
2022-05-24,9135.479043430623,1779.633670600556,4,10453.835087498082,-12.611219069680024
2022-05-25,9427.069404096404,0.0,5,10453.835087498082,-9.821904351921562
2022-05-26,10113.819171063607,0.0,5,10453.835087498082,-3.2525471617694257
2022-05-27,10695.407873710647,0.0,5,10695.407873710647,0.0
2022-05-31,10600.263599119655,29.07023033317364,5,10695.407873710647,-0.8895806098695558
2022-06-01,10450.059062626458,2115.7953343904287,4,10695.407873710647,-2.2939640449548104
2022-06-02,11432.08910810812,0.0,5,11432.08910810812,0.0
2022-06-03,10930.678803408384,34.23120120575277,5,11432.08910810812,-4.385990171683629
2022-06-06,10592.209080061235,102.73877195743808,5,11432.08910810812,-7.346688956887215
2022-06-07,10870.715820228033,0.0,5,11432.08910810812,-4.9105048304945225
2022-06-08,10863.086385875373,19.71672418657272,5,11432.08910810812,-4.977241839631807
2022-06-09,10173.113739767252,133.40351822137336,5,11432.08910810812,-11.012644814393113
2022-06-10,9638.662296417293,7756.19537524975,1,11432.08910810812,-15.68765598948012
2022-06-13,9505.893121422178,9505.893121422178,0,11432.08910810812,-16.84902880366638
2022-06-14,9505.893121422178,9505.893121422178,0,11432.08910810812,-16.84902880366638
2022-06-15,9505.893121422178,9505.893121422178,0,11432.08910810812,-16.84902880366638
2022-06-16,9505.893121422178,9505.893121422178,0,11432.08910810812,-16.84902880366638
2022-06-17,9505.893121422178,9505.893121422178,0,11432.08910810812,-16.84902880366638
