Entry_Date,Ticker,PnL,Regime,SPY_Return_10D
2022-01-03,TSLA,-148.42532671036884,Q4 - marché fort,0.0387936774018091
2022-01-03,NVDA,-114.59412995212688,Q4 - marché fort,0.0387936774018091
2022-01-03,AMD,-127.88618973223106,Q4 - marché fort,0.0387936774018091
2022-01-06,TSLA,-37.46278829396033,Q2 - faible/neutre,0.0005344720980182
2022-01-21,COP,-46.350263614406686,Q1 - marché faible,-0.0640252467104066
2022-01-25,COP,135.72135501040248,Q1 - marché faible,-0.0666797328042221
2022-01-28,V,44.47006714960071,Q1 - marché faible,-0.0486083100417409
2022-01-28,COP,10.23240545505746,Q1 - marché faible,-0.0486083100417409
2022-01-31,V,47.61841522100485,Q1 - marché faible,-0.0318687550887176
2022-02-01,MA,-21.90670164463336,Q2 - faible/neutre,-0.0077547954221093
2022-02-01,MS,17.93590132268173,Q2 - faible/neutre,-0.0077547954221093
2022-02-01,UPS,-5.8406045159188125,Q2 - faible/neutre,-0.0077547954221093
2022-02-02,AVGO,-39.65950402113731,Q3 - neutre/fort,0.0123962800534047
2022-02-03,COP,-0.5394047178654091,Q2 - faible/neutre,-0.0003358449589824
2022-02-04,AMZN,25.1086515027348,Q3 - neutre/fort,0.0244758962947955
2022-02-04,MA,-61.18943756210501,Q3 - neutre/fort,0.0244758962947955
2022-02-04,GOOGL,-61.13510031524652,Q3 - neutre/fort,0.0244758962947955
2022-02-07,NVDA,110.50668628901916,Q3 - neutre/fort,0.0168697183272554
2022-02-07,AMD,30.56984916361125,Q3 - neutre/fort,0.0168697183272554
2022-02-07,AMZN,2.016493757502303,Q3 - neutre/fort,0.0168697183272554
2022-02-07,MA,-43.139910157279246,Q3 - neutre/fort,0.0168697183272554
2022-02-07,AVGO,0.0593136555933142,Q3 - neutre/fort,0.0168697183272554
2022-02-10,TSLA,-73.5042476653141,Q4 - marché fort,0.0419255194435441
2022-02-10,NFLX,-30.5224849139438,Q4 - marché fort,0.0419255194435441
2022-02-10,AMD,-223.38038747113228,Q4 - marché fort,0.0419255194435441
2022-02-10,NVDA,-132.2500532469744,Q4 - marché fort,0.0419255194435441
2022-02-10,AMZN,-42.62387841048872,Q4 - marché fort,0.0419255194435441
2022-02-14,UPS,-29.32906119358472,Q1 - marché faible,-0.0242049210900915
2022-02-15,NVDA,-100.34003014678206,Q1 - marché faible,-0.0151231918490964
2022-02-16,BA,-153.4905357315488,Q1 - marché faible,-0.0235050172214346
2022-02-17,AMZN,-95.20262564333508,Q1 - marché faible,-0.0213613523775259
2022-02-28,AMD,-125.63618435513833,Q2 - faible/neutre,-0.008695623359754
2022-03-01,COP,76.94031996349304,Q1 - marché faible,-0.0205912729722781
2022-03-04,COP,62.250811315518376,Q1 - marché faible,-0.0111882720057586
2022-03-07,COP,-34.34052579131162,Q1 - marché faible,-0.0340832352680851
2022-03-08,CAT,90.91543130012155,Q1 - marché faible,-0.0310078432438473
2022-03-08,XOM,-85.47692155128834,Q1 - marché faible,-0.0310078432438473
2022-03-09,TSLA,-154.32580738441357,Q3 - neutre/fort,0.0129396173481681
2022-03-09,CRM,-49.36062876346728,Q3 - neutre/fort,0.0129396173481681
2022-03-10,COP,-16.727835202573488,Q2 - faible/neutre,-0.006583917439585
2022-03-11,XOM,-48.93831886476505,Q1 - marché faible,-0.0403882483177583
2022-03-11,CVX,5.244750490143133,Q1 - marché faible,-0.0403882483177583
2022-03-14,CVX,-62.704833345430416,Q1 - marché faible,-0.0449580606901209
2022-03-14,CAT,39.23174761836526,Q1 - marché faible,-0.0449580606901209
2022-03-14,PFE,115.0348956244004,Q1 - marché faible,-0.0449580606901209
2022-03-15,ORCL,75.69424980362624,Q2 - faible/neutre,-0.0088607974001065
2022-03-17,MS,42.92792475066858,Q3 - neutre/fort,0.012301706728842
2022-03-17,AMZN,98.00242601154127,Q3 - neutre/fort,0.012301706728842
2022-03-17,CAT,65.08239410267811,Q3 - neutre/fort,0.012301706728842
2022-03-18,NVDA,135.83796676359407,Q4 - marché fort,0.0317719378389715
2022-03-18,TSLA,85.830843197597,Q4 - marché fort,0.0317719378389715
2022-03-21,AMD,105.55246997365292,Q4 - marché fort,0.0628008359494773
2022-03-21,NVDA,109.9573828523794,Q4 - marché fort,0.0628008359494773
2022-03-21,TSLA,194.85315974019136,Q4 - marché fort,0.0628008359494773
2022-03-21,BA,42.67040960886516,Q4 - marché fort,0.0628008359494773
2022-03-21,NFLX,-14.59445899184243,Q4 - marché fort,0.0628008359494773
2022-03-24,NVDA,146.3449429256941,Q4 - marché fort,0.0620696841699726
2022-03-24,AMD,85.3347327418387,Q4 - marché fort,0.0620696841699726
2022-03-24,TSLA,155.5458019115233,Q4 - marché fort,0.0620696841699726
2022-03-24,BA,15.13067675901425,Q4 - marché fort,0.0620696841699726
2022-03-24,NFLX,-9.4766122619435,Q4 - marché fort,0.0620696841699726
2022-03-28,NVDA,-37.72809092060516,Q4 - marché fort,0.0967060090501974
2022-03-28,AMD,-145.96612551950147,Q4 - marché fort,0.0967060090501974
2022-03-28,TSLA,19.53499052873076,Q4 - marché fort,0.0967060090501974
2022-03-28,ADBE,99.25301836652147,Q4 - marché fort,0.0967060090501974
2022-03-28,NFLX,-7.221538174791249,Q4 - marché fort,0.0967060090501974
2022-03-31,NVDA,-34.00680605756611,Q4 - marché fort,0.0271455743422757
2022-03-31,TSLA,87.65658119366799,Q4 - marché fort,0.0271455743422757
2022-03-31,META,42.838054357278224,Q4 - marché fort,0.0271455743422757
2022-04-04,TSLA,-62.889631812020525,Q4 - marché fort,0.0279258280786218
2022-04-06,ADBE,-64.95390826589824,Q2 - faible/neutre,0.0061289848783645
2022-05-04,META,-139.11484868821776,Q1 - marché faible,-0.0351915927907046
2022-05-04,AMD,-244.20891431614015,Q1 - marché faible,-0.0351915927907046
2022-05-06,COP,-134.14539427866475,Q1 - marché faible,-0.0345038803584172
2022-05-06,XOM,-144.33942595650433,Q1 - marché faible,-0.0345038803584172
2022-05-09,COP,-101.11810135415408,Q1 - marché faible,-0.0708035483001771
2022-05-10,META,-11.726269486973251,Q1 - marché faible,-0.0408796566899261
2022-05-13,AMD,118.60485774514814,Q1 - marché faible,-0.0249513783345531
2022-05-13,COP,90.41968292633668,Q1 - marché faible,-0.0249513783345531
