Universe,Removed,Trades,PnL,Return_pct,Win_Rate,Profit_Factor,Max_DD,Final_Equity
BASE_47,NONE,857,47747.29348618732,477.47293486187317,56.94282380396732,1.650769743225189,-24.152813138780648,57747.29348618732
SANS_TSLA,TSLA,729,27377.29002875038,273.7729002875038,56.92729766803841,1.604898357320842,-24.421411549974657,37377.29002875038
SANS_AMD,AMD,753,33539.344523717344,335.39344523717347,56.83930942895087,1.671182070122869,-23.10625129489795,43539.344523717344
SANS_NVDA,NVDA,775,31597.946463883774,315.9794646388377,56.774193548387096,1.6172718919036924,-22.84128489197883,41597.946463883774
SANS_AVGO,AVGO,794,44397.37261443884,443.9737261443884,57.80856423173803,1.7227713070786241,-24.152813138780683,54397.37261443884
SANS_TOP4,"TSLA, AMD, NVDA, AVGO",459,9063.926702870747,90.63926702870747,57.73420479302832,1.5880247539242136,-19.31063391429404,19063.926702870747
SANS_TOP5,"TSLA, AMD, NVDA, AVGO, LLY",441,8407.84537342732,84.07845373427321,58.049886621315196,1.566396030117494,-19.31063391429404,18407.84537342732
