allocation,trades,wins,losses,win_rate,pnl,final_equity,return_pct,avg_trade_pct,median_trade_pct,profit_factor,max_drawdown_pct,max_positions,cash_blocked_signals
0.1,711,423,288,0.5949367088607594,13844.511068800666,23844.511068800653,138.44511068800657,1.2485613388107595,1.1578731373305127,1.8991617641408385,-8.521506412389869,5,0
0.15,711,423,288,0.5949367088607594,26307.60304747845,36307.60304747846,263.07603047478455,1.2485613388107604,1.1578731373305018,1.9015912948153177,-12.617577561170046,5,0
0.2,701,416,285,0.5934379457917262,44160.192731503674,54160.192731503674,441.60192731503673,1.2638634761581755,1.1296874327268223,1.9048984278978045,-16.595818224835934,5,25
0.25,674,390,284,0.5786350148367952,46915.85849472231,56915.858494722255,469.1585849472226,1.164036119613938,1.0078999727217406,1.7898235547002506,-20.78489524713917,5,99
