Date,Equity,Cash,Open_Positions,Peak,Drawdown_pct
2022-01-03,10176.18495366766,3960.8359390483165,3,10176.18495366766,0.0
2022-01-04,9951.655252733024,3960.8359390483165,3,10176.18495366766,-2.2064231532438083
2022-01-05,9615.597250769068,3960.8359390483165,3,10176.18495366766,-5.508819910909224
2022-01-06,9614.746851039536,3960.8359390483165,3,10176.18495366766,-5.517176674602142
2022-01-07,9427.252758290506,3960.8359390483165,3,10176.18495366766,-7.359655890562666
2022-01-10,9486.310405399134,9486.310405399134,0,10176.18495366766,-6.779304340571013
2022-01-11,9486.310405399134,9486.310405399134,0,10176.18495366766,-6.779304340571013
2022-01-12,9486.310405399134,9486.310405399134,0,10176.18495366766,-6.779304340571013
2022-01-13,9486.310405399134,9486.310405399134,0,10176.18495366766,-6.779304340571013
2022-01-14,9486.310405399134,9486.310405399134,0,10176.18495366766,-6.779304340571013
2022-01-18,9486.310405399134,9486.310405399134,0,10176.18495366766,-6.779304340571013
2022-01-19,9486.310405399134,9486.310405399134,0,10176.18495366766,-6.779304340571013
2022-01-20,9486.310405399134,9486.310405399134,0,10176.18495366766,-6.779304340571013
2022-01-21,9435.528736647488,7589.048324319307,1,10176.18495366766,-7.278328965053138
2022-01-24,9442.226020674534,7589.048324319307,1,10176.18495366766,-7.212515656258733
2022-01-25,9533.522953069205,7589.048324319307,1,10176.18495366766,-6.315352988615142
2022-01-26,9530.46356443139,9530.46356443139,0,10176.18495366766,-6.345417189017799
2022-01-27,9543.757817290207,7624.370851545112,1,10176.18495366766,-6.214776355352269
2022-01-28,9595.977068402606,5717.503210248097,2,10176.18495366766,-5.7016248024849165
2022-01-31,9567.333281547548,5717.503210248097,2,10176.18495366766,-5.983103440947901
2022-02-01,9774.81477972651,1851.1756039271643,4,10176.18495366766,-3.944210681788851
2022-02-02,9882.293929315485,0.0,5,10176.18495366766,-2.8880275436252933
2022-02-03,9686.130197582996,0.0,5,10176.18495366766,-4.815702135091804
2022-02-04,9698.965951015854,0.0,5,10176.18495366766,-4.689566913579024
2022-02-07,9669.760240133668,0.0,5,10176.18495366766,-4.976567503831275
2022-02-08,9846.362094018787,0.0,5,10176.18495366766,-3.2411248532781434
2022-02-09,10114.96579449226,0.0,5,10176.18495366766,-0.6015924381694293
2022-02-10,9806.29628176246,0.0,5,10176.18495366766,-3.634846198150976
2022-02-11,9307.44842077233,0.0,5,10176.18495366766,-8.536956991747902
2022-02-14,9403.271835232854,7522.011173550997,1,10176.18495366766,-7.595313194029907
2022-02-15,9546.91081335485,5635.607309438619,2,10176.18495366766,-6.1837922873641205
2022-02-16,9554.009116103658,3729.412049930169,3,10176.18495366766,-6.114038221561213
2022-02-17,9272.077041447581,1866.4015432428525,4,10176.18495366766,-8.884546775992153
2022-02-18,9144.01226207938,1866.4015432428525,4,10176.18495366766,-10.143022127524004
2022-02-22,8995.42210707103,8995.42210707103,0,10176.18495366766,-11.603197583108626
2022-02-23,8995.42210707103,8995.42210707103,0,10176.18495366766,-11.603197583108626
2022-02-24,8995.42210707103,8995.42210707103,0,10176.18495366766,-11.603197583108626
2022-02-25,8995.42210707103,8995.42210707103,0,10176.18495366766,-11.603197583108626
2022-02-28,9038.888448480666,7196.337685656824,1,10176.18495366766,-11.176059695899044
