Date,Ticker,Episode_ID,Rebound_Date,Prior_Close,Prior_Prior_Close,SMA20,Open,High,Low,Close,SMA50,Prior_Distance_SMA50,Prior_Return_10D,Session,Entry_Date,Entry_Open,Future_Return_1D,Future_Return_3D,Future_Return_5D,Exit_Date_1D,Exit_Date_3D,Exit_Date_5D
2022-05-11,ABBV,ABBV:2022-05-10,2022-05-10,152.08999633789062,150.9600067138672,154.47750015258788,151.02000427246094,154.75999450683594,150.94000244140625,151.9600067138672,157.15939971923828,-0.031730288319635536,-0.026187709884076926,1097,2022-05-12,153.3800048828125,0.0059329011236866,0.0136262633417403,-0.0061938465040283,2022-05-12,2022-05-16,2022-05-18
2022-05-13,ABBV,ABBV:2022-05-12,2022-05-12,154.2899932861328,151.9600067138672,153.80400009155272,153.4199981689453,154.38999938964844,151.89999389648438,153.5,157.31559936523436,-0.018847278494554254,-0.012923065088678798,1099,2022-05-16,153.92999267578125,0.010004603509373,-0.0097446896080831,-0.0189696505416954,2022-05-16,2022-05-18,2022-05-20
2024-06-03,ABBV,ABBV:2024-05-31,2024-05-31,161.24000549316406,156.30999755859375,160.72999801635743,160.0,163.19000244140625,158.8300018310547,160.19000244140625,165.81639892578124,-0.029625158832730758,-0.018923033129629063,1614,2024-06-04,160.19000244140625,0.0121730252732561,0.052312908140929,0.0641113934449029,2024-06-04,2024-06-06,2024-06-10
2024-12-18,ABBV,ABBV:2024-12-17,2024-12-17,175.3800048828125,171.6300048828125,176.2970001220703,176.02999877929688,176.5,172.82000732421875,173.02000427246094,183.60119995117188,-0.04685297843210412,-0.033718981361914646,1752,2024-12-19,172.92999267578125,-0.0081535214424246,0.0315735091951567,0.0362574714509835,2024-12-19,2024-12-23,2024-12-26
2019-09-06,ADBE,ADBE:2019-09-05,2019-09-05,287.75,284.6000061035156,286.85050201416016,288.20001220703125,289.5899963378906,283.9599914550781,284.94000244140625,296.21580200195314,-0.02882770785966504,-0.012966071399597268,422,2019-09-09,286.5199890136719,-0.0251989442187177,-0.0305039458659128,-0.0285145303065273,2019-09-09,2019-09-11,2019-09-13
2019-09-20,ADBE,ADBE:2019-09-19,2019-09-19,281.260009765625,279.7200012207031,282.48700256347655,281.6000061035156,283.20001220703125,274.95001220703125,277.9100036621094,291.705400390625,-0.03776674947188152,-0.022554266670286705,432,2019-09-23,275.92999267578125,0.0054724379578383,0.0054361614895648,0.0058348708436071,2019-09-23,2019-09-25,2019-09-27
2019-10-07,ADBE,ADBE:2019-10-04,2019-10-04,276.9599914550781,272.3999938964844,277.3684997558594,276.32000732421875,278.489990234375,275.5899963378906,276.8999938964844,284.37839965820314,-0.028434867030575073,-0.003418416733880103,443,2019-10-08,274.4599914550781,-0.0132259891999837,0.0018947006756542,0.0120965074239687,2019-10-08,2019-10-10,2019-10-14
2020-11-20,ADBE,ADBE:2020-11-19,2020-11-19,466.4100036621094,459.4700012207031,466.8370025634766,465.1600036621094,470.0,462.3599853515625,462.9200134277344,480.20240173339846,-0.029062949009586947,-0.06054746003722944,728,2020-11-23,464.6300048828125,-0.0086520876590049,0.0117297239355596,0.0297871342626296,2020-11-23,2020-11-25,2020-11-30
2022-05-11,ADBE,ADBE:2022-05-10,2022-05-10,393.0299987792969,376.9100036621094,408.2350021362305,389.989990234375,409.989990234375,377.80999755859375,379.3299865722656,430.4779992675781,-0.09068193803157942,-0.015258559862686205,1097,2022-05-12,373.3999938964844,0.0404124172055395,0.0788966040081007,0.0655597519723436,2022-05-12,2022-05-16,2022-05-18
2023-03-09,ADBE,ADBE:2023-03-08,2023-03-08,345.8399963378906,344.79998779296875,349.19250030517577,344.7200012207031,350.1300048828125,336.989990234375,338.3699951171875,352.1136016845703,-0.017821456308514172,-0.008258788921573057,1304,2023-03-10,338.3399963378906,-0.0267187108907274,-0.0148076190218482,0.0441863580092407,2023-03-10,2023-03-14,2023-03-16
2024-05-29,ADBE,ADBE:2024-05-28,2024-05-28,478.4299926757813,475.4299926757813,482.35,472.7799987792969,482.7900085449219,472.6000061035156,477.6000061035156,485.55339965820315,-0.01614014390022145,-0.009687219924414348,1611,2024-05-30,464.8999938964844,-0.0409335320050232,-0.0556678968005643,-0.0195741153430556,2024-05-30,2024-06-03,2024-06-05
2024-06-12,ADBE,ADBE:2024-06-11,2024-06-11,462.69000244140625,459.94000244140625,467.83899841308596,470.0,471.1199951171875,459.1600036621094,459.8699951171875,474.82639892578123,-0.027171652179357575,-0.03289925480286848,1621,2024-06-13,457.8699951171875,0.0019000920052969,0.1329416554181681,0.1421364531064917,2024-06-13,2024-06-17,2024-06-20
2024-10-15,ADBE,ADBE:2024-10-14,2024-10-14,509.6499938964844,495.4200134277344,509.46349945068357,513.8200073242188,517.77001953125,506.7999877929687,508.0299987792969,535.9649957275391,-0.04914413121180594,-0.015701716830274215,1707,2024-10-16,506.3900146484375,-0.0076028475920649,-0.0226900618487315,-0.0262249035579713,2024-10-16,2024-10-18,2024-10-22
2025-09-12,ADBE,ADBE:2025-09-11,2025-09-11,350.54998779296875,350.1600036621094,353.8699981689453,361.1000061035156,366.5,341.6099853515625,349.3599853515625,357.77159729003904,-0.02177683023468957,-0.01627618412012044,1934,2025-09-15,350.5,-0.0097004105463177,0.0330100066311518,0.0439372151112249,2025-09-15,2025-09-17,2025-09-19
2025-12-02,ADBE,ADBE:2025-12-01,2025-12-01,322.8500061035156,320.1300048828125,325.7419998168945,321.6199951171875,325.9599914550781,318.0799865722656,322.80999755859375,338.6875994873047,-0.049079102125718754,-0.024946330867299804,1990,2025-12-03,321.9800109863281,0.0149077198247955,0.0754084040960165,0.0693831777614271,2025-12-03,2025-12-05,2025-12-09
2018-11-21,AMD,AMD:2018-11-20,2018-11-20,19.209999084472656,19.11000061035156,19.645499992370606,20.049999237060547,20.309999465942383,18.5,18.729999542236328,25.080000038146974,-0.24219715251906682,-0.07108323012622075,225,2018-11-23,18.61000061035156,0.0413755252639131,0.1311122271189915,0.1515314133442655,2018-11-23,2018-11-27,2018-11-29
2018-12-13,AMD,AMD:2018-12-12,2018-12-12,20.479999542236328,19.979999542236328,20.524499702453614,20.6299991607666,20.8700008392334,19.760000228881836,19.86000061035156,22.044399948120116,-0.07862299155783448,-0.027078371281870628,239,2018-12-14,19.579999923706055,0.0163431918320278,-0.004085797958007,-0.0837589068456964,2018-12-14,2018-12-18,2018-12-20
2019-08-27,AMD,AMD:2019-08-26,2019-08-26,30.280000686645508,29.540000915527344,30.767500114440917,30.600000381469727,30.88999938964844,29.600000381469727,30.200000762939453,31.555600051879882,-0.03981529963497643,-0.06629662652784918,415,2019-08-28,29.920000076293945,0.0287433358341784,0.0511363864553513,0.0344251565514397,2019-08-28,2019-08-30,2019-09-04
2019-09-06,AMD,AMD:2019-09-05,2019-09-05,31.5,30.950000762939453,31.16150016784668,31.5,31.510000228881836,30.479999542236328,30.559999465942383,31.745400047302248,-0.007330003185149425,-0.006309172180628875,422,2019-09-09,30.93000030517578,-0.0139023698976111,-0.0378273541787893,-0.0077594493614667,2019-09-09,2019-09-11,2019-09-13
2020-07-07,AMD,AMD:2020-07-06,2020-07-06,53.400001525878906,52.34000015258789,53.47150001525879,53.279998779296875,54.16999816894531,52.86000061035156,52.93000030517578,53.522800064086915,-0.0035045017332940853,-0.015305145184649871,631,2020-07-08,53.0099983215332,0.0079230710609543,0.0541407816912946,0.0322581202285248,2020-07-08,2020-07-10,2020-07-14
2021-04-22,AMD,AMD:2021-04-21,2021-04-21,81.61000061035156,79.2699966430664,80.05350036621094,81.61000061035156,81.79000091552734,78.58999633789062,79.05999755859375,82.07220016479492,-0.008494793705646653,-0.007177571287041773,831,2021-04-23,80.20999908447266,0.0317915855986021,0.0623363677480444,0.0461289692042021,2021-04-23,2021-04-27,2021-04-29
2022-02-03,AMD,AMD:2022-02-02,2022-02-02,122.76000213623048,116.77999877929688,123.28049964904785,120.31999969482422,125.37000274658205,118.81999969482422,120.08000183105467,136.72019973754882,-0.10634857699237066,-0.04295627935371815,1030,2022-02-04,120.33999633789062,0.0270899304922449,0.0655642315917552,0.0451221578063658,2022-02-04,2022-02-08,2022-02-10
2022-02-23,AMD,AMD:2022-02-22,2022-02-22,115.6500015258789,113.83000183105467,117.23800010681153,117.4000015258789,118.6500015258789,109.04000091552734,109.76000213623048,129.11879974365235,-0.10828976890218223,-0.0648499778589009,1043,2022-02-24,104.55999755859376,0.1152448673787045,0.1796097859391481,0.1312165411348127,2022-02-24,2022-02-28,2022-03-02
2022-03-17,AMD,AMD:2022-03-16,2022-03-16,115.37000274658205,109.33000183105467,111.70200080871582,112.13999938964844,114.2699966430664,109.70999908447266,111.69000244140624,118.73059997558593,-0.03363228563716125,-0.024602604521028915,1059,2022-03-18,111.27999877929688,0.0195902258185625,0.0314521930121656,0.0831236529607233,2022-03-18,2022-03-22,2022-03-24
2023-08-15,AMD,AMD:2023-08-14,2023-08-14,111.9800033569336,107.56999969482422,112.36749992370605,111.98999786376952,113.18000030517578,110.16999816894533,111.3499984741211,114.95320022583007,-0.026966503460786773,-0.021153829865971363,1413,2023-08-16,110.08999633789062,-0.026342029184774,-0.0421473298573582,-0.0402397386060821,2023-08-16,2023-08-18,2023-08-22
2023-08-24,AMD,AMD:2023-08-23,2023-08-23,109.43000030517578,105.66000366210938,110.35550079345703,111.05999755859376,111.63999938964844,100.87000274658205,101.8000030517578,112.6034002685547,-0.03208972272686483,-0.009414328813571515,1420,2023-08-25,101.16999816894533,0.0106751196066168,0.0469506779279358,0.0449738374429906,2023-08-25,2023-08-29,2023-08-31
2023-10-20,AMD,AMD:2023-10-19,2023-10-19,102.4000015258789,102.16999816894533,103.5354995727539,102.27999877929688,104.33999633789062,101.44000244140624,101.80999755859376,104.64339950561524,-0.023010749785909557,-0.004955807191543649,1460,2023-10-23,100.80999755859376,-0.0079356754462601,-0.0471183425754887,-0.0434480444349995,2023-10-23,2023-10-25,2023-10-27
2024-04-30,AMD,AMD:2024-04-29,2024-04-29,160.1999969482422,157.39999389648438,161.0265007019043,160.6300048828125,162.2899932861328,158.35000610351562,158.3800048828125,176.7461993408203,-0.09520153103320195,-0.000748567680226353,1591,2024-05-01,148.11000061035156,-0.0259266512866535,0.0168118660651064,0.0426709340313646,2024-05-01,2024-05-03,2024-05-07
2024-11-26,AMD,AMD:2024-11-25,2024-11-25,141.1300048828125,138.35000610351562,141.72000274658203,142.5500030517578,142.8000030517578,136.6199951171875,137.72000122070312,153.19060150146484,-0.08030229927905452,-0.04221242594542873,1737,2024-11-27,137.1999969482422,-0.0069970224229689,0.0354227457613207,0.0494898592999486,2024-11-27,2024-12-02,2024-12-04
2025-02-20,AMD,AMD:2025-02-19,2025-02-19,114.69000244140624,114.27999877929688,114.60349960327149,115.01000213623048,116.5500030517578,113.11000061035156,114.16999816894533,120.25139968872071,-0.05054172110652844,-0.04025102559492688,1793,2025-02-21,114.8499984741211,-0.034915125724917,-0.0948193255057139,-0.1335654901323063,2025-02-21,2025-02-25,2025-02-27
2025-09-16,AMD,AMD:2025-09-15,2025-09-15,161.16000366210938,158.57000732421875,161.5775016784668,161.3699951171875,161.9499969482422,159.22000122070312,160.4600067138672,163.61780029296875,-0.011922389405311207,-0.00903892994261657,1936,2025-09-17,159.27999877929688,-0.0007533596063983,-0.0118658927934026,0.0101707378804805,2025-09-17,2025-09-19,2025-09-23
2018-05-22,AMT,AMT:2018-05-21,2018-05-21,137.3800048828125,137.0500030517578,137.19550018310548,137.60000610351562,137.60000610351562,135.8699951171875,137.14999389648438,140.18100036621092,-0.02108881335717272,-0.00550162523667197,97,2018-05-23,137.1699981689453,-0.0024786494308461,-0.0061237613844394,0.0048115744763406,2018-05-23,2018-05-25,2018-05-30
2020-10-19,AMT,AMT:2020-10-16,2020-10-16,242.72000122070312,239.6000061035156,241.225,243.66000366210935,245.6999969482422,239.16000366210935,239.6000061035156,246.59739959716796,-0.017159212656179923,-0.0023838956998750715,704,2020-10-20,241.67999267578125,0.0087719730231066,-0.0244537759948076,-0.0188679149982889,2020-10-20,2020-10-22,2020-10-26
2020-11-20,AMT,AMT:2020-11-19,2020-11-19,238.42999267578125,237.6999969482422,236.42699813842773,238.19000244140625,238.42999267578125,232.5,232.66000366210935,240.6041995239258,-0.010445486919790858,-0.006210426411035752,728,2020-11-23,233.55999755859375,-0.019909205108284,-0.0023976604060944,-0.0101044726623594,2020-11-23,2020-11-25,2020-11-30
2020-12-02,AMT,AMT:2020-12-01,2020-12-01,235.8300018310547,231.1999969482422,235.80499801635742,234.7899932861328,235.8300018310547,228.58999633789065,228.8999938964844,237.80239929199217,-0.00938069234083383,-0.013635010066371911,735,2020-12-03,229.52000427246097,-0.0143778450258322,-0.0228738232061366,-0.0439177485335388,2020-12-03,2020-12-07,2020-12-09
2021-01-19,AMT,AMT:2021-01-15,2021-01-15,219.88999938964844,214.9900054931641,218.85700149536132,220.86000061035156,221.52000427246097,215.9600067138672,216.8800048828125,225.8782000732422,-0.028247941634657825,-0.020360007072638187,766,2021-01-20,217.75,0.0230998795834529,0.0283352384337327,0.0667737923588189,2021-01-20,2021-01-22,2021-01-26
2021-11-10,AMT,AMT:2021-11-09,2021-11-09,279.9200134277344,278.760009765625,278.9620025634766,278.6300048828125,281.4800109863281,275.55999755859375,275.8800048828125,281.21460021972655,-0.005755433183452174,-0.024465006461081962,972,2021-11-11,276.1300048828125,-0.0132183892801993,-0.0566037902670003,-0.0673595979234829,2021-11-11,2021-11-15,2021-11-17
2023-05-15,AMT,AMT:2023-05-12,2023-05-12,200.2899932861328,195.69000244140625,199.76800003051758,200.77000427246097,202.3999938964844,194.3000030517578,195.4600067138672,200.30800018310546,-0.0007922559908397631,-0.020059719730706527,1350,2023-05-16,195.22999572753903,-0.021461878466943,-0.0215130719671974,-0.0090149799997545,2023-05-16,2023-05-18,2023-05-22
2023-08-10,AMT,AMT:2023-08-09,2023-08-09,187.1000061035156,184.61000061035156,187.96649932861328,187.1699981689453,189.3300018310547,186.5,186.94000244140625,189.98099945068358,-0.01465220703733161,-0.015159436197449971,1410,2023-08-11,185.8300018310547,0.0068880092917427,-0.000968669928411,-0.0512296409549408,2023-08-11,2023-08-15,2023-08-17
2019-09-20,AMZN,AMZN:2019-09-19,2019-09-19,91.0749969482422,90.8730010986328,90.23309936523438,91.08550262451172,91.53150177001952,89.0459976196289,89.70800018310547,92.49713989257812,-0.017572618346865743,-0.010441632970230263,432,2019-09-23,88.8499984741211,0.0046708038565494,-0.0048790343805339,-0.0290095603141644,2019-09-23,2019-09-25,2019-09-27
2020-03-20,AMZN,AMZN:2020-03-19,2020-03-19,94.04650115966795,91.5,93.55617446899414,96.31549835205078,97.8499984741211,91.0364990234375,92.30449676513672,97.04442947387696,-0.031350280513845474,-0.022400885440082896,557,2020-03-23,91.3874969482422,0.041077888742866,0.0317822783821,0.0395841928707663,2020-03-23,2020-03-25,2020-03-27
2021-03-30,AMZN,AMZN:2021-03-29,2021-03-29,153.7864990234375,152.60150146484375,153.08880081176758,153.50050354003906,153.64999389648438,151.6999969482422,152.76449584960938,158.7695803833008,-0.03168421841614877,-0.001930769003002486,815,2021-03-31,153.2030029296875,0.0097974047021647,0.0530896848623827,0.0702760033751939,2021-03-31,2021-04-05,2021-04-07
2021-08-25,AMZN,AMZN:2021-08-24,2021-08-24,165.28900146484375,163.2935028076172,165.63427505493163,165.49349975585938,166.0500030517578,164.3074951171875,164.95899963378906,173.2996697998047,-0.046686176234947196,-0.00448700346027886,918,2021-08-26,164.9499969482422,0.0051531137874609,0.0371537413450657,0.0545619894908153,2021-08-26,2021-08-30,2021-09-01
2021-12-27,AMZN,AMZN:2021-12-23,2021-12-23,171.06849670410156,171.03700256347656,171.8591522216797,171.03700256347656,172.9429931640625,169.2154998779297,169.66949462890625,172.93847076416014,-0.010277674796941527,-0.017813002459772354,1003,2021-12-28,170.1824951171875,0.002811689685719,-0.0090373242189601,0.0013044827079156,2021-12-28,2021-12-30,2022-01-03
2022-02-02,AMZN,AMZN:2022-02-01,2022-02-01,151.19349670410156,149.57350158691406,153.67482376098633,155.05050659179688,155.0749969482422,148.86349487304688,150.6125030517578,164.714169921875,-0.08577290364043377,-0.04860383048497152,1029,2022-02-03,141.7375030517578,-0.0204039031925062,0.1142816664475883,0.1372395832492277,2022-02-03,2022-02-07,2022-02-09
2022-02-28,AMZN,AMZN:2022-02-25,2022-02-25,153.7884979248047,151.35800170898438,153.57329940795898,152.4250030517578,154.4499969482422,150.85000610351562,153.56300354003906,157.89784912109374,-0.028456055101096833,-0.03279799832118624,1046,2022-03-01,152.7324981689453,-0.0104136310018995,-0.0316501051953064,-0.1000408912473649,2022-03-01,2022-03-03,2022-03-07
2022-03-03,AMZN,AMZN:2022-03-02,2022-03-02,152.05250549316406,151.14199829101562,153.5589744567871,153.531494140625,153.9290008544922,146.8560028076172,147.89849853515625,156.80035919189453,-0.032646227550425455,-0.028483664733951364,1049,2022-03-04,147.15899658203125,-0.0103153062168273,-0.0757310187706367,-0.002320562841215,2022-03-04,2022-03-08,2022-03-10
2022-03-11,AMZN,AMZN:2022-03-10,2022-03-10,146.8175048828125,139.2790069580078,149.29410095214843,149.57449340820312,149.6750030517578,145.36900329589844,145.52450561523438,153.37386962890625,-0.04569394564199625,-0.029998393047642624,1055,2022-03-14,145.9810028076172,-0.0282776930015027,0.0487940277271552,0.1045992316722537,2022-03-14,2022-03-16,2022-03-18
2022-10-05,AMZN,AMZN:2022-10-04,2022-10-04,121.08999633789062,115.87999725341795,121.72450065612793,118.58000183105467,121.75,117.69000244140624,120.9499969482422,129.69440032958985,-0.06545881953709487,-0.00900242312412669,1198,2022-10-06,120.7699966430664,-0.0038916420002697,-0.0587894234617312,-0.065165151411299,2022-10-06,2022-10-10,2022-10-12
2022-10-19,AMZN,AMZN:2022-10-18,2022-10-18,116.36000061035156,113.79000091552734,115.13349990844726,114.70999908447266,116.58999633789062,113.22000122070312,115.06999969482422,125.50259994506835,-0.07619853139997335,-0.03906182071672082,1208,2022-10-20,113.83000183105467,0.0124747267513256,0.0526223119337188,0.0160766212915532,2022-10-20,2022-10-24,2022-10-26
2022-11-29,AMZN,AMZN:2022-11-28,2022-11-28,93.9499969482422,93.41000366210938,93.8185001373291,94.04000091552734,94.41000366210938,91.44000244140624,92.41999816894533,106.54460021972656,-0.12351410998325063,-0.06786391412991244,1236,2022-11-30,92.47000122070312,0.0440142710186639,0.0179517250005527,-0.0456364352221756,2022-11-30,2022-12-02,2022-12-06
2023-01-04,AMZN,AMZN:2023-01-03,2023-01-03,85.81999969482422,84.0,86.84999961853026,86.55000305175781,86.9800033569336,83.36000061035156,85.13999938964844,93.26880004882813,-0.08655872926452768,-0.023218767372589766,1260,2023-01-05,85.33000183105469,-0.0258994379122157,0.0237899769803835,0.1143794011180241,2023-01-05,2023-01-09,2023-01-11
2023-03-09,AMZN,AMZN:2023-03-08,2023-03-08,93.91999816894533,93.5500030517578,95.59750022888184,93.68000030517578,96.20999908447266,92.18000030517578,92.25,95.10500030517578,-0.011004076584765654,-0.019521899245319774,1304,2023-03-10,92.66999816894533,-0.0209344431892072,0.0238480536110903,0.0795295445365811,2023-03-10,2023-03-14,2023-03-16
2024-08-01,AMZN,AMZN:2024-07-31,2024-07-31,186.97999572753903,181.7100067138672,188.83050079345702,189.2899932861328,190.6000061035156,181.8699951171875,184.07000732421875,187.10020050048828,-0.000585839576645597,-0.005055057655864226,1655,2024-08-02,166.75,0.0068965151213455,-0.0289055911497376,-0.0056971331228916,2024-08-02,2024-08-06,2024-08-08
2024-09-06,AMZN,AMZN:2024-09-05,2024-09-05,177.88999938964844,173.3300018310547,174.4,177.24000549316406,178.3800048828125,171.16000366210938,171.38999938964844,181.3984002685547,-0.021737461680923942,-0.012325807635223174,1680,2024-09-09,174.52999877929688,0.0049847884218898,0.0572394749500742,0.0685269397669068,2024-09-09,2024-09-11,2024-09-13
2018-03-27,AVGO,AVGO:2018-03-26,2018-03-26,24.77300071716309,24.24799919128418,25.02550001144409,24.808000564575195,25.424999237060547,24.15999984741211,24.437000274658203,24.94936008453369,-0.008651712665294964,-0.057487431774407294,58,2018-03-28,24.40800094604492,-0.030317996139979,-0.067191135424092,-0.0290479151776902,2018-03-28,2018-04-02,2018-04-04
2018-04-12,AVGO,AVGO:2018-04-11,2018-04-11,24.031999588012695,23.975000381469727,24.136450004577636,24.14299964904785,24.263999938964844,23.709999084472656,23.94300079345703,24.472460021972655,-0.018122584716760093,-0.016573257032104105,69,2018-04-13,25.0,-0.012239990234375,0.0069599914550781,-0.0285600280761718,2018-04-13,2018-04-17,2018-04-19
2018-07-26,AVGO,AVGO:2018-07-25,2018-07-25,22.597000122070312,21.733999252319336,22.700400161743165,22.649999618530273,22.97699928283691,22.156999588012695,22.31800079345703,24.321240234375,-0.07229810354983157,-0.07176305251625625,142,2018-07-27,22.400999069213867,-0.0132136752500622,-0.0099995104122542,-0.0341948516655562,2018-07-27,2018-07-31,2018-08-02
2022-02-22,AVGO,AVGO:2022-02-18,2022-02-18,57.999000549316406,57.900001525878906,58.12845001220703,57.999000549316406,59.020999908447266,56.98099899291992,57.74599838256836,60.80714042663574,-0.04636802789030592,-0.017232586264736782,1042,2022-02-23,58.02299880981445,-0.0259207182252699,0.013408474120405,-0.0174240868785601,2022-02-23,2022-02-25,2022-03-01
2022-02-28,AVGO,AVGO:2022-02-25,2022-02-25,58.80099868774414,58.0,58.7632999420166,58.099998474121094,59.22999954223633,57.63800048828125,58.74399948120117,60.43220039367676,-0.028677347057390445,-0.005664956882104333,1046,2022-03-01,58.479000091552734,-0.0250859120651583,-0.0105849874353544,-0.0240941260028836,2022-03-01,2022-03-03,2022-03-07
2022-03-03,AVGO,AVGO:2022-03-02,2022-03-02,58.577999114990234,57.012001037597656,58.52565002441406,59.36800003051758,59.369998931884766,57.43299865722656,57.86000061035156,60.099860458374025,-0.027472132868415544,-0.028186560383118953,1049,2022-03-04,59.27899932861328,0.0053981966370637,-0.028408004976179,-0.0085359153246465,2022-03-04,2022-03-08,2022-03-10
2023-08-22,AVGO,AVGO:2023-08-21,2023-08-21,86.51399993896484,82.58399963378906,86.85540008544922,87.34100341796875,87.4749984741211,85.08799743652344,85.5790023803711,87.05012023925781,-0.004988973975496247,-0.0355829186137544,1418,2023-08-23,85.0770034790039,0.0303371480752812,0.0012341258300778,0.0460288042206709,2023-08-23,2023-08-25,2023-08-29
2023-09-15,AVGO,AVGO:2023-09-14,2023-09-14,87.16400146484375,85.29299926757812,86.53629989624024,86.81600189208984,86.81600189208984,84.29000091552734,85.16799926757812,87.45362045288086,-0.0032278002743010292,-0.02313170120079089,1435,2023-09-18,84.25800323486328,0.0088062467261234,-0.0142538866601502,-0.0160222892981759,2023-09-18,2023-09-20,2023-09-22
2025-03-24,AVGO,AVGO:2025-03-21,2025-03-21,191.66000366210935,190.5399932861328,193.07049865722655,194.3000030517578,196.69000244140625,190.6699981689453,191.25,213.2755990600586,-0.10454648664385524,-0.016926564106048092,1815,2025-03-25,190.88999938964844,-0.013777593856261,-0.0990098693326795,-0.1228980396504698,2025-03-25,2025-03-27,2025-03-31
