Factor,Windows,Positive_WinRate,WinRate_Stability,Positive_AvgPnL,Avg_Test_WinRate,Avg_WinRate_Delta,Avg_Test_PnL,Avg_PnL_Delta,Avg_Test_PF,Total_Test_Trades
ATR_Pct,5,4,80.0,4,50.71752002786485,5.874823964238556,0.363612499008113,0.054862077284859555,1.3885403458546655,71
Distance_SMA50,5,4,80.0,4,48.386147186147184,3.543451122520891,0.8372085691138652,0.5284581473906119,2.0806481458697252,83
Return_5D,5,3,60.0,3,43.61904761904762,-1.2236484445786757,0.2630465486869029,-0.04570387303635047,1.2158408112751105,150
