Ticker,Date,Entry_Date,Exit_Date,Signal_Drop,ATR_Pct,Drop_ATR_Ratio,Volume_Ratio,Distance_SMA20,Distance_SMA50,Distance_SMA200,Return_3D,Return_5D,Return_10D,Negative_Days_5,SPY_Return,SPY_Distance_SMA50,SPY_Volume_Ratio,Entry_Price,Exit_Price,PnL_Pct,PnL_Dollars,Holding_Days,Days_Held,Exit,Exit_Reason,Score,Score_Level,Year
MRK,2018-10-24,2018-10-25,2018-10-25,-0.021636808374064,0.0221556757339553,0.9765808379702852,1.4526136928070097,-0.008754853166393,0.0082750122536814,0.1519900805266525,-0.0250176226126015,-0.017822743722048,0.0012772776455451,2.0,-0.030298502287236,-0.0702788264078888,1.5018160478116966,50.32529056623414,52.3383021888835,0.04,80.00000000000007,0,0,TP,TP,2,LOW,2018
AMT,2018-10-26,2018-10-29,2018-10-30,-0.0254054354087529,0.0216515107277526,1.1733793418945362,1.7918164360628293,0.0211729224494277,0.0188920432605339,0.0583653710034905,-0.008220148062806,-0.0035961653416428,0.0532208011191055,2.0,-0.0175874860930261,-0.068423553251364,1.563694202788598,122.37816212001071,127.27328860481114,0.04,80.00000000000009,1,1,TP,TP,5,HIGH,2018
DUK,2018-10-26,2018-10-29,2018-11-05,-0.0209229283374315,0.0201489760678991,1.0384114938111144,1.2209553518936394,0.0061371321536467,0.0086193110888372,0.0581314076431735,-0.0049818721137088,-0.010392591921954,0.0237528858309437,4.0,-0.0175874860930261,-0.068423553251364,1.563694202788598,59.72998237323968,60.81412887573242,0.0181507922724326,36.30158454486532,5,5,TIME,TIME,5,HIGH,2018
AMT,2018-10-31,2018-11-01,2018-11-01,-0.0319357113581091,0.0256998375890816,1.2426425360632156,1.5627053206918506,0.0500492408114683,0.0581157845936022,0.0994688404835471,0.0414409551645891,0.0252681791855897,0.0622446438617687,2.0,0.0106808559523823,-0.0464036575638084,0.9002256979327296,127.12900293668795,124.5864228779542,-0.02,-40.00000000000004,0,0,SL,SL,4,HIGH,2018
WMT,2018-10-31,2018-11-01,2018-11-07,-0.0208940908528618,0.018875709201926,1.1069301094514583,1.2521136873703729,0.0357309893974675,0.0451689825131469,0.1078038022430565,0.0135432739163792,0.0278801812802802,0.0385251392095937,2.0,0.0106808559523823,-0.0464036575638084,0.9002256979327296,29.660270973101696,30.846681812025764,0.04,80.00000000000007,4,4,TP,TP,4,HIGH,2018
ORCL,2018-11-19,2018-11-20,2018-11-27,-0.0316590732739775,0.0204410906495148,1.5487956986643896,1.0914313095218793,0.0108427669845956,0.0089296639815357,0.0391801886287617,0.0145372543611763,0.0067044121592465,0.0108119940854458,2.0,-0.0169146717608761,-0.0400795098615589,0.8542342081588382,43.44479458429635,42.57589869261042,-0.0200000000000001,-40.00000000000026,4,4,SL,SL,4,HIGH,2018
AMT,2018-11-20,2018-11-21,2018-11-29,-0.0336281705455534,0.0180750221904573,1.860477414147094,1.2729177966445653,0.0177424308637244,0.0665426428759825,0.1228684339585575,-0.0091903597177994,-0.0041537959792204,0.0286880408523189,2.0,-0.0185060531810823,-0.0562530178864858,1.1322701483183135,130.40997979292027,132.14793395996094,0.013326849446648,26.653698893296163,5,5,TIME,TIME,5,HIGH,2018
KO,2018-11-20,2018-11-21,2018-11-29,-0.0223718598945197,0.0129462529286427,1.7280567603482777,1.0189714502068778,0.0156942038267111,0.0506473279666412,0.1136091065547681,-0.0072375060972346,-0.0096269434631371,0.0054978611611964,3.0,-0.0185060531810823,-0.0562530178864858,1.1322701483183135,38.86436116373893,38.97275924682617,0.0027891384250613,5.578276850122688,5,5,TIME,TIME,5,HIGH,2018
JNJ,2018-11-21,2018-11-23,2018-11-29,-0.0304539135711706,0.0174458696977654,1.7456231244849538,1.322020792551169,-0.0058812134938361,0.0112181133790105,0.0897065106296994,-0.0273993187737928,-0.0156675861438747,-0.0190675430686526,2.0,0.0034077292399616,-0.0514917066963012,0.6569651677709157,113.95529417174144,118.51350593861108,0.04,80.00000000000009,4,4,TP,TP,4,HIGH,2018
PEP,2018-12-03,2018-12-04,2018-12-06,-0.0242741580775845,0.0188387020800658,1.2885260340344915,1.454674396245633,0.0167709885787117,0.0566532666258416,0.0966500572833906,0.0040507975907571,0.0269288832844394,0.0053231635835067,2.0,0.0132414392499096,0.0088758101942045,1.0848624610458584,93.95223299146696,92.0731883316376,-0.0200000000000001,-40.000000000000256,1,1,SL,SL,4,HIGH,2018
