Ticker,Signal_Date,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Entry_Value,Exit_Value,PnL,PnL_Pct,Score,Signal_Drop,Exit_Reason,Holding_Days,Distance_SMA20,Distance_SMA50,Distance_SMA200,Return_3D,Return_5D,Return_10D,ATR_Pct,Drop_ATR_Ratio,Volume_Ratio,Negative_Days_5,SPY_Return,SPY_Distance_SMA50,SPY_Volume_Ratio
ABBV,2018-03-15,2018-03-16,2018-03-19,80.29448311656212,78.68859345423087,24.90831153488633,2000.0,1959.9999999999998,-40.00000000000023,-0.020000000000000115,4,-0.03371454464502632,SL,0,-0.019104867209563725,0.030640814029978314,,-0.028487004060541832,-0.01777617515785701,0.00957502151622891,0.028769053536485817,1.1719031563644762,1.0293646253756692,3.0,-0.0010897016376713031,0.0019476845031261014,0.801885473189126
NVDA,2018-03-19,2018-03-20,2018-03-20,5.957650839295235,6.195956872867045,334.3599774027115,1992.0,2071.6800000000003,79.68000000000029,0.04000000000000015,4,-0.03784750742943799,TP,0,-0.011270915564313144,0.020523428353865558,,-0.031116741430990524,-0.03507356280220397,0.022702938562073616,0.032136919255406654,1.1776955696545366,1.1964653772450111,2.0,-0.013530254504423689,-0.010882424222280362,1.0818859804652377
CRM,2018-03-21,2018-03-22,2018-03-22,118.35243547002143,115.985386760621,16.96573452017055,2007.936,1967.7772799999998,-40.15872000000013,-0.020000000000000066,4,-0.02733382834506659,SL,0,-0.007037299023535337,0.05329289564169537,,-0.033897116685359996,-0.049144458469936314,-0.028963663854988386,0.021111633033277788,1.294728280942592,1.994993674804188,4.0,-0.0019191304729512249,-0.010828684329257765,0.7982451701155205
AMZN,2018-03-22,2018-03-23,2018-03-23,76.95050048828125,75.41149047851562,25.989489909874784,1999.9042560000003,1959.90617088,-39.99808512000027,-0.020000000000000132,3,-0.023352257063312565,SL,0,-0.0022110480659538467,0.0657103701154147,,-6.419846293126419e-06,-0.02363611887182626,-0.004472054330907582,0.01862831949807598,1.2535890350025667,1.2371464949701654,4.0,-0.024997244151295228,-0.03486508893019458,1.480206038738514
CRM,2018-03-22,2018-03-23,2018-03-23,116.0030899271465,113.68302812860357,17.142748703595085,1988.611819461615,1948.8395830723825,-39.772236389232376,-0.02000000000000004,3,-0.030073941724925946,SL,0,-0.03887575856507208,0.02004655039983505,,-0.055529000465944,-0.07215850995033979,-0.06584366234772132,0.021506023672443777,1.3983961974086574,1.414801507243905,4.0,-0.024997244151295228,-0.03486508893019458,1.480206038738514
MA,2018-03-22,2018-03-23,2018-03-23,167.92774730217238,164.56919235612892,11.770218892966147,1976.5463439492742,1937.0154170702888,-39.53092687898538,-0.01999999999999995,3,-0.028935191745763644,SL,0,-0.018926385465065976,0.018098372295513254,,-0.028021130185495458,-0.030008465686543806,-0.020809690659832958,0.01901700942227947,1.521542693871965,1.208218185923995,3.0,-0.024997244151295228,-0.03486508893019458,1.480206038738514
AMZN,2018-03-23,2018-03-26,2018-03-26,76.5,74.97,25.830640605521005,1976.0440063223568,1936.5231261959098,-39.52088012644708,-0.019999999999999973,3,-0.03194990354365934,SL,0,-0.03395179770058043,0.028238959089070592,,-0.05732709636068878,-0.04843224795881851,-0.05277763120331325,0.019686356830085287,1.6229464811301464,1.513876571597134,4.0,-0.021314397007333508,-0.05439960320474868,1.7470280453825142
ADBE,2018-03-23,2018-03-26,2018-03-26,218.8300018310547,227.58320190429689,9.060566602425473,1982.723806199159,2062.0327584471256,79.30895224796654,0.04000000000000009,2,-0.02494104794776142,TP,0,-0.009430247555641036,0.04933261160897384,,-0.06411314788917977,-0.04668587291874482,-0.027542835335714444,0.026914461012843796,0.9266783360758869,1.2412711388284299,4.0,-0.021314397007333508,-0.05439960320474868,1.7470280453825142
AMZN,2018-03-27,2018-03-28,2018-03-28,72.3499984741211,70.90299850463867,27.42227591692789,1984.0016207466606,1944.3215883317273,-39.680032414933294,-0.020000000000000042,4,-0.037799009933227934,SL,0,-0.03358174131886438,0.022639829995664273,,-0.03098543890499239,-0.056387914922953475,-0.057380093725236114,0.025066437727925005,1.5079529984876288,1.2887202000944502,4.0,-0.01701141523275651,-0.043223705596256434,1.188081442407129
COP,2018-04-02,2018-04-03,2018-04-05,44.43271430396959,46.21002287612838,44.47321405451778,1976.0656142636738,2055.1082388342206,79.04262457054688,0.039999999999999966,3,-0.020239471092560968,TP,1,0.04080625685744943,0.03501829171244353,,-0.01775434002674059,0.006061577247833849,0.057527687718131215,0.027063915574575773,0.7478397217427849,1.0185234862397943,2.0,-0.021584464600993836,-0.051096630761028994,1.6982129347341446
NKE,2018-04-06,2018-04-09,2018-04-10,60.3202917340263,59.113885899345775,33.021626419856645,1991.8741391777833,1952.0366563942275,-39.83748278355574,-0.02000000000000004,3,-0.02931443752409091,SL,0,0.018830788737979498,0.01711385882385108,,0.012743864177670483,0.01670696266874483,0.04858758389734863,0.028666580640684326,1.0225997265431486,1.0728775887657653,2.0,-0.022285970904090124,-0.03745674998426907,1.515413288605079
AAPL,2018-04-19,2018-04-20,2018-04-20,40.00712620479609,39.20698368070016,49.58883156129419,1983.9066426210723,1944.2285097686506,-39.67813285242164,-0.020000000000000098,5,-0.02833991877216857,SL,0,0.008659563275708049,0.002593356498085786,,-0.01717671294585965,-0.007694916045865363,0.0,0.020639071822000535,1.373119829059328,1.0927644943835746,2.0,-0.005547789380302759,0.004008095136094347,0.6837311167747354
ADBE,2018-04-24,2018-04-25,2018-04-25,218.16000366210938,213.7968035888672,9.05743941548063,1975.971016050588,1936.4515957295764,-39.519420321011694,-0.019999999999999966,4,-0.032889496501280924,SL,0,-0.01873673371365525,0.007260557144006086,,-0.042746665215108615,-0.05740614320052506,-0.029572883025645313,0.0271401719009043,1.2118381792631556,1.1222424034485505,4.0,-0.013467478407107714,-0.01897466543410975,1.0877106583947
MSFT,2018-04-24,2018-04-25,2018-04-25,85.6699377138857,83.95653895960798,23.047167134132607,1974.4493728626542,1934.960385405401,-39.48898745725319,-0.020000000000000052,4,-0.023387682586511804,SL,0,0.005762170078470685,0.0035643208754767564,,-0.031109991078159482,-0.030706842378974697,0.0025840054490890996,0.023479672043049044,0.9960821660384106,1.050961502166774,3.0,-0.013467478407107714,-0.01897466543410975,1.0877106583947
NFLX,2018-04-24,2018-04-25,2018-04-25,30.636999130249023,30.02425914764404,64.30979716973083,1970.2591999555345,1930.8540159564236,-39.40518399911093,-0.020000000000000122,4,-0.03661865248022356,SL,0,0.007508230875486355,0.01592010855903303,,-0.07718667743083185,-0.08641312312200844,0.030026519998269663,0.04076515997122035,0.8982830560722889,1.0109902584526316,5.0,-0.013467478407107714,-0.01897466543410975,1.0877106583947
XOM,2018-04-27,2018-04-30,2018-05-01,53.51200094320018,52.44176092433617,36.483186262598394,1952.288297695113,1913.2425317412108,-39.04576595390222,-0.01999999999999998,5,-0.03796695680102247,SL,0,0.004383420695953211,0.023119139189045512,,-0.007147690584170752,-0.015316119495512481,-0.0006420867569874034,0.020779355703967568,1.8271479319146133,1.2073058146662825,2.0,0.0009388084984724987,-0.005528379536243189,0.595460735938855
