Label,Trades,Win_Rate,Avg_PnL,Median_PnL,Total_PnL
BASE,1005,40.398009950248756,0.1402958454558198,-1.99999999999999,140.9973246830989
SPY > SMA50,789,41.57160963244613,0.19575717388950345,-1.99999999999999,154.45241019881823
SPY Return > -2%,872,41.51376146788991,0.2083542119246877,-1.99999999999999,181.68487279832766
SPY > SMA50 + Return > -2%,721,42.0249653259362,0.2226609743924226,-1.99999999999999,160.5385625369367
