Feature,Bucket,Train_Trades,Train_Win_Rate,Train_Avg_PnL,Test_Trades,Test_Win_Rate,Test_Avg_PnL
Signal_Drop,"(-0.0409, -0.0312]",178,36.51685393258427,-0.0515342281920859,195,40.51282051282051,0.2769689550152882
Signal_Drop,"(-0.0312, -0.0264]",178,41.01123595505618,0.27543707629437236,158,39.24050632911392,0.15054935314498769
Signal_Drop,"(-0.0264, -0.0225]",178,38.20224719101123,0.009881309595883084,199,38.19095477386934,-0.04375402630542072
Signal_Drop,"(-0.0225, -0.02]",178,46.62921348314607,0.25275408359565493,191,43.455497382198956,0.25978558378537797
ATR_Pct,"(0.010100000000000001, 0.0194]",178,45.50561797752809,0.09273430882400852,144,43.05555555555556,0.14896737033726515
ATR_Pct,"(0.0194, 0.0246]",178,38.20224719101123,-0.011676090540212453,232,38.362068965517246,0.06679247071627142
ATR_Pct,"(0.0246, 0.0315]",178,44.9438202247191,0.4454224392447783,228,40.78947368421053,0.13036451701511875
ATR_Pct,"(0.0315, 0.101]",178,33.70786516853933,-0.03994241623475004,142,39.436619718309856,0.3294044793768553
Drop_ATR_Ratio,"(0.27, 0.852]",178,36.51685393258427,0.08715418433052197,159,40.25157232704403,0.32319170517002155
Drop_ATR_Ratio,"(0.852, 1.097]",178,37.07865168539326,0.004589585255443162,230,37.826086956521735,0.01628933175997536
Drop_ATR_Ratio,"(1.097, 1.346]",178,43.258426966292134,0.26795173891207463,173,39.30635838150289,0.049263093672473876
Drop_ATR_Ratio,"(1.346, 2.223]",178,45.50561797752809,0.1268427327957847,183,44.26229508196721,0.28082022892022956
Volume_Ratio,"(0.999, 1.126]",178,39.325842696629216,0.03782170110635801,243,39.09465020576132,0.09890287780662992
Volume_Ratio,"(1.126, 1.279]",178,44.9438202247191,0.37762496639278664,204,38.23529411764706,0.0058788469646130935
Volume_Ratio,"(1.279, 1.523]",178,39.325842696629216,0.028276831201250553,159,39.62264150943396,0.14877208857476767
Volume_Ratio,"(1.523, 3.696]",178,38.764044943820224,0.042814742593429156,137,46.715328467153284,0.5150237541205949
Distance_SMA20,"(-0.0876, -0.0135]",178,42.13483146067416,0.23093213231435228,188,38.297872340425535,0.059934844377615135
Distance_SMA20,"(-0.0135, 0.00517]",178,38.20224719101123,-0.009822002465010653,196,38.775510204081634,0.0902474589914449
Distance_SMA20,"(0.00517, 0.0333]",178,46.62921348314607,0.3098061234068243,201,43.78109452736319,0.3291728927297906
Distance_SMA20,"(0.0333, 0.31]",178,35.39325842696629,-0.04437801196234153,160,40.0,0.12703560213561815
Distance_SMA50,"(-0.0009793, 0.0166]",178,38.20224719101123,-0.02673722416593249,170,40.588235294117645,0.11535722989140852
Distance_SMA50,"(0.0166, 0.0381]",178,43.258426966292134,0.19376285812174948,206,39.80582524271845,0.14082538024101107
Distance_SMA50,"(0.0381, 0.0776]",178,42.69662921348314,0.242903806632929,199,36.18090452261307,-0.09310221421289147
Distance_SMA50,"(0.0776, 0.557]",178,38.20224719101123,0.07660880070507838,171,45.02923976608187,0.4874402555723938
Distance_SMA200,"(-0.488, 0.0617]",178,38.764044943820224,0.0027255266883752364,275,38.54545454545455,0.07798232689592566
Distance_SMA200,"(0.0617, 0.126]",178,41.57303370786517,0.000165986192782529,119,42.857142857142854,0.217644539713605
Distance_SMA200,"(0.126, 0.237]",178,39.8876404494382,0.09620299794410649,186,42.473118279569896,0.18992392555563653
Distance_SMA200,"(0.237, 1.452]",178,42.13483146067416,0.3874437304685601,166,38.55421686746988,0.18539162777141416
Return_3D,"(-0.107, -0.0335]",178,43.258426966292134,0.4143744158715269,191,41.361256544502616,0.28073662810936717
Return_3D,"(-0.0335, -0.0192]",178,39.325842696629216,-0.030044873499423728,191,37.17277486910995,0.05952471157488626
Return_3D,"(-0.0192, -0.00374]",178,44.38202247191011,0.1598260736826084,191,40.83769633507853,0.0659028233671733
Return_3D,"(-0.00374, 0.155]",178,35.39325842696629,-0.05761737476088715,166,42.77108433734939,0.26426714061975387
Return_5D,"(-0.143, -0.0284]",178,44.38202247191011,0.3087412660706584,202,38.613861386138616,0.13420314221244287
Return_5D,"(-0.0284, -0.00907]",178,41.01123595505618,0.08964705400136674,194,42.78350515463917,0.20023395610933437
Return_5D,"(-0.00907, 0.0141]",178,42.13483146067416,0.1592129134378867,178,35.95505617977528,-0.09717919256495491
Return_5D,"(0.0141, 0.237]",178,34.831460674157306,-0.07106299221608744,171,43.859649122807014,0.39057996812946977
Return_10D,"(-0.135, -0.0199]",178,42.13483146067416,0.1901038115653892,173,39.884393063583815,0.18975369336920242
Return_10D,"(-0.0199, 0.0072]",178,40.44943820224719,0.14109419437038334,195,35.8974358974359,-0.10185499786264259
Return_10D,"(0.0072, 0.0461]",178,40.44943820224719,-0.009549626561072692,210,45.714285714285715,0.39543769489191066
Return_10D,"(0.0461, 0.56]",178,39.325842696629216,0.16488986191912455,168,38.69047619047619,0.103798334456808
SPY_Return,"(-0.0791, -0.0174]",179,39.66480446927375,0.1794674382857174,121,28.09917355371901,-0.6168796223109839
SPY_Return,"(-0.0174, -0.00732]",178,44.9438202247191,0.3331950680946007,224,38.839285714285715,0.14930598906449158
SPY_Return,"(-0.00732, 0.000216]",177,37.85310734463277,-0.1466928467690961,234,47.008547008547005,0.5308966404830289
