Candidate,Trades,WinRate,AvgPnL,PF,TotalPnL
ATR <= 1.5%,19,68.42105263157895,1.012328984626297,3.3071178790662015,19.23425070789964
SMA50 >= 10% + ATR <= 2.5%,15,60.0,1.6865544328846473,2.8684174899017094,25.298316493269713
SMA50 >= 10%,37,56.75675675675676,1.5527805145433056,2.650503668817606,57.45287903810231
SMA50 >= 7.5% + ATR <= 2.5%,50,56.00000000000001,0.8852054748070486,1.9677000446945132,44.26027374035243
SMA50 >= 7.5%,82,52.4390243902439,0.8551681766761912,1.8656517769959025,70.12379048744766
SMA50 >= 7.5% + ATR <= 3%,69,53.62318840579711,0.7104755242815559,1.7316081070621556,49.022811175427364
SMA50 >= 5%,162,50.617283950617285,0.5760487117971631,1.5759313119423586,93.31989131114042
SMA50 >= 5% + ATR <= 2.5%,121,52.066115702479344,0.5242814336511189,1.5433029108972258,63.43805347178538
SMA50 >= 5% + ATR <= 3%,147,51.02040816326531,0.477679673463402,1.4808426938391936,70.2189119991201
ATR <= 2.0%,137,49.63503649635037,0.271475833655648,1.274950387397646,37.19218921082377
BASE,330,46.36363636363636,0.2678199458050644,1.2376527305243628,88.38058211567125
ATR <= 2.5%,257,47.47081712062256,0.23445991871505864,1.210340770885174,60.25619910977007
ATR <= 3.0%,310,46.45161290322581,0.2046665142559478,1.1803570962360903,63.44661941934382
