,Gagnants,Perdants,Difference
Drop %,-3.1635550294758605,-3.293621002638347,0.13006597316248625
ATR %,2.895026340151335,2.876174702171868,0.018851637979467206
Drop / ATR,1.1607795306170834,1.2086398404412118,-0.047860309824128366
Volume ratio,1.3820951099534156,1.393641136290077,-0.011546026336661352
Distance SMA50,6.784532247167415,5.858151150847815,0.9263810963196004
