Strategy,Initial_Capital,Final_Capital,Total_Return,CAGR,Max_Drawdown,Sharpe,Trades,Win_Rate,Avg_PnL,Median_PnL_Pct,Profit_Factor,Expectancy,SPY_BuyHold
BASE,10000.0,12414.762413998391,0.24147624139983903,0.027540226081600894,-0.2687992142292106,0.33082544495083943,1303,0.39217191097467385,1.853232858018706,-0.019999999999999934,1.0729885242964075,1.853232858018706,1.8691670793050035
SCORE4,10000.0,11674.369996334608,0.16743699963346081,0.019634782384923,-0.15478380721336238,0.2928221044001818,929,0.40904198062432723,1.8023358410491055,-0.019999999999999917,1.0702524030787424,1.8023358410491055,1.8691670793050035
SCORE5,10000.0,11831.659304842351,0.18316593048423502,0.021350168674752146,-0.0823677506699867,0.49474204224927265,330,0.4636363636363636,5.550482741946508,-0.009672169601768789,1.2280512161127648,5.550482741946508,1.8691670793050035
