Ticker,Signal_Date,Entry_Date,Signal_Close,Signal_Drop,Score,Distance_SMA20,Distance_SMA50,Distance_SMA200,Return_3D,Return_5D,Return_10D,ATR_Pct,Drop_ATR_Ratio,Volume_Ratio,Negative_Days_5,SPY_Return,SPY_Distance_SMA50,SPY_Volume_Ratio
ABBV,2018-03-15,2018-03-16,80.32245635986328,-0.03371454464502632,4,-0.019104867209563725,0.030640814029978314,,-0.028487004060541832,-0.01777617515785701,0.00957502151622891,0.028769053536485817,1.1719031563644762,1.0293646253756692,3.0,-0.0010897016376713031,0.0019476845031261014,0.801885473189126
NVDA,2018-03-19,2018-03-20,5.954687118530273,-0.03784750742943799,4,-0.011270915564313144,0.020523428353865558,,-0.031116741430990524,-0.03507356280220397,0.022702938562073616,0.032136919255406654,1.1776955696545366,1.1964653772450111,2.0,-0.013530254504423689,-0.010882424222280362,1.0818859804652377
CRM,2018-03-21,2018-03-22,119.63032531738281,-0.02733382834506659,4,-0.007037299023535337,0.05329289564169537,,-0.033897116685359996,-0.049144458469936314,-0.028963663854988386,0.021111633033277788,1.294728280942592,1.994993674804188,4.0,-0.0019191304729512249,-0.010828684329257765,0.7982451701155205
AMZN,2018-03-22,2018-03-23,77.24600219726562,-0.023352257063312565,3,-0.0022110480659538467,0.0657103701154147,,-6.419846293126419e-06,-0.02363611887182626,-0.004472054330907582,0.01862831949807598,1.2535890350025667,1.2371464949701654,4.0,-0.024997244151295228,-0.03486508893019458,1.480206038738514
CRM,2018-03-22,2018-03-23,116.0325698852539,-0.030073941724925946,3,-0.03887575856507208,0.02004655039983505,,-0.055529000465944,-0.07215850995033979,-0.06584366234772132,0.021506023672443777,1.3983961974086574,1.414801507243905,4.0,-0.024997244151295228,-0.03486508893019458,1.480206038738514
MA,2018-03-22,2018-03-23,167.2986297607422,-0.028935191745763644,3,-0.018926385465065976,0.018098372295513254,,-0.028021130185495458,-0.030008465686543806,-0.020809690659832958,0.01901700942227947,1.521542693871965,1.208218185923995,3.0,-0.024997244151295228,-0.03486508893019458,1.480206038738514
AMZN,2018-03-23,2018-03-26,74.77799987792969,-0.03194990354365934,3,-0.03395179770058043,0.028238959089070592,,-0.05732709636068878,-0.04843224795881851,-0.05277763120331325,0.019686356830085287,1.6229464811301464,1.513876571597134,4.0,-0.021314397007333508,-0.05439960320474868,1.7470280453825142
ADBE,2018-03-23,2018-03-26,215.02000427246094,-0.02494104794776142,2,-0.009430247555641036,0.04933261160897384,,-0.06411314788917977,-0.04668587291874482,-0.027542835335714444,0.026914461012843796,0.9266783360758869,1.2412711388284299,4.0,-0.021314397007333508,-0.05439960320474868,1.7470280453825142
AMZN,2018-03-27,2018-03-28,74.85250091552734,-0.037799009933227934,4,-0.03358174131886438,0.022639829995664273,,-0.03098543890499239,-0.056387914922953475,-0.057380093725236114,0.025066437727925005,1.5079529984876288,1.2887202000944502,4.0,-0.01701141523275651,-0.043223705596256434,1.188081442407129
COP,2018-04-02,2018-04-03,44.09115982055664,-0.020239471092560968,3,0.04080625685744943,0.03501829171244353,,-0.01775434002674059,0.006061577247833849,0.057527687718131215,0.027063915574575773,0.7478397217427849,1.0185234862397943,2.0,-0.021584464600993836,-0.051096630761028994,1.6982129347341446
