Ticker,Date,Entry_Date,Exit_Date,Signal_Drop,ATR_Pct,Drop_ATR_Ratio,Volume_Ratio,Distance_SMA20,Distance_SMA50,Distance_SMA200,Return_3D,Return_5D,Return_10D,Negative_Days_5,SPY_Return,SPY_Distance_SMA50,SPY_Volume_Ratio,Entry_Price,Exit_Price,PnL_Pct,PnL_Dollars,Holding_Days,Days_Held,Exit,Exit_Reason
MRK,2018-10-24,2018-10-25,2018-10-25,-0.02163680837406401,0.02215567573395533,0.9765808379702852,1.4526136928070097,-0.008754853166393017,0.008275012253681435,0.15199008052665253,-0.025017622612601542,-0.017822743722048062,0.001277277645545194,2.0,-0.030298502287236073,-0.07027882640788885,1.5018160478116966,50.32529056623414,52.3383021888835,0.040000000000000036,80.00000000000007,0,0,TP,TP
AMT,2018-10-26,2018-10-29,2018-10-30,-0.025405435408752952,0.021651510727752697,1.1733793418945362,1.7918164360628293,0.0211729224494277,0.018892043260533953,0.058365371003490596,-0.00822014806280602,-0.003596165341642865,0.05322080111910554,2.0,-0.017587486093026183,-0.06842355325136407,1.563694202788598,122.37816212001071,127.27328860481114,0.040000000000000036,80.00000000000009,1,1,TP,TP
DUK,2018-10-26,2018-10-29,2018-11-05,-0.02092292833743159,0.02014897606789919,1.0384114938111144,1.2209553518936394,0.006137132153646752,0.00861931108883729,0.058131407643173594,-0.0049818721137088184,-0.010392591921954075,0.023752885830943704,4.0,-0.017587486093026183,-0.06842355325136407,1.563694202788598,59.72998237323968,60.81412887573242,0.01815079227243266,36.30158454486532,5,5,TIME,TIME
AMT,2018-10-31,2018-11-01,2018-11-01,-0.03193571135810913,0.025699837589081613,1.2426425360632156,1.5627053206918506,0.05004924081146833,0.05811578459360223,0.0994688404835471,0.04144095516458912,0.025268179185589767,0.062244643861768756,2.0,0.010680855952382329,-0.04640365756380849,0.9002256979327296,127.12900293668797,124.5864228779542,-0.020000000000000018,-40.000000000000036,0,0,SL,SL
WMT,2018-10-31,2018-11-01,2018-11-07,-0.02089409085286187,0.018875709201926022,1.1069301094514583,1.2521136873703727,0.03573098939746755,0.04516898251314694,0.10780380224305652,0.013543273916379217,0.027880181280280247,0.03852513920959377,2.0,0.010680855952382329,-0.04640365756380849,0.9002256979327296,29.660270973101696,30.846681812025764,0.040000000000000036,80.00000000000007,4,4,TP,TP
ORCL,2018-11-19,2018-11-20,2018-11-27,-0.031659073273977545,0.020441090649514895,1.5487956986643896,1.0914313095218793,0.010842766984595631,0.008929663981535718,0.039180188628761714,0.014537254361176366,0.006704412159246553,0.010811994085445864,2.0,-0.016914671760876132,-0.04007950986155895,0.8542342081588382,43.44479458429635,42.57589869261042,-0.02000000000000013,-40.00000000000026,4,4,SL,SL
AMT,2018-11-20,2018-11-21,2018-11-29,-0.03362817054555345,0.018075022190457358,1.860477414147094,1.2729177966445653,0.0177424308637244,0.06654264287598255,0.12286843395855751,-0.009190359717799468,-0.004153795979220498,0.028688040852318908,2.0,-0.018506053181082338,-0.056253017886485845,1.1322701483183135,130.40997979292027,132.14793395996094,0.013326849446648081,26.653698893296163,5,5,TIME,TIME
KO,2018-11-20,2018-11-21,2018-11-29,-0.02237185989451973,0.012946252928642715,1.7280567603482775,1.0189714502068778,0.01569420382671116,0.05064732796664129,0.11360910655476819,-0.007237506097234614,-0.009626943463137194,0.005497861161196438,3.0,-0.018506053181082338,-0.056253017886485845,1.1322701483183135,38.86436116373893,38.97275924682617,0.002789138425061344,5.578276850122688,5,5,TIME,TIME
JNJ,2018-11-21,2018-11-23,2018-11-29,-0.030453913571170665,0.017445869697765428,1.7456231244849538,1.322020792551169,-0.00588121349383619,0.011218113379010575,0.08970651062969948,-0.02739931877379287,-0.015667586143874757,-0.01906754306865266,2.0,0.0034077292399616876,-0.05149170669630121,0.6569651677709157,113.95529417174143,118.51350593861109,0.040000000000000036,80.00000000000009,4,4,TP,TP
PEP,2018-12-03,2018-12-04,2018-12-06,-0.024274158077584596,0.018838702080065862,1.2885260340344917,1.454674396245633,0.016770988578711732,0.05665326662584169,0.0966500572833906,0.004050797590757105,0.02692888328443943,0.005323163583506707,2.0,0.013241439249909615,0.00887581019420458,1.0848624610458584,93.95223299146696,92.07318833163761,-0.02000000000000013,-40.000000000000256,1,1,SL,SL
MSFT,2018-12-04,2018-12-06,2018-12-11,-0.031849238601348584,0.029691710674226796,1.0726643186980325,1.2891845779900764,0.008801744451008231,2.0690534872969124e-05,0.06504655726608743,-0.015155579419117493,0.012880399463715664,0.03727764657344923,2.0,-0.03240245941138875,-0.022347288598685178,1.7670735441879333,98.38595674793915,102.32139501785672,0.040000000000000036,80.00000000000007,3,3,TP,TP
PLD,2018-12-04,2018-12-06,2018-12-06,-0.026074095918382056,0.018321867739146475,1.4231134232386244,1.2736900780379041,-0.004511200471694288,0.015045225494145553,0.040702364421432824,-0.0047631758138535485,0.0030005450311305637,-0.012407353751135108,2.0,-0.03240245941138875,-0.022347288598685178,1.7670735441879333,53.453193943545486,52.38413006467457,-0.02000000000000013,-40.00000000000026,0,0,SL,SL
UNH,2018-12-04,2018-12-06,2018-12-06,-0.027171950456482907,0.023671397082122417,1.1478811479616573,1.2358663861939154,0.02859063918088145,0.046218483481144323,0.1193934626089439,-0.011006723922977413,0.030573228708609568,0.050328910282618544,2.0,-0.03240245941138875,-0.022347288598685178,1.7670735441879333,240.21092803208444,235.40670947144275,-0.020000000000000018,-40.000000000000036,0,0,SL,SL
PFE,2018-12-07,2018-12-10,2018-12-10,-0.023566064587264623,0.022248255409777325,1.0592320230604764,1.1312352667823076,-0.005682603164799294,0.0028043701904632012,0.13048654323632314,-0.0450097341707868,-0.03493755156251166,0.019025273685633115,4.0,-0.023235786117976054,-0.043243937518847586,1.4526896911105194,28.906004030074108,28.327883949472625,-0.020000000000000018,-40.000000000000036,0,0,SL,SL
PLD,2018-12-07,2018-12-10,2018-12-10,-0.023948676926740964,0.022270689854042385,1.0753450873635153,1.1528591085085278,-0.006532622792297493,0.013833073051492839,0.03892811537681129,-0.026365824610698252,-0.005061287955699156,-0.0011956679161712058,2.0,-0.023235786117976054,-0.043243937518847586,1.4526896911105194,53.85644896721536,52.77931998787105,-0.020000000000000018,-40.000000000000036,0,0,SL,SL
LLY,2018-12-14,2018-12-17,2018-12-17,-0.025509059097638787,0.02278207234967685,1.119698801149695,1.1880011015558356,-0.023983858784556555,0.0004565360807133878,0.185554348781936,-0.022445272583591525,-0.014527207688650678,-0.04333314175756797,2.0,-0.018464764467174155,-0.04500407079486746,1.0109847612941,100.69063881581697,98.67682603950063,-0.020000000000000018,-40.000000000000036,0,0,SL,SL
MRK,2018-12-14,2018-12-17,2018-12-18,-0.025235482663196973,0.021920799417129842,1.1512117867141696,1.0279290992757653,0.0009658216355779015,0.03943627541446992,0.19305781465261163,-0.0012176931305393213,0.003859746728550606,-0.011473495079466267,2.0,-0.018464764467174155,-0.04500407079486746,1.0109847612941,57.51438173942072,56.36409410463231,-0.020000000000000018,-40.000000000000036,1,1,SL,SL
PEP,2018-12-14,2018-12-17,2018-12-18,-0.037177769787241854,0.022911658754736854,1.6226572761588274,1.5609708791081371,-0.022743101180459635,0.010296090053524942,0.054532872413375566,-0.028476374025756757,-0.016145853486553396,-0.028876337305348332,2.0,-0.018464764467174155,-0.04500407079486746,1.0109847612941,90.73164698426689,88.91701404458155,-0.020000000000000018,-40.000000000000036,1,1,SL,SL
AMT,2018-12-17,2018-12-18,2018-12-21,-0.03397368114770438,0.020677636501376342,1.643015687283362,1.2103030610511734,-0.017721052968393547,0.02622392394549733,0.10638887746416459,-0.02253260978965821,-0.031590487467059614,-0.021581899723929654,3.0,-0.01961834579625832,-0.06139389854292576,1.4119320980073213,131.44138908060532,128.81256129899322,-0.020000000000000018,-40.000000000000036,3,3,SL,SL
DUK,2018-12-17,2018-12-18,2018-12-20,-0.029311401132500747,0.019298452561523877,1.518847225654771,1.3622629046886707,-0.007296861204735161,0.039001890686064966,0.11819041121123175,-0.016852795709704882,-0.02673751378551703,-0.005419496555413628,3.0,-0.01961834579625832,-0.06139389854292576,1.4119320980073213,65.0414789021928,63.74064932414893,-0.020000000000000018,-40.000000000000036,2,2,SL,SL
KO,2018-12-17,2018-12-18,2018-12-19,-0.02047006456258116,0.01940626740710996,1.0548171955561865,1.2989617905905793,-0.018595442551067265,0.010935143849241769,0.0843463969964191,-0.018081857031788884,-0.018480907061129592,-0.0410712260945465,3.0,-0.01961834579625832,-0.06139389854292576,1.4119320980073213,38.678351311169266,37.90478428494588,-0.019999999999999907,-39.999999999999815,1,1,SL,SL
NEE,2018-12-17,2018-12-18,2018-12-20,-0.030843177730542792,0.01856573954237039,1.661295401680771,1.3619657322808545,-0.022499194050836446,0.003973942154424037,0.06001169519221605,-0.031217400897707526,-0.03811394170616811,-0.03335009007256973,3.0,-0.01961834579625832,-0.06139389854292576,1.4119320980073213,36.30133485252207,35.575308155471625,-0.020000000000000018,-40.000000000000036,2,2,SL,SL
