Date,Cash,Open_Positions,Equity,Daily_Return,Peak,Drawdown
2018-10-29,6000.0,2,10000.0,,10000.0,0.0
2018-10-30,8080.0,1,10080.0,0.008000000000000007,10080.0,0.0
2018-10-31,8080.0,1,10080.0,0.0,10080.0,0.0
2018-11-01,4048.0,3,10080.0,0.0,10080.0,0.0
2018-11-02,6023.68,2,10039.68,-0.0040000000000000036,10080.0,-0.0040000000000000036
2018-11-03,6023.68,2,10039.68,0.0,10080.0,-0.0040000000000000036
2018-11-04,6023.68,2,10039.68,0.0,10080.0,-0.0040000000000000036
2018-11-05,8059.981584544866,1,10075.981584544865,0.003615810916768769,10080.0,-0.00039865232689828556
2018-11-06,8059.981584544866,1,10075.981584544865,0.0,10080.0,-0.00039865232689828556
2018-11-07,10156.621584544866,0,10156.621584544866,0.008003190490511791,10156.621584544866,0.0
2018-11-08,10156.621584544866,0,10156.621584544866,0.0,10156.621584544866,0.0
2018-11-09,10156.621584544866,0,10156.621584544866,0.0,10156.621584544866,0.0
2018-11-10,10156.621584544866,0,10156.621584544866,0.0,10156.621584544866,0.0
2018-11-11,10156.621584544866,0,10156.621584544866,0.0,10156.621584544866,0.0
2018-11-12,10156.621584544866,0,10156.621584544866,0.0,10156.621584544866,0.0
2018-11-13,10156.621584544866,0,10156.621584544866,0.0,10156.621584544866,0.0
2018-11-14,10156.621584544866,0,10156.621584544866,0.0,10156.621584544866,0.0
2018-11-15,10156.621584544866,0,10156.621584544866,0.0,10156.621584544866,0.0
2018-11-16,10156.621584544866,0,10156.621584544866,0.0,10156.621584544866,0.0
2018-11-17,10156.621584544866,0,10156.621584544866,0.0,10156.621584544866,0.0
2018-11-18,10156.621584544866,0,10156.621584544866,0.0,10156.621584544866,0.0
2018-11-19,10156.621584544866,0,10156.621584544866,0.0,10156.621584544866,0.0
2018-11-20,8125.297267635893,1,10156.621584544866,0.0,10156.621584544866,0.0
2018-11-21,4062.6486338179466,3,10156.621584544868,2.220446049250313e-16,10156.621584544868,0.0
2018-11-22,4062.6486338179466,3,10156.621584544868,0.0,10156.621584544868,0.0
2018-11-23,2031.3243169089728,4,10156.621584544868,0.0,10156.621584544868,0.0
2018-11-24,2031.3243169089728,4,10156.621584544868,0.0,10156.621584544868,0.0
2018-11-25,2031.3243169089728,4,10156.621584544868,0.0,10156.621584544868,0.0
2018-11-26,2031.3243169089728,4,10156.621584544868,0.0,10156.621584544868,0.0
2018-11-27,4022.0221474797663,3,10115.995098206688,-0.004000000000000115,10156.621584544868,-0.004000000000000115
2018-11-28,4022.0221474797663,3,10115.995098206688,0.0,10156.621584544868,-0.004000000000000115
2018-11-29,10229.98486893786,0,10229.98486893786,0.011268270656969781,10229.98486893786,0.0
2018-11-30,10229.98486893786,0,10229.98486893786,0.0,10229.98486893786,0.0
2018-12-01,10229.98486893786,0,10229.98486893786,0.0,10229.98486893786,0.0
