Date,Cash,Open_Positions,Equity,Peak,Drawdown
2018-01-02,10000.0,0,10000.0,10000.0,0.0
2018-01-03,10000.0,0,10000.0,10000.0,0.0
2018-01-04,10000.0,0,10000.0,10000.0,0.0
2018-01-05,10000.0,0,10000.0,10000.0,0.0
2018-01-08,10000.0,0,10000.0,10000.0,0.0
2018-01-09,10000.0,0,10000.0,10000.0,0.0
2018-01-10,10000.0,0,10000.0,10000.0,0.0
2018-01-11,10000.0,0,10000.0,10000.0,0.0
2018-01-12,10000.0,0,10000.0,10000.0,0.0
2018-01-16,10000.0,0,10000.0,10000.0,0.0
2018-01-17,10000.0,0,10000.0,10000.0,0.0
2018-01-18,10000.0,0,10000.0,10000.0,0.0
2018-01-19,10000.0,0,10000.0,10000.0,0.0
2018-01-22,10000.0,0,10000.0,10000.0,0.0
2018-01-23,10000.0,0,10000.0,10000.0,0.0
2018-01-24,10000.0,0,10000.0,10000.0,0.0
2018-01-25,10000.0,0,10000.0,10000.0,0.0
2018-01-26,10000.0,0,10000.0,10000.0,0.0
2018-01-29,10000.0,0,10000.0,10000.0,0.0
2018-01-30,10000.0,0,10000.0,10000.0,0.0
2018-01-31,10000.0,0,10000.0,10000.0,0.0
2018-02-01,10000.0,0,10000.0,10000.0,0.0
2018-02-02,10000.0,0,10000.0,10000.0,0.0
2018-02-05,10000.0,0,10000.0,10000.0,0.0
2018-02-06,10000.0,0,10000.0,10000.0,0.0
2018-02-07,10000.0,0,10000.0,10000.0,0.0
2018-02-08,10000.0,0,10000.0,10000.0,0.0
2018-02-09,10000.0,0,10000.0,10000.0,0.0
2018-02-12,10000.0,0,10000.0,10000.0,0.0
2018-02-13,10000.0,0,10000.0,10000.0,0.0
2018-02-14,10000.0,0,10000.0,10000.0,0.0
2018-02-15,10000.0,0,10000.0,10000.0,0.0
2018-02-16,10000.0,0,10000.0,10000.0,0.0
2018-02-20,10000.0,0,10000.0,10000.0,0.0
2018-02-21,10000.0,0,10000.0,10000.0,0.0
2018-02-22,10000.0,0,10000.0,10000.0,0.0
2018-02-23,10000.0,0,10000.0,10000.0,0.0
2018-02-26,10000.0,0,10000.0,10000.0,0.0
2018-02-27,10000.0,0,10000.0,10000.0,0.0
2018-02-28,10000.0,0,10000.0,10000.0,0.0
2018-03-01,10000.0,0,10000.0,10000.0,0.0
2018-03-02,10000.0,0,10000.0,10000.0,0.0
2018-03-05,10000.0,0,10000.0,10000.0,0.0
2018-03-06,10000.0,0,10000.0,10000.0,0.0
2018-03-07,10000.0,0,10000.0,10000.0,0.0
2018-03-08,10000.0,0,10000.0,10000.0,0.0
2018-03-09,10000.0,0,10000.0,10000.0,0.0
2018-03-12,10000.0,0,10000.0,10000.0,0.0
2018-03-13,10000.0,0,10000.0,10000.0,0.0
2018-03-14,10000.0,0,10000.0,10000.0,0.0
2018-03-15,10000.0,0,10000.0,10000.0,0.0
2018-03-16,10000.0,0,10000.0,10000.0,0.0
2018-03-19,10000.0,0,10000.0,10000.0,0.0
2018-03-20,10000.0,0,10000.0,10000.0,0.0
2018-03-21,10000.0,0,10000.0,10000.0,0.0
2018-03-22,10000.0,0,10000.0,10000.0,0.0
2018-03-23,10000.0,0,10000.0,10000.0,0.0
2018-03-26,10000.0,0,10000.0,10000.0,0.0
2018-03-27,10000.0,0,10000.0,10000.0,0.0
2018-03-28,10000.0,0,10000.0,10000.0,0.0
2018-03-29,10000.0,0,10000.0,10000.0,0.0
2018-04-02,10000.0,0,10000.0,10000.0,0.0
2018-04-03,10000.0,0,10000.0,10000.0,0.0
2018-04-04,10000.0,0,10000.0,10000.0,0.0
2018-04-05,10000.0,0,10000.0,10000.0,0.0
2018-04-06,10000.0,0,10000.0,10000.0,0.0
2018-04-09,10000.0,0,10000.0,10000.0,0.0
2018-04-10,10000.0,0,10000.0,10000.0,0.0
2018-04-11,10000.0,0,10000.0,10000.0,0.0
2018-04-12,10000.0,0,10000.0,10000.0,0.0
2018-04-13,10000.0,0,10000.0,10000.0,0.0
2018-04-16,10000.0,0,10000.0,10000.0,0.0
2018-04-17,10000.0,0,10000.0,10000.0,0.0
2018-04-18,10000.0,0,10000.0,10000.0,0.0
2018-04-19,10000.0,0,10000.0,10000.0,0.0
2018-04-20,9960.0,0,9960.0,10000.0,-0.0040000000000000036
2018-04-23,9960.0,0,9960.0,10000.0,-0.0040000000000000036
2018-04-24,9960.0,0,9960.0,10000.0,-0.0040000000000000036
2018-04-25,9960.0,0,9960.0,10000.0,-0.0040000000000000036
2018-04-26,9960.0,0,9960.0,10000.0,-0.0040000000000000036
2018-04-27,9960.0,0,9960.0,10000.0,-0.0040000000000000036
2018-04-30,7968.0,1,9955.909032474134,10000.0,-0.004409096752586605
2018-05-01,9880.418182722888,0,9880.418182722888,10000.0,-0.011958181727711237
2018-05-02,9880.418182722888,0,9880.418182722888,10000.0,-0.011958181727711237
2018-05-03,9880.418182722888,0,9880.418182722888,10000.0,-0.011958181727711237
2018-05-04,9880.418182722888,0,9880.418182722888,10000.0,-0.011958181727711237
2018-05-07,9880.418182722888,0,9880.418182722888,10000.0,-0.011958181727711237
2018-05-08,9880.418182722888,0,9880.418182722888,10000.0,-0.011958181727711237
2018-05-09,9880.418182722888,0,9880.418182722888,10000.0,-0.011958181727711237
2018-05-10,9880.418182722888,0,9880.418182722888,10000.0,-0.011958181727711237
2018-05-11,9880.418182722888,0,9880.418182722888,10000.0,-0.011958181727711237
2018-05-14,9880.418182722888,0,9880.418182722888,10000.0,-0.011958181727711237
2018-05-15,9880.418182722888,0,9880.418182722888,10000.0,-0.011958181727711237
2018-05-16,7904.33454617831,1,9896.696594169289,10000.0,-0.01033034058307114
2018-05-17,7904.33454617831,1,9910.464106303552,10000.0,-0.008953589369644743
2018-05-18,5925.108665880298,2,9910.260024580855,10000.0,-0.008973997541914414
2018-05-21,5925.108665880298,2,9887.228414242712,10000.0,-0.011277158575728752
2018-05-22,5925.108665880298,2,9860.155113844332,10000.0,-0.013984488615566781
2018-05-23,7931.100686860398,1,9942.198877281142,10000.0,-0.005780112271885796
2018-05-24,7931.100686860398,1,9952.404563643886,10000.0,-0.004759543635611374
2018-05-25,9900.397473163077,0,9900.397473163077,10000.0,-0.009960252683692272
2018-05-29,9900.397473163077,0,9900.397473163077,10000.0,-0.009960252683692272
2018-05-30,7920.317978530462,1,9914.538957550267,10000.0,-0.008546104244973374
2018-05-31,7920.317978530462,1,9880.966853348507,10000.0,-0.011903314665149267
2018-06-01,7920.317978530462,1,9906.35445854615,10000.0,-0.009364554145385062
2018-06-04,7920.317978530462,1,9928.680136447749,10000.0,-0.007131986355225162
2018-06-05,7920.317978530462,1,9925.172821860388,10000.0,-0.007482717813961259
2018-06-06,9979.600652948382,0,9979.600652948382,10000.0,-0.002039934705161839
2018-06-07,9979.600652948382,0,9979.600652948382,10000.0,-0.002039934705161839
2018-06-08,7983.680522358705,1,10014.771457164246,10014.771457164246,0.0
2018-06-11,5981.065821484659,2,10036.139445372453,10036.139445372453,0.0
2018-06-12,5981.065821484659,2,10053.654512597077,10053.654512597077,0.0
2018-06-13,8056.822757297923,1,10103.860885450033,10103.860885450033,0.0
2018-06-14,10139.542046206932,0,10139.542046206932,10139.542046206932,0.0
2018-06-15,10139.542046206932,0,10139.542046206932,10139.542046206932,0.0
2018-06-18,8111.6336369655455,1,10181.392128371086,10181.392128371086,0.0
2018-06-19,8111.6336369655455,1,10149.417707601453,10181.392128371086,-0.0031404763087883314
2018-06-20,8111.6336369655455,1,10145.370309440314,10181.392128371086,-0.0035380052626001746
2018-06-21,8111.6336369655455,1,10125.861820659598,10181.392128371086,-0.00545409773156158
2018-06-22,10098.983878022103,0,10098.983878022103,10181.392128371086,-0.00809400613491218
2018-06-25,10098.983878022103,0,10098.983878022103,10181.392128371086,-0.00809400613491218
2018-06-26,8079.187102417683,1,10113.294116233856,10181.392128371086,-0.006688477496851419
2018-06-27,8079.187102417683,1,10080.994033734765,10181.392128371086,-0.009860939778221
2018-06-28,10058.587942510016,0,10058.587942510016,10181.392128371086,-0.012061630110372534
2018-06-29,10058.587942510016,0,10058.587942510016,10181.392128371086,-0.012061630110372534
2018-07-02,10058.587942510016,0,10058.587942510016,10181.392128371086,-0.012061630110372534
2018-07-03,10058.587942510016,0,10058.587942510016,10181.392128371086,-0.012061630110372534
2018-07-05,10058.587942510016,0,10058.587942510016,10181.392128371086,-0.012061630110372534
2018-07-06,10058.587942510016,0,10058.587942510016,10181.392128371086,-0.012061630110372534
2018-07-09,10058.587942510016,0,10058.587942510016,10181.392128371086,-0.012061630110372534
2018-07-10,4006.1741221144803,3,10154.305170189904,10181.392128371086,-0.0026604375747106834
2018-07-11,4006.1741221144803,3,10186.526944031657,10186.526944031657,0.0
2018-07-12,4006.1741221144803,3,10195.575284503278,10195.575284503278,0.0
2018-07-13,4006.1741221144803,3,10203.807950427334,10203.807950427334,0.0
2018-07-16,4006.1741221144803,3,10186.778405765146,10203.807950427334,-0.0016689401393010783
2018-07-17,10198.00618856679,0,10198.00618856679,10203.807950427334,-0.0005685879123490389
2018-07-18,10198.00618856679,0,10198.00618856679,10203.807950427334,-0.0005685879123490389
2018-07-19,10198.00618856679,0,10198.00618856679,10203.807950427334,-0.0005685879123490389
2018-07-20,10198.00618856679,0,10198.00618856679,10203.807950427334,-0.0005685879123490389
2018-07-23,10198.00618856679,0,10198.00618856679,10203.807950427334,-0.0005685879123490389
2018-07-24,10198.00618856679,0,10198.00618856679,10203.807950427334,-0.0005685879123490389
2018-07-25,10198.00618856679,0,10198.00618856679,10203.807950427334,-0.0005685879123490389
2018-07-26,10198.00618856679,0,10198.00618856679,10203.807950427334,-0.0005685879123490389
2018-07-27,10157.214163812523,0,10157.214163812523,10203.807950427334,-0.004566313560699586
2018-07-30,8104.465200481488,1,10092.327717169279,10203.807950427334,-0.010925355886709509
2018-07-31,8058.788804081052,1,10068.575140972975,10203.807950427334,-0.013253170787940527
2018-08-01,8058.788804081052,1,10072.364185979286,10203.807950427334,-0.012881834417761917
2018-08-02,8058.788804081052,1,10096.804576431388,10203.807950427334,-0.010486611911532884
2018-08-03,8058.788804081052,1,10105.709004610777,10203.807950427334,-0.009613954544533398
2018-08-06,8058.788804081052,1,10107.414341322477,10203.807950427334,-0.009446827064284347
2018-08-07,10121.623808687918,0,10121.623808687918,10203.807950427334,-0.008054261912678773
2018-08-08,10121.623808687918,0,10121.623808687918,10203.807950427334,-0.008054261912678773
2018-08-09,8097.299046950335,1,10123.5762589587,10203.807950427334,-0.007862916654098218
2018-08-10,8097.299046950335,1,10097.306957543164,10203.807950427334,-0.01043737724206284
2018-08-13,10081.137313453168,0,10081.137313453168,10203.807950427334,-0.012022044865027892
2018-08-14,10081.137313453168,0,10081.137313453168,10203.807950427334,-0.012022044865027892
2018-08-15,10081.137313453168,0,10081.137313453168,10203.807950427334,-0.012022044865027892
2018-08-16,10081.137313453168,0,10081.137313453168,10203.807950427334,-0.012022044865027892
2018-08-17,10081.137313453168,0,10081.137313453168,10203.807950427334,-0.012022044865027892
