Ticker,Sector,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,PnL_$,PnL_%,Exit,Signal_Drop,ATR_Pct,Drop_ATR_Ratio,Volume_Ratio,Distance_SMA50,Win,Drop_Abs,Drop_Group,ATR_Group,Volume_Group,SMA_Group,ATR_Pct_Group
AAPL,Technology,2021-12-14,2021-12-16,175.25,171.745,11.412268188302424,-39.99999999999995,-2.0000000000000018,SL,-2.0674235264256824,2.879255684484203,0.7180409636999799,1.383987009197814,14.33575761973376,False,2.0674235264256824,> -4%,0.5 - 1 ATR,1.25 - 1.5x,> 20%,> 6%
AAPL,Technology,2021-12-17,2021-12-23,169.92999267578125,176.72719238281252,11.72247446512074,79.68000000000022,4.000000000000004,TP,-3.926385066981653,3.447034105840716,1.1390618561994257,1.23723160471672,10.5804375244851,True,3.926385066981653,> -4%,1 - 1.5 ATR,1 - 1.25x,> 20%,> 6%
AAPL,Technology,2022-07-19,2022-07-21,147.9199981689453,153.83679809570313,13.574472855973514,80.31744000000008,4.000000000000004,TP,-2.0643210245224752,2.7800166773728723,0.7425570649717352,1.0506007306510536,2.5867503295935235,True,2.0643210245224752,> -4%,0.5 - 1 ATR,1 - 1.25x,> 20%,> 6%
AAPL,Technology,2022-08-23,2022-08-26,167.0800018310547,163.7384017944336,12.113954188524586,-40.47998975999994,-2.0000000000000018,SL,-2.302936596227912,1.958243481762067,1.1760215814203463,1.0227817679179396,10.376022178727172,False,2.302936596227912,> -4%,1 - 1.5 ATR,1 - 1.25x,> 20%,> 6%
AAPL,Technology,2022-08-29,2022-08-30,161.14999389648438,157.9269940185547,12.509485363945638,-40.31806980095992,-1.999999999999991,SL,-3.769925135640162,1.927812046202422,1.9555459999674245,1.2424743021064126,5.942955187197008,False,3.769925135640162,> -4%,1.5 - 2 ATR,1 - 1.25x,> 20%,> 6%
AAPL,Technology,2024-06-21,2024-06-28,210.38999938964844,210.6199951171875,9.543418802759868,2.1949455507507247,0.1093187547917207,TIME,-2.1512906597537684,2.534815169417517,0.8486972485051525,1.153798312480008,12.72051314160274,True,2.1512906597537684,> -4%,0.5 - 1 ATR,1 - 1.25x,> 20%,> 6%
AAPL,Technology,2024-07-25,2024-08-01,218.92999267578125,218.3600006103516,9.17315549437791,-5.228625846748152,-0.2603535762565889,TIME,-2.875428371474653,2.501667262493382,1.149404804781571,1.0927860582110729,4.828316455995063,False,2.875428371474653,> -4%,1 - 1.5 ATR,1 - 1.25x,> 20%,> 6%
AAPL,Technology,2024-09-04,2024-09-09,221.66000366210935,217.2268035888672,9.055459292910433,-40.14466280057233,-2.000000000000013,SL,-2.7205221517637823,1.7583807066770645,1.5471747053599922,1.1339441059672672,0.3906225293572873,False,2.7205221517637823,> -4%,1.5 - 2 ATR,1 - 1.25x,> 20%,> 6%
AAPL,Technology,2024-10-02,2024-10-07,225.88999938964844,221.37219940185545,8.85034402970612,-39.98408414937001,-2.0000000000000018,SL,-2.9141602086406926,2.1392889662953425,1.3622097129249504,1.0164696676119291,1.7540351731551107,False,2.9141602086406926,> -4%,1 - 1.5 ATR,1 - 1.25x,> 20%,> 6%
AAPL,Technology,2024-10-24,2024-10-31,229.97999572753903,225.38039581298827,8.658176483304379,-39.82414781277252,-2.0000000000000018,SL,-2.1623022514703605,1.8296684872794635,1.1818000181472714,1.302156002458026,1.88493070961131,False,2.1623022514703605,> -4%,1 - 1.5 ATR,1.25 - 1.5x,> 20%,> 6%
AAPL,Technology,2024-12-19,2024-12-24,247.5,257.40000000000003,8.013101256872993,79.3297024430429,4.000000000000004,TP,-2.1421779893107784,1.511216354440834,1.4175190620560794,1.2986147660843794,6.046149812609181,True,2.1421779893107784,> -4%,1 - 1.5 ATR,1.25 - 1.5x,> 20%,> 6%
