Ticker,Final_Capital,Strategy_Return,Buy_Hold_Return,Max_Drawdown,Trades
AAPL,10257.364846470638,0.025736484647063795,4.223131368606682,-0.026999847574769142,42
ABBV,9595.418298257257,-0.04045817017427433,2.330881846966329,-0.03844168392129932,23
ADBE,9760.13849291037,-0.02398615070896304,0.3744543676109855,-0.06393702916305488,44
AMD,10760.0,0.07600000000000007,6.81794866814662,-0.026519805221150272,77
AMT,9601.74636408616,-0.03982536359138389,0.4057992679150233,-0.040237135426435144,24
AMZN,10189.384601760394,0.018938460176039396,1.4823527588907623,-0.0447290848498717,54
AVGO,10085.831827436674,0.008583182743667317,16.470564600964693,-0.0634506105195003,63
BA,9880.0,-0.01200000000000001,-0.3944377581526337,-0.0480605232730712,39
BAC,9671.976842132766,-0.032802315786723324,1.2789053138904505,-0.054717420685417184,34
BLK,10061.913869513435,0.006191386951343469,2.09060877381939,-0.03573160205054138,36
CAT,9839.280044890564,-0.016071995510943626,3.779705024035237,-0.03824370370216612,45
COP,9489.639760679825,-0.05103602393201745,0.6150087185692685,-0.061832793025734634,45
COST,10253.576400762844,0.025357640076284493,3.1459135388182977,-0.011781438909253206,32
CRM,10082.219925066907,0.008221992506690645,0.7894568231639836,-0.017480741808023836,39
CVX,10017.205206074847,0.0017205206074846213,0.7298680750124462,-0.03555160228136367,40
DIS,9956.279108629216,-0.004372089137078317,-0.008408353626035203,-0.01855104893228743,19
DUK,9806.81397635266,-0.01931860236473404,0.9161685353123965,-0.020183024411328465,20
GE,10404.678095722164,0.04046780957221641,4.42976679569857,-0.03768368598215388,48
GOOGL,10687.262388516712,0.06872623885167117,4.489243154511289,-0.026119087744974623,50
GS,9909.263047143837,-0.009073695285616301,3.6254840359992215,-0.0281357187574095,43
HD,9951.77191684923,-0.004822808315077087,1.2260278821736366,-0.0337158005709538,28
HON,10015.579371105783,0.001557937110578278,0.6038699750344882,-0.018896213722241706,20
JNJ,10288.981384044164,0.028898138404416462,0.8128502542443865,-0.0052338998016101534,14
JPM,10058.925276014927,0.005892527601492725,2.5143069128054427,-0.020951095003371,31
KO,9981.356832354866,-0.001864316764513374,0.9096046590726614,-0.02480441863082361,16
LLY,10389.92393136472,0.03899239313647196,9.420061908757425,-0.022026459239502083,44
LOW,9933.293443222194,-0.006670655677780579,1.6839090768666871,-0.056621618241641136,35
MA,9627.894096608266,-0.0372105903391734,1.8697621054315263,-0.06541345894657158,36
MCD,9957.903554559689,-0.004209644544031055,1.2421475195988267,-0.01256154973800716,17
META,10135.988160027382,0.013598816002738268,3.16115750038622,-0.03390264181608582,48
MRK,10282.024217038464,0.028202421703846348,0.8452084036009619,-0.013459470563121245,20
MS,9585.004899975203,-0.041499510002479645,3.695182712120012,-0.05870580312079876,42
MSFT,9987.744233183796,-0.0012255766816204883,3.7112714330346748,-0.05775083431293604,45
NEE,9450.885799348032,-0.05491142006519678,1.2263583845553017,-0.05711666925090786,35
NFLX,10488.890283476481,0.04888902834764819,1.5881545442906524,-0.046409252790776234,61
NKE,9622.789057139555,-0.03772109428604453,-0.1564926596723638,-0.04164241003217817,30
NVDA,10655.865099624361,0.0655865099624362,29.065178189766133,-0.054093331408506806,108
ORCL,10048.684051744149,0.0048684051744147805,3.4505676719423173,-0.02422500099755076,37
PEP,9974.693389496313,-0.002530661050368699,0.70467808335218,-0.0293806308197887,27
PFE,9848.340683534696,-0.015165931646530462,-0.17298814923690464,-0.022165575192195974,27
PLD,9729.175688194136,-0.027082431180586397,1.471743317326848,-0.04008594520302944,36
TSLA,10692.715444711557,0.0692715444711558,25.558244941785798,-0.039540267683334185,86
UNH,10320.745920570847,0.03207459205708463,0.37802399106352613,-0.009611569200314474,25
UPS,10189.857870989912,0.018985787098991125,0.14491282381463755,-0.03101039266450889,32
V,10218.896933356375,0.021889693335637395,1.578957486549124,-0.01893179349056462,28
WMT,10062.846328543335,0.0062846328543335606,2.9661684372510666,-0.0180058811294046,20
XOM,9705.441480714488,-0.02945585192855127,1.002423099736716,-0.040323939362335026,49
