Ticker,Signal_Date,Entry_Date,exit_date,allocated_capital,pnl_pct,Score,Score_Level,Exit,exit_date_actual,pnl_dollars
UNH,2023-04-14,2023-04-17,2023-04-18,1940.6001858852637,-0.02,5,HIGH,SL,2023-04-18,-38.812003717705274
GOOGL,2023-04-17,2023-04-18,2023-04-18,1932.8377851417226,-0.02,4,HIGH,SL,2023-04-19,-38.65675570283445
NVDA,2023-04-20,2023-04-21,2023-04-25,1925.106434001156,-0.02,3,MEDIUM,SL,2023-04-25,-38.50212868002312
BLK,2023-04-21,2023-04-24,2023-04-25,1925.106434001156,-0.02,5,HIGH,SL,2023-04-25,-38.50212868002312
JNJ,2023-04-18,2023-04-19,2023-04-26,1925.106434001156,0.0038890946397796,5,HIGH,TIME,2023-04-26,7.4869211134791165
UNH,2023-04-19,2023-04-20,2023-04-27,1925.106434001156,0.0102992705274789,4,HIGH,TIME,2023-04-27,19.82719195796811
AMZN,2023-04-25,2023-04-26,2023-04-27,1911.2029667518427,0.04,5,HIGH,TP,2023-04-27,76.44811867007371
ADBE,2023-04-25,2023-04-26,2023-04-26,1911.2029667518427,-0.0200000000000001,4,HIGH,SL,2023-04-27,-38.22405933503705
META,2023-04-25,2023-04-26,2023-04-27,1911.2029667518427,0.04,4,HIGH,TP,2023-04-27,76.44811867007371
MSFT,2023-04-25,2023-04-26,2023-04-28,1897.2994995025283,0.04,4,HIGH,TP,2023-04-28,75.89197998010114
LLY,2023-04-26,2023-04-27,2023-04-27,1938.1028407444583,-0.02,5,HIGH,SL,2023-04-28,-38.76205681488916
MRK,2023-04-26,2023-04-27,2023-04-27,1938.1028407444583,-0.0200000000000001,5,HIGH,SL,2023-04-28,-38.76205681488936
LOW,2023-04-26,2023-04-27,2023-05-01,1938.1028407444583,0.04,4,HIGH,TP,2023-05-01,77.52411362977833
AMZN,2023-04-28,2023-05-01,2023-05-01,1953.2812367404786,-0.0200000000000001,4,HIGH,SL,2023-05-02,-39.06562473480977
XOM,2023-05-01,2023-05-02,2023-05-02,1945.4681117935165,-0.02,4,HIGH,SL,2023-05-03,-38.90936223587033
AMZN,2023-05-01,2023-05-02,2023-05-03,1945.4681117935165,0.04,3,MEDIUM,TP,2023-05-03,77.81872447174067
NVDA,2023-05-02,2023-05-03,2023-05-04,1953.2499842406905,-0.02,3,MEDIUM,SL,2023-05-04,-39.06499968481381
GE,2023-05-04,2023-05-05,2023-05-10,1945.436984303728,-0.02,5,HIGH,SL,2023-05-10,-38.90873968607456
NKE,2023-05-04,2023-05-05,2023-05-10,1945.436984303728,-0.02,4,HIGH,SL,2023-05-10,-38.90873968607456
PEP,2023-05-22,2023-05-23,2023-05-25,1929.8734884292983,-0.0199999999999999,4,HIGH,SL,2023-05-25,-38.597469768585775
ORCL,2023-05-23,2023-05-24,2023-05-25,1929.8734884292983,0.04,5,HIGH,TP,2023-05-25,77.19493953717193
MA,2023-05-23,2023-05-24,2023-05-31,1929.8734884292987,-0.02,4,HIGH,SL,2023-05-31,-38.597469768585974
LLY,2023-05-23,2023-05-24,2023-06-01,1929.8734884292983,0.0294575990485148,5,HIGH,TIME,2023-06-01,56.84943943650884
AVGO,2023-06-01,2023-06-02,2023-06-02,1941.2433763166002,0.04,2,LOW,TP,2023-06-03,77.64973505266401
BA,2023-06-05,2023-06-06,2023-06-06,1956.773323327133,-0.02,3,MEDIUM,SL,2023-06-07,-39.13546646654266
ADBE,2023-06-07,2023-06-08,2023-06-09,1948.9462300338246,0.04,5,HIGH,TP,2023-06-09,77.95784920135299
CRM,2023-06-07,2023-06-08,2023-06-09,1948.9462300338237,0.04,4,HIGH,TP,2023-06-09,77.95784920135294
META,2023-06-07,2023-06-08,2023-06-12,1948.9462300338246,0.04,5,HIGH,TP,2023-06-12,77.95784920135299
MSFT,2023-06-07,2023-06-08,2023-06-13,1948.9462300338246,0.04,5,HIGH,TP,2023-06-13,77.95784920135299
GOOGL,2023-06-07,2023-06-08,2023-06-15,1948.9462300338246,0.0233984835626313,5,HIGH,TIME,2023-06-15,45.602386327898685
AMD,2023-06-13,2023-06-14,2023-06-14,2011.3125093949066,-0.02,2,LOW,SL,2023-06-15,-40.22625018789813
AMD,2023-06-15,2023-06-16,2023-06-16,2012.3877366229071,-0.02,3,MEDIUM,SL,2023-06-17,-40.24775473245814
CRM,2023-06-13,2023-06-14,2023-06-20,2011.3125093949066,0.04,3,MEDIUM,TP,2023-06-20,80.45250037579626
AMD,2023-06-16,2023-06-20,2023-06-21,2020.4286857515744,-0.0200000000000001,4,HIGH,SL,2023-06-21,-40.40857371503169
NFLX,2023-06-16,2023-06-20,2023-06-22,2020.4286857515744,-0.02,3,MEDIUM,SL,2023-06-22,-40.40857371503149
BA,2023-06-20,2023-06-21,2023-06-22,2012.346971008568,-0.02,5,HIGH,SL,2023-06-22,-40.246939420171365
GS,2023-06-20,2023-06-21,2023-06-22,2012.346971008568,-0.02,5,HIGH,SL,2023-06-22,-40.246939420171365
ORCL,2023-06-20,2023-06-21,2023-06-23,2004.2652562655614,-0.02,2,LOW,SL,2023-06-23,-40.08530512531123
TSLA,2023-06-23,2023-06-26,2023-06-26,1980.149419472431,-0.02,3,MEDIUM,SL,2023-06-27,-39.60298838944862
GE,2023-06-20,2023-06-21,2023-06-28,2012.346971008568,0.0329025234390267,4,HIGH,TIME,2023-06-28,66.2112933810638
NVDA,2023-06-26,2023-06-27,2023-06-30,1972.228821794541,0.04,4,HIGH,TP,2023-06-30,78.88915287178165
META,2023-06-26,2023-06-27,2023-07-05,1972.228821794541,0.04,5,HIGH,TP,2023-07-05,78.88915287178165
GOOGL,2023-06-26,2023-06-27,2023-07-05,1972.228821794541,0.04,4,HIGH,TP,2023-07-05,78.88915287178165
HD,2023-07-06,2023-07-07,2023-07-11,2032.804572193823,0.04,4,HIGH,TP,2023-07-11,81.31218288775293
LLY,2023-07-07,2023-07-10,2023-07-11,2032.804572193823,-0.02,4,HIGH,SL,2023-07-11,-40.65609144387646
UPS,2023-07-05,2023-07-06,2023-07-12,2032.804572193823,0.04,4,HIGH,TP,2023-07-12,81.31218288775293
AMZN,2023-07-10,2023-07-11,2023-07-13,2040.9357904825983,0.04,3,MEDIUM,TP,2023-07-13,81.63743161930394
COST,2023-07-07,2023-07-10,2023-07-14,2032.804572193823,0.04,4,HIGH,TP,2023-07-14,81.31218288775293
WMT,2023-07-07,2023-07-10,2023-07-17,2032.8045721938217,0.0018761510927627,4,HIGH,TIME,2023-07-17,3.8138485194944516
PLD,2023-07-18,2023-07-19,2023-07-19,2090.550919665459,-0.02,5,HIGH,SL,2023-07-20,-41.811018393309176
NVDA,2023-07-20,2023-07-21,2023-07-21,2082.188715986797,-0.0200000000000001,5,HIGH,SL,2023-07-22,-41.64377431973615
AMZN,2023-07-20,2023-07-21,2023-07-21,2082.188715986797,-0.0200000000000001,4,HIGH,SL,2023-07-22,-41.64377431973615
MSFT,2023-07-20,2023-07-21,2023-07-21,2082.1887159867974,-0.02,3,MEDIUM,SL,2023-07-22,-41.64377431973595
META,2023-07-21,2023-07-24,2023-07-24,2057.2024513949555,-0.02,3,MEDIUM,SL,2023-07-25,-41.14404902789911
NFLX,2023-07-21,2023-07-24,2023-07-26,2057.2024513949555,-0.02,3,MEDIUM,SL,2023-07-26,-41.14404902789911
NVDA,2023-07-21,2023-07-24,2023-07-27,2057.2024513949555,0.04,4,HIGH,TP,2023-07-27,82.28809805579822
ORCL,2023-07-20,2023-07-21,2023-07-28,2082.188715986797,-0.0042921747920481,4,HIGH,TIME,2023-07-28,-8.93711791904553
MSFT,2023-07-26,2023-07-27,2023-07-27,2057.2024513949555,-0.02,4,HIGH,SL,2023-07-28,-41.14404902789911
GE,2023-07-26,2023-07-27,2023-08-01,2057.2024513949555,-0.02,4,HIGH,SL,2023-08-01,-41.14404902789911
CAT,2023-08-03,2023-08-04,2023-08-04,2038.957408199987,-0.0199999999999999,3,MEDIUM,SL,2023-08-05,-40.77914816399954
JNJ,2023-07-31,2023-08-01,2023-08-07,2038.9574081999865,0.04,5,HIGH,TP,2023-08-07,81.55829632799946
BLK,2023-08-02,2023-08-03,2023-08-08,2038.9574081999865,-0.02,4,HIGH,SL,2023-08-08,-40.77914816399973
AVGO,2023-08-02,2023-08-03,2023-08-09,2038.9574081999865,-0.02,5,HIGH,SL,2023-08-09,-40.77914816399973
DIS,2023-08-11,2023-08-14,2023-08-15,2030.8015785671867,-0.02,4,HIGH,SL,2023-08-15,-40.61603157134373
JPM,2023-08-15,2023-08-16,2023-08-18,2022.6783722529178,-0.0200000000000001,4,HIGH,SL,2023-08-18,-40.45356744505856
JNJ,2023-08-21,2023-08-22,2023-08-23,2014.5876587639061,-0.02,4,HIGH,SL,2023-08-23,-40.291753175278124
COST,2023-08-17,2023-08-18,2023-08-24,2014.5876587639061,-0.0200000000000001,4,HIGH,SL,2023-08-24,-40.29175317527832
NVDA,2023-08-22,2023-08-23,2023-08-24,2006.5293081288507,0.04,3,MEDIUM,TP,2023-08-24,80.26117232515404
ADBE,2023-08-24,2023-08-25,2023-08-29,2014.5231919588257,0.04,4,HIGH,TP,2023-08-29,80.58092767835304
NVDA,2023-08-25,2023-08-28,2023-08-28,2014.5231919588257,-0.02,3,MEDIUM,SL,2023-08-29,-40.29046383917652
BA,2023-08-31,2023-09-01,2023-09-05,2022.5812847266607,-0.02,3,MEDIUM,SL,2023-09-05,-40.45162569453321
ADBE,2023-09-12,2023-09-13,2023-09-14,2014.490959587754,-0.02,5,HIGH,SL,2023-09-14,-40.289819191755086
TSLA,2023-09-12,2023-09-13,2023-09-18,2014.490959587754,-0.02,3,MEDIUM,SL,2023-09-18,-40.289819191755086
CVX,2023-09-11,2023-09-12,2023-09-19,2014.490959587754,0.0114939749027926,5,HIGH,TIME,2023-09-19,23.15450853140423
AMZN,2023-09-15,2023-09-18,2023-09-19,1998.3750319110518,-0.0199999999999999,5,HIGH,SL,2023-09-19,-39.967500638220834
LLY,2023-09-15,2023-09-18,2023-09-18,1966.1431765576472,-0.0199999999999999,5,HIGH,SL,2023-09-19,-39.32286353115275
CAT,2023-09-13,2023-09-14,2023-09-21,2006.4329957494028,-0.02,4,HIGH,SL,2023-09-21,-40.128659914988056
V,2023-09-14,2023-09-15,2023-09-21,2006.4329957494028,-0.02,4,HIGH,SL,2023-09-21,-40.128659914988056
GOOGL,2023-09-20,2023-09-21,2023-09-26,1971.0963968174628,-0.02,4,HIGH,SL,2023-09-26,-39.421927936349256
LLY,2023-09-21,2023-09-22,2023-09-29,1971.0963968174628,-0.0200000000000001,4,HIGH,SL,2023-09-29,-39.421927936349455
COP,2023-09-29,2023-10-02,2023-10-02,1955.3276256429233,-0.02,3,MEDIUM,SL,2023-10-03,-39.106552512858464
CVX,2023-10-04,2023-10-05,2023-10-09,1947.5063151403513,0.04,4,HIGH,TP,2023-10-09,77.90025260561406
COST,2023-10-06,2023-10-09,2023-10-16,1963.086365661474,0.0310631592919845,4,HIGH,TIME,2023-10-16,60.979664480465296
NVDA,2023-10-13,2023-10-16,2023-10-17,1975.2822985575674,-0.02,5,HIGH,SL,2023-10-17,-39.505645971151345
AVGO,2023-10-13,2023-10-16,2023-10-17,1975.2822985575674,-0.02,3,MEDIUM,SL,2023-10-17,-39.505645971151345
META,2023-10-13,2023-10-16,2023-10-19,1975.2822985575674,-0.02,5,HIGH,SL,2023-10-19,-39.505645971151345
AVGO,2023-10-17,2023-10-18,2023-10-20,1959.4800401691068,-0.0200000000000001,4,HIGH,SL,2023-10-20,-39.18960080338233
AVGO,2023-10-19,2023-10-20,2023-10-20,1943.7409908142,-0.02,4,HIGH,SL,2023-10-21,-38.874819816283996
LLY,2023-10-19,2023-10-20,2023-10-23,1943.7409908142,-0.0199999999999999,4,HIGH,SL,2023-10-23,-38.874819816283804
ADBE,2023-10-20,2023-10-23,2023-10-25,1928.1910628876865,-0.0200000000000001,4,HIGH,SL,2023-10-25,-38.56382125775392
COP,2023-10-23,2023-10-24,2023-10-25,1928.1910628876865,-0.02,4,HIGH,SL,2023-10-25,-38.56382125775373
MSFT,2023-10-26,2023-10-27,2023-11-01,1912.7655343845847,0.04,5,HIGH,TP,2023-11-01,76.5106213753834
NKE,2023-10-26,2023-10-27,2023-11-02,1912.7655343845847,0.04,5,HIGH,TP,2023-11-02,76.5106213753834
NKE,2023-11-09,2023-11-10,2023-11-13,1943.3697829347382,-0.0200000000000001,4,HIGH,SL,2023-11-13,-38.86739565869496
DIS,2023-11-10,2023-11-13,2023-11-15,1935.596303802999,0.04,3,MEDIUM,TP,2023-11-15,77.42385215211996
LLY,2023-11-15,2023-11-16,2023-11-24,1951.0810742334231,0.016229967237539,4,HIGH,TIME,2023-11-24,31.665981912590855
COST,2023-11-16,2023-11-17,2023-11-27,1951.0810742334231,0.0276385660063376,4,HIGH,TIME,2023-11-27,53.92508305391654
NVDA,2023-11-22,2023-11-24,2023-11-28,1957.4142706159412,-0.0200000000000001,4,HIGH,SL,2023-11-28,-39.14828541231902
AVGO,2023-11-27,2023-11-28,2023-11-30,1960.3696301442608,-0.02,5,HIGH,SL,2023-11-30,-39.207392602885214
META,2023-11-29,2023-11-30,2023-11-30,1952.528151623684,-0.02,4,HIGH,SL,2023-12-01,-39.05056303247368
NVDA,2023-11-30,2023-12-01,2023-12-04,1944.7180390171893,-0.02,4,HIGH,SL,2023-12-04,-38.89436078034379
DIS,2023-11-28,2023-11-29,2023-12-05,1960.3696301442608,-0.02,5,HIGH,SL,2023-12-05,-39.207392602885214
NVDA,2023-12-04,2023-12-05,2023-12-06,1929.0976883405435,0.04,3,MEDIUM,TP,2023-12-06,77.16390753362174
NFLX,2023-12-04,2023-12-05,2023-12-11,1929.0976883405435,0.04,4,HIGH,TP,2023-12-11,77.16390753362174
CRM,2023-12-04,2023-12-05,2023-12-12,1929.0976883405435,0.0258411157959856,3,MEDIUM,TIME,2023-12-12,49.85003674617613
ORCL,2023-12-06,2023-12-07,2023-12-12,1944.5304698472676,-0.02,4,HIGH,SL,2023-12-12,-38.89060939694535
GS,2023-12-05,2023-12-06,2023-12-13,1944.5304698472676,0.04,4,HIGH,TP,2023-12-13,77.7812187938907
META,2023-12-11,2023-12-12,2023-12-13,1962.1551368238383,0.04,2,LOW,TP,2023-12-13,78.48620547295353
AMT,2023-12-08,2023-12-11,2023-12-14,1959.963251353992,0.04,5,HIGH,TP,2023-12-14,78.39853005415968
NFLX,2023-12-14,2023-12-15,2023-12-18,2009.0883276880393,0.04,3,MEDIUM,TP,2023-12-18,80.36353310752158
NEE,2023-12-15,2023-12-18,2023-12-20,2025.1610343095435,-0.02,3,MEDIUM,SL,2023-12-20,-40.50322068619087
MSFT,2023-12-14,2023-12-15,2023-12-22,2009.0883276880393,0.0210711399316319,4,HIGH,TIME,2023-12-22,42.333781287723
PEP,2023-12-14,2023-12-15,2023-12-22,2009.0883276880393,0.0013734415512547,4,HIGH,TIME,2023-12-22,2.759365389387572
BLK,2023-12-18,2023-12-19,2023-12-27,2025.1610343095435,0.0152046343920551,4,HIGH,TIME,2023-12-27,30.791833111712766
TSLA,2023-12-20,2023-12-21,2023-12-27,2017.0603901723055,0.04,5,HIGH,TP,2023-12-27,80.68241560689222
UPS,2023-12-20,2023-12-21,2023-12-29,2017.0603901723055,-0.0023481137484695,5,HIGH,TIME,2023-12-29,-4.736287233656845
NVDA,2024-01-02,2024-01-03,2024-01-05,2047.4266118047171,0.04,5,HIGH,TP,2024-01-05,81.89706447218869
META,2024-01-02,2024-01-03,2024-01-08,2047.4266118047171,0.04,4,HIGH,TP,2024-01-08,81.89706447218869
BA,2024-01-03,2024-01-04,2024-01-08,2047.4266118047162,-0.02,4,HIGH,SL,2024-01-08,-40.94853223609432
HON,2024-01-03,2024-01-04,2024-01-09,2047.4266118047171,-0.0199999999999999,5,HIGH,SL,2024-01-09,-40.94853223609414
AMZN,2024-01-04,2024-01-05,2024-01-09,2063.806024699155,0.04,4,HIGH,TP,2024-01-09,82.5522409879662
NFLX,2024-01-02,2024-01-03,2024-01-10,2047.4266118047171,0.04,4,HIGH,TP,2024-01-10,81.89706447218869
NEE,2024-01-11,2024-01-12,2024-01-17,2096.695885791186,-0.02,4,HIGH,SL,2024-01-17,-41.93391771582372
BAC,2024-01-16,2024-01-17,2024-01-22,2088.3091022480216,0.04,3,MEDIUM,TP,2024-01-22,83.53236408992086
CAT,2024-01-17,2024-01-18,2024-01-22,2088.3091022480216,0.04,4,HIGH,TP,2024-01-22,83.53236408992086
NFLX,2024-01-16,2024-01-17,2024-01-24,2088.3091022480216,0.04,2,LOW,TP,2024-01-24,83.53236408992086
AMD,2024-01-22,2024-01-23,2024-01-24,2121.7220478839895,0.04,1,LOW,TP,2024-01-24,84.86888191535958
PLD,2024-01-17,2024-01-18,2024-01-25,2088.309102248021,-0.0046532847539403,4,HIGH,TIME,2024-01-25,-9.717496907005472
UPS,2024-01-24,2024-01-25,2024-01-30,2153.458797703645,-0.0199999999999999,4,HIGH,SL,2024-01-30,-43.06917595407268
PLD,2024-01-24,2024-01-25,2024-02-01,2153.458797703645,0.0280580621574129,3,MEDIUM,TIME,2024-02-01,60.42188079939652
AMD,2024-01-30,2024-01-31,2024-02-02,2144.84496251283,0.04,3,MEDIUM,TP,2024-02-02,85.7937985005132
AMZN,2024-01-31,2024-02-01,2024-02-02,2156.9293386727095,0.04,5,HIGH,TP,2024-02-02,86.27717354690839
META,2024-01-31,2024-02-01,2024-02-02,2156.9293386727095,0.04,5,HIGH,TP,2024-02-02,86.27717354690839
BAC,2024-01-31,2024-02-01,2024-02-01,2156.9293386727095,-0.0199999999999999,4,HIGH,SL,2024-02-02,-43.13858677345397
META,2024-02-05,2024-02-06,2024-02-06,2199.971250436885,-0.02,1,LOW,SL,2024-02-07,-43.9994250087377
