Feature,Windows,Positive_WinRate_Windows,WinRate_Stability,Positive_AvgPnL_Windows,AvgPnL_Stability,PF_Greater_1_Windows,PF_Stability,Avg_Test_WinRate,Avg_Test_AvgPnL,Avg_Test_PF,Avg_WinRate_Delta,Avg_AvgPnL_Delta,Total_Test_Trades
Return_5D,5,4,0.8,4,0.8,5,1.0,48.1437908496732,0.6407507778818025,1.6091875993583442,3.3010947860469058,0.33200035615854906,62
ATR_Pct,4,3,0.75,3,0.75,4,1.0,60.96153846153846,0.7731383259997331,2.441797251662317,14.729596953434163,0.42290625416493227,40
Distance_SMA200,3,2,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,49.85754985754986,0.6866423233588118,1.7602659937512397,3.9725369376532194,0.21886037612603962,39
Distance_SMA50,5,3,0.6,3,0.6,4,0.8,48.39360639360639,0.9631602486035357,2.412917154933375,3.5509103299800984,0.6544098268802823,58
SPY_Volume_Ratio,5,2,0.4,2,0.4,2,0.4,48.875291375291376,0.38057853542511977,2.2076201357371223,4.032595311665078,0.07182811370186637,56
SPY_Return,5,2,0.4,2,0.4,3,0.6,48.642857142857146,1.13989776448231,3.6503371995452847,3.8001610792308456,0.8311473427590567,47
Drop_ATR_Ratio,5,2,0.4,3,0.6,4,0.8,45.58441558441558,0.30070067062691974,1.6056238627054473,0.7417195207892859,-0.008049751096333674,61
Distance_SMA20,5,2,0.4,2,0.4,4,0.8,44.83600713012478,0.3206592507737698,1.3451321281600417,-0.006688933501519045,0.011908829050516401,55
Negative_Days_5,5,2,0.4,2,0.4,4,0.8,44.57996957996958,0.446116254336917,1.5813635921114808,-0.2627264836567164,0.1373658326136636,125
SPY_Distance_SMA50,5,2,0.4,2,0.4,2,0.4,43.67224880382775,0.431694102742793,2.070740465568094,-1.1704472597985494,0.12294368101953959,64
Return_10D,5,2,0.4,2,0.4,2,0.4,42.095238095238095,0.036700366904104095,1.300167310091507,-2.7474579683882014,-0.27205005481914923,47
Return_3D,5,2,0.4,0,0.0,1,0.2,39.452287581699345,-0.2340319761680989,0.8169014013109333,-5.39040848192695,-0.5427823978913523,68
Signal_Drop,4,1,0.25,2,0.5,2,0.5,38.26121794871795,-0.018718267146643458,1.1320291957058806,-4.4200591075591085,-0.21048496802057426,47
Volume_Ratio,5,1,0.2,2,0.4,3,0.6,38.64177489177489,0.028759289425696853,1.2431405879979405,-6.200921171851406,-0.2799911322975565,58
