Window,Feature,Train_Start,Train_End,Test_Start,Test_End,Bucket,Train_Trades,Train_Avg,Test_Trades,Test_Avg,Test_Win_Rate
1,Return_10D,2018-01-01,2021-01-01,2021-01-01,2022-01-01,3,113,-0.08828174003681755,56,0.006180494695624804,41.07142857142857
1,Return_10D,2018-01-01,2021-01-01,2021-01-01,2022-01-01,4,113,0.2929860324796401,60,-0.05119313255341754,36.666666666666664
1,SPY_Return,2018-01-01,2021-01-01,2021-01-01,2022-01-01,1,117,0.07496890610097648,48,0.025012585131777298,35.41666666666667
1,SPY_Return,2018-01-01,2021-01-01,2021-01-01,2022-01-01,2,110,0.45734466572701965,71,0.4295891896254053,49.29577464788733
1,SPY_Return,2018-01-01,2021-01-01,2021-01-01,2022-01-01,3,113,-0.20240988484813205,74,-0.08702209607870613,39.189189189189186
1,SPY_Return,2018-01-01,2021-01-01,2021-01-01,2022-01-01,4,113,0.20217012829164643,66,0.03469428420442986,37.878787878787875
1,SPY_Distance_SMA50,2018-01-01,2021-01-01,2021-01-01,2022-01-01,1,114,0.13093743301691466,54,1.2057079978705951,59.25925925925925
1,SPY_Distance_SMA50,2018-01-01,2021-01-01,2021-01-01,2022-01-01,2,115,0.23791342382180727,111,-0.2734063628311833,34.234234234234236
1,SPY_Distance_SMA50,2018-01-01,2021-01-01,2021-01-01,2022-01-01,3,111,0.5619487456261901,66,0.2113297832823422,43.93939393939394
1,SPY_Distance_SMA50,2018-01-01,2021-01-01,2021-01-01,2022-01-01,4,113,-0.40363751429238637,28,-0.7555809682138638,25.0
1,SPY_Volume_Ratio,2018-01-01,2021-01-01,2021-01-01,2022-01-01,1,116,0.19740828472164632,59,-0.09889870863937474,37.28813559322034
1,SPY_Volume_Ratio,2018-01-01,2021-01-01,2021-01-01,2022-01-01,2,115,-0.20101696403987263,47,-0.37801439413061527,38.297872340425535
1,SPY_Volume_Ratio,2018-01-01,2021-01-01,2021-01-01,2022-01-01,3,114,0.3865388512789863,59,-0.010038941630013742,38.983050847457626
1,SPY_Volume_Ratio,2018-01-01,2021-01-01,2021-01-01,2022-01-01,4,108,0.14078095874049515,94,0.5504853413556389,45.744680851063826
2,Signal_Drop,2019-01-01,2022-01-01,2022-01-01,2023-01-01,1,172,-0.03782428815614,48,-0.2518322781409679,29.166666666666668
2,Signal_Drop,2019-01-01,2022-01-01,2022-01-01,2023-01-01,2,172,0.28504534639766443,34,-0.5509109914661964,26.47058823529412
2,Signal_Drop,2019-01-01,2022-01-01,2022-01-01,2023-01-01,3,172,0.0799934483027163,62,-0.48010400859946945,29.03225806451613
2,Signal_Drop,2019-01-01,2022-01-01,2022-01-01,2023-01-01,4,172,0.22614089424579759,43,0.25888169200137656,44.18604651162791
2,ATR_Pct,2019-01-01,2022-01-01,2022-01-01,2023-01-01,1,172,0.09822737315989881,25,-0.5504009222129483,32.0
2,ATR_Pct,2019-01-01,2022-01-01,2022-01-01,2023-01-01,2,172,0.08785675456939133,59,-0.3864368658963501,28.8135593220339
2,ATR_Pct,2019-01-01,2022-01-01,2022-01-01,2023-01-01,3,172,0.3737233084664779,61,-0.14405518415292043,36.0655737704918
2,ATR_Pct,2019-01-01,2022-01-01,2022-01-01,2023-01-01,4,172,-0.006452035405729745,42,-0.09776891574258435,30.952380952380953
2,Drop_ATR_Ratio,2019-01-01,2022-01-01,2022-01-01,2023-01-01,1,172,0.1088383129628769,54,0.41996250962647863,42.592592592592595
2,Drop_ATR_Ratio,2019-01-01,2022-01-01,2022-01-01,2023-01-01,2,172,-0.02077906093291648,53,-0.7831788261852571,22.641509433962266
2,Drop_ATR_Ratio,2019-01-01,2022-01-01,2022-01-01,2023-01-01,3,172,0.33177052288520126,42,-0.2576321709790086,33.33333333333333
2,Drop_ATR_Ratio,2019-01-01,2022-01-01,2022-01-01,2023-01-01,4,172,0.1335256258748766,38,-0.5211159312794186,28.947368421052634
2,Volume_Ratio,2019-01-01,2022-01-01,2022-01-01,2023-01-01,1,172,0.06480740504499159,67,-0.6190606306101026,25.37313432835821
2,Volume_Ratio,2019-01-01,2022-01-01,2022-01-01,2023-01-01,2,172,0.43279083686540015,51,-0.3606062876472655,31.372549019607842
2,Volume_Ratio,2019-01-01,2022-01-01,2022-01-01,2023-01-01,3,172,0.0463325996841208,35,-0.559190195025599,25.71428571428571
2,Volume_Ratio,2019-01-01,2022-01-01,2022-01-01,2023-01-01,4,172,0.009424559195525605,33,0.9692782093654031,54.54545454545454
2,Distance_SMA20,2019-01-01,2022-01-01,2022-01-01,2023-01-01,1,172,0.3087553462322948,66,-0.5741109172483667,30.303030303030305
2,Distance_SMA20,2019-01-01,2022-01-01,2022-01-01,2023-01-01,2,172,-0.010164630457976043,44,-0.7252141475570237,22.727272727272727
2,Distance_SMA20,2019-01-01,2022-01-01,2022-01-01,2023-01-01,3,172,0.34594867845108607,44,0.15414500300826814,36.36363636363637
2,Distance_SMA20,2019-01-01,2022-01-01,2022-01-01,2023-01-01,4,172,-0.09118399343536668,33,0.41105769881249665,42.42424242424242
2,Distance_SMA50,2019-01-01,2022-01-01,2022-01-01,2023-01-01,1,172,-0.04985061121383275,45,-0.14791525049915719,37.77777777777778
2,Distance_SMA50,2019-01-01,2022-01-01,2022-01-01,2023-01-01,2,172,0.20052202759111287,59,-0.4794643972285206,27.11864406779661
2,Distance_SMA50,2019-01-01,2022-01-01,2022-01-01,2023-01-01,3,172,0.33830085345016137,60,-0.3563200435318413,30.0
2,Distance_SMA50,2019-01-01,2022-01-01,2022-01-01,2023-01-01,4,172,0.06438313096259668,23,0.29870997752740047,39.130434782608695
2,Distance_SMA200,2019-01-01,2022-01-01,2022-01-01,2023-01-01,1,172,0.02679950522426852,106,-0.21052592534309775,32.075471698113205
2,Distance_SMA200,2019-01-01,2022-01-01,2022-01-01,2023-01-01,2,172,0.06993255310344129,36,-0.47235013663080827,33.33333333333333
2,Distance_SMA200,2019-01-01,2022-01-01,2022-01-01,2023-01-01,3,172,-0.01410330883653025,26,0.20681616031011382,38.46153846153847
2,Distance_SMA200,2019-01-01,2022-01-01,2022-01-01,2023-01-01,4,172,0.47072665129885854,19,-0.8163329474058184,21.052631578947366
2,Return_3D,2019-01-01,2022-01-01,2022-01-01,2023-01-01,1,172,0.4637130582856499,50,-0.146858891050882,34.0
2,Return_3D,2019-01-01,2022-01-01,2022-01-01,2023-01-01,2,172,-0.05747432988472069,49,-0.47190619350432955,28.57142857142857
2,Return_3D,2019-01-01,2022-01-01,2022-01-01,2023-01-01,3,172,0.20674395557188727,48,-0.2694306322525405,33.33333333333333
2,Return_3D,2019-01-01,2022-01-01,2022-01-01,2023-01-01,4,172,-0.05962728318277842,39,-0.10396001167556025,33.33333333333333
2,Return_5D,2019-01-01,2022-01-01,2022-01-01,2023-01-01,1,172,0.3543950311661464,55,-0.6344721832799003,25.454545454545453
2,Return_5D,2019-01-01,2022-01-01,2022-01-01,2023-01-01,2,172,0.12711152640984819,49,-0.44734939584642525,32.6530612244898
2,Return_5D,2019-01-01,2022-01-01,2022-01-01,2023-01-01,3,172,0.11050705608883184,42,-0.38088980579227194,28.57142857142857
2,Return_5D,2019-01-01,2022-01-01,2022-01-01,2023-01-01,4,172,-0.03865821287478823,41,0.5697561824980414,43.90243902439025
2,Return_10D,2019-01-01,2022-01-01,2022-01-01,2023-01-01,1,172,0.2665027817362748,66,-0.32274439889391066,33.33333333333333
2,Return_10D,2019-01-01,2022-01-01,2022-01-01,2023-01-01,2,172,0.13276658578733797,37,-0.9198652102111121,21.62162162162162
2,Return_10D,2019-01-01,2022-01-01,2022-01-01,2023-01-01,3,172,-0.03216881392540169,49,0.34517854421938327,40.816326530612244
2,Return_10D,2019-01-01,2022-01-01,2022-01-01,2023-01-01,4,172,0.18625484719182706,35,-0.3151732685618738,28.57142857142857
2,SPY_Return,2019-01-01,2022-01-01,2022-01-01,2023-01-01,1,176,0.22869214384221895,77,-1.1547931647406748,18.181818181818183
2,SPY_Return,2019-01-01,2022-01-01,2022-01-01,2023-01-01,2,170,0.30445234260786846,64,0.29414662814275794,40.625
2,SPY_Return,2019-01-01,2022-01-01,2022-01-01,2023-01-01,3,170,-0.09302720634533025,28,0.3315533288302622,39.285714285714285
2,SPY_Return,2019-01-01,2022-01-01,2022-01-01,2023-01-01,4,172,0.11037813055246823,18,0.6309298577179477,50.0
2,SPY_Distance_SMA50,2019-01-01,2022-01-01,2022-01-01,2023-01-01,1,172,0.35648541826914715,95,-0.34461468319526284,29.47368421052631
2,SPY_Distance_SMA50,2019-01-01,2022-01-01,2022-01-01,2023-01-01,2,172,0.14474525522039566,32,-1.074232880641907,25.0
2,SPY_Distance_SMA50,2019-01-01,2022-01-01,2022-01-01,2023-01-01,3,172,0.304783346226913,20,0.237122799326664,40.0
2,SPY_Distance_SMA50,2019-01-01,2022-01-01,2022-01-01,2023-01-01,4,172,-0.25265861892641767,40,0.32294830649581646,40.0
2,SPY_Volume_Ratio,2019-01-01,2022-01-01,2022-01-01,2023-01-01,1,172,0.09921126289527836,45,0.8205092521128085,48.888888888888886
2,SPY_Volume_Ratio,2019-01-01,2022-01-01,2022-01-01,2023-01-01,2,175,-0.10799024292648192,54,0.093948825086132,37.03703703703704
2,SPY_Volume_Ratio,2019-01-01,2022-01-01,2022-01-01,2023-01-01,3,170,0.23342583334031775,77,-0.9293527320799898,22.07792207792208
2,SPY_Volume_Ratio,2019-01-01,2022-01-01,2022-01-01,2023-01-01,4,171,0.33525551205952636,11,-1.808131942481214,9.090909090909092
3,Signal_Drop,2020-01-01,2023-01-01,2023-01-01,2024-01-01,1,177,-0.2604909154152084,35,1.2332495759458597,57.14285714285714
3,Signal_Drop,2020-01-01,2023-01-01,2023-01-01,2024-01-01,2,177,-0.027499939848301125,43,-0.1887887364434844,32.55813953488372
3,Signal_Drop,2020-01-01,2023-01-01,2023-01-01,2024-01-01,3,177,0.04692767797002497,36,0.22739789150899017,41.66666666666667
3,Signal_Drop,2020-01-01,2023-01-01,2023-01-01,2024-01-01,4,177,0.11189474165289967,51,0.22857472639443988,41.17647058823529
