Strategy,Final,Return,CAGR,DD,Sharpe,Trades,WinRate,PF,Expectancy,SPY
BASE,12678.315431891644,0.26783154318916447,0.030254962993175427,-0.2595419740620005,0.3581413130426001,1304,0.3941717791411043,1.0799995610724922,2.053922877217512,1.8691672648494841
SCORE5,11831.36112978003,0.18313611297800314,0.02134693571025359,-0.07879917312923401,0.49597606488689505,330,0.4636363636363636,1.2281762814235304,5.549579181151589,1.8691672648494841
SCORE5_SMA50_5,12003.822972794984,0.2003822972794984,0.02320506511029108,-0.045101362012909485,0.7811467119197111,162,0.5061728395061729,1.587889241212416,12.369277609845605,1.8691672648494841
