Strategy,Initial_Capital,Final_Capital,Total_Return,CAGR,Max_Drawdown,Sharpe,Trades,Win_Rate,Avg_PnL,Median_PnL_Pct,Profit_Factor,Expectancy,SPY_BuyHold
BASE,10000.0,12373.981082806016,0.2373981082806016,0.027115663036319182,-0.2705870027867362,0.3271863389904255,1300,0.3930769230769231,1.8261392944661607,-0.019999999999999938,1.0720653735519827,1.8261392944661607,1.8691674503939892
SCORE4,10000.0,11725.75482474965,0.17257548247496501,0.020197392691592597,-0.15634325441621544,0.2995088661880558,929,0.40904198062432723,1.857647819967345,-0.019999999999999914,1.0726539819880392,1.857647819967345,1.8691674503939892
SCORE5,10000.0,11785.524829345584,0.1785524829345584,0.020849106111708204,-0.08236765060560403,0.48477114286523154,331,0.4622356495468278,5.3943348318597675,-0.010295750240022548,1.2219403528398243,5.3943348318597675,1.8691674503939892
