Date,Cash,Open_Positions,Equity,Peak,Drawdown
2018-01-02,10000.0,0,10000.0,10000.0,0.0
2018-01-03,10000.0,0,10000.0,10000.0,0.0
2018-01-04,10000.0,0,10000.0,10000.0,0.0
2018-01-05,10000.0,0,10000.0,10000.0,0.0
2018-01-08,10000.0,0,10000.0,10000.0,0.0
2018-01-09,10000.0,0,10000.0,10000.0,0.0
2018-01-10,10000.0,0,10000.0,10000.0,0.0
2018-01-11,10000.0,0,10000.0,10000.0,0.0
2018-01-12,10000.0,0,10000.0,10000.0,0.0
2018-01-16,10000.0,0,10000.0,10000.0,0.0
2018-01-17,10000.0,0,10000.0,10000.0,0.0
2018-01-18,10000.0,0,10000.0,10000.0,0.0
2018-01-19,10000.0,0,10000.0,10000.0,0.0
2018-01-22,10000.0,0,10000.0,10000.0,0.0
2018-01-23,10000.0,0,10000.0,10000.0,0.0
2018-01-24,10000.0,0,10000.0,10000.0,0.0
2018-01-25,10000.0,0,10000.0,10000.0,0.0
2018-01-26,10000.0,0,10000.0,10000.0,0.0
2018-01-29,10000.0,0,10000.0,10000.0,0.0
2018-01-30,10000.0,0,10000.0,10000.0,0.0
2018-01-31,10000.0,0,10000.0,10000.0,0.0
2018-02-01,10000.0,0,10000.0,10000.0,0.0
2018-02-02,10000.0,0,10000.0,10000.0,0.0
2018-02-05,10000.0,0,10000.0,10000.0,0.0
2018-02-06,10000.0,0,10000.0,10000.0,0.0
2018-02-07,10000.0,0,10000.0,10000.0,0.0
2018-02-08,10000.0,0,10000.0,10000.0,0.0
2018-02-09,10000.0,0,10000.0,10000.0,0.0
2018-02-12,10000.0,0,10000.0,10000.0,0.0
2018-02-13,10000.0,0,10000.0,10000.0,0.0
2018-02-14,10000.0,0,10000.0,10000.0,0.0
2018-02-15,10000.0,0,10000.0,10000.0,0.0
2018-02-16,10000.0,0,10000.0,10000.0,0.0
2018-02-20,10000.0,0,10000.0,10000.0,0.0
2018-02-21,10000.0,0,10000.0,10000.0,0.0
2018-02-22,10000.0,0,10000.0,10000.0,0.0
2018-02-23,10000.0,0,10000.0,10000.0,0.0
2018-02-26,10000.0,0,10000.0,10000.0,0.0
2018-02-27,10000.0,0,10000.0,10000.0,0.0
2018-02-28,10000.0,0,10000.0,10000.0,0.0
2018-03-01,10000.0,0,10000.0,10000.0,0.0
2018-03-02,10000.0,0,10000.0,10000.0,0.0
2018-03-05,10000.0,0,10000.0,10000.0,0.0
2018-03-06,10000.0,0,10000.0,10000.0,0.0
2018-03-07,10000.0,0,10000.0,10000.0,0.0
2018-03-08,10000.0,0,10000.0,10000.0,0.0
2018-03-09,10000.0,0,10000.0,10000.0,0.0
2018-03-12,10000.0,0,10000.0,10000.0,0.0
2018-03-13,10000.0,0,10000.0,10000.0,0.0
2018-03-14,10000.0,0,10000.0,10000.0,0.0
2018-03-15,10000.0,0,10000.0,10000.0,0.0
2018-03-16,8000.0,1,9979.458607164339,10000.0,-0.0020541392835661254
2018-03-19,9960.0,0,9960.0,10000.0,-0.0040000000000000036
2018-03-20,10039.68,0,10039.68,10039.68,0.0
2018-03-21,10039.68,0,10039.68,10039.68,0.0
2018-03-22,9999.52128,0,9999.52128,10039.68,-0.0039999999999998925
2018-03-23,9999.52128,0,9999.52128,10039.68,-0.0039999999999998925
2018-03-26,9999.52128,0,9999.52128,10039.68,-0.0039999999999998925
2018-03-27,9999.52128,0,9999.52128,10039.68,-0.0039999999999998925
2018-03-28,9959.523194880001,0,9959.523194880001,10039.68,-0.00798399999999988
2018-03-29,9959.523194880001,0,9959.523194880001,10039.68,-0.00798399999999988
2018-04-02,9959.523194880001,0,9959.523194880001,10039.68,-0.00798399999999988
2018-04-03,9959.523194880001,0,9959.523194880001,10039.68,-0.00798399999999988
2018-04-04,9959.523194880001,0,9959.523194880001,10039.68,-0.00798399999999988
2018-04-05,9959.523194880001,0,9959.523194880001,10039.68,-0.00798399999999988
2018-04-06,9959.523194880001,0,9959.523194880001,10039.68,-0.00798399999999988
2018-04-09,9959.523194880001,0,9959.523194880001,10039.68,-0.00798399999999988
2018-04-10,9959.523194880001,0,9959.523194880001,10039.68,-0.00798399999999988
2018-04-11,9959.523194880001,0,9959.523194880001,10039.68,-0.00798399999999988
2018-04-12,9959.523194880001,0,9959.523194880001,10039.68,-0.00798399999999988
2018-04-13,9959.523194880001,0,9959.523194880001,10039.68,-0.00798399999999988
2018-04-16,9959.523194880001,0,9959.523194880001,10039.68,-0.00798399999999988
2018-04-17,9959.523194880001,0,9959.523194880001,10039.68,-0.00798399999999988
2018-04-18,9959.523194880001,0,9959.523194880001,10039.68,-0.00798399999999988
2018-04-19,9959.523194880001,0,9959.523194880001,10039.68,-0.00798399999999988
2018-04-20,9919.68510210048,0,9919.68510210048,10039.68,-0.01195206400000004
2018-04-23,9919.68510210048,0,9919.68510210048,10039.68,-0.01195206400000004
2018-04-24,9919.68510210048,0,9919.68510210048,10039.68,-0.01195206400000004
2018-04-25,9800.794133285766,0,9800.794133285766,10039.68,-0.02379417139931095
2018-04-26,9800.794133285766,0,9800.794133285766,10039.68,-0.02379417139931095
2018-04-27,9800.794133285766,0,9800.794133285766,10039.68,-0.02379417139931095
2018-04-30,7840.635306628613,1,9796.768557931651,10039.68,-0.02419513789964911
2018-05-01,7774.959957955604,1,9720.391573492408,10039.68,-0.031802649736604294
2018-05-02,3889.889531616302,3,9696.913636678368,10039.68,-0.03414116419264679
2018-05-03,3889.889531616302,3,9671.719665851364,10039.68,-0.036650603818910166
2018-05-04,5793.211176834312,2,9721.439016088643,10039.68,-0.031698319459520286
2018-05-07,5793.211176834312,2,9728.255030490847,10039.68,-0.031019411924399276
2018-05-08,7742.230667139431,1,9716.530538063718,10039.68,-0.032187227275797814
2018-05-09,7768.143393677166,1,9705.936309971845,10039.68,-0.03324246290998867
2018-05-10,7768.143393677166,1,9718.914753209005,10039.68,-0.031949748078723195
2018-05-11,7768.143393677166,1,9712.67515824341,10039.68,-0.032571241489429026
2018-05-14,7768.143393677166,1,9710.678412859286,10039.68,-0.032770126850727666
2018-05-15,7768.143393677166,1,9688.216031687,10039.68,-0.03500748712239843
2018-05-16,7738.18798251296,1,9687.263266034053,10039.68,-0.03510238712448477
2018-05-17,7738.18798251296,1,9700.732427980583,10039.68,-0.033760794369882
2018-05-18,5800.846272682487,2,9700.540141479545,10039.68,-0.03377994702226117
2018-05-21,5800.846272682487,2,9678.004457098727,10039.68,-0.03602460864303181
2018-05-22,5800.846272682487,2,9651.51099752168,10039.68,-0.038663483545124944
2018-05-23,5816.897049532474,2,9770.084036368407,10039.68,-0.026853043486604444
2018-05-24,5816.897049532474,2,9778.913559075412,10039.68,-0.02597358092335489
2018-05-25,7744.346972786463,1,9733.856610539246,10039.68,-0.03046146784167969
2018-05-29,5805.984719376134,2,9696.45310714409,10039.68,-0.03418703513019439
2018-05-30,5805.984719376134,2,9788.344128740646,10039.68,-0.025034251217106007
2018-05-31,7751.680700777618,1,9741.26236859001,10039.68,-0.02972381902709942
2018-06-01,1909.731753305778,4,9747.199372519191,10039.68,-0.02913246512645906
2018-06-04,1909.731753305778,4,9765.586300216199,10039.68,-0.027301039453827336
2018-06-05,3874.1835357605,3,9780.533645665688,10039.68,-0.025812212573937843
2018-06-06,3874.1835357605,3,9859.908005906014,10039.68,-0.01790614781486921
2018-06-07,5899.9454187446445,2,9859.658402041074,10039.68,-0.017931009549998267
2018-06-08,7895.52281499305,1,9904.185958535882,10039.68,-0.01349585260328201
2018-06-11,5915.021464004609,2,9925.317996314185,10039.68,-0.01139100087710121
2018-06-12,5915.021464004609,2,9942.640573950266,10039.68,-0.009665589545656217
2018-06-13,7967.857395902802,1,9992.291642004599,10039.68,-0.004720106417276382
2018-06-14,8021.624235565347,1,9997.117464051691,10039.68,-0.004239431530517868
2018-06-15,9987.459709623472,0,9987.459709623472,10039.68,-0.005201389922440569
2018-06-18,7989.967767698778,1,10028.682085106917,10039.68,-0.0010954447644828669
2018-06-19,5990.530318376724,2,10006.095560772095,10039.68,-0.003345170287091359
2018-06-20,5990.530318376724,2,9999.265274712665,10039.68,-0.004025499347323325
2018-06-21,5990.530318376724,2,10007.153596733406,10039.68,-0.0032397848603336055
2018-06-22,7948.0724214629245,1,10002.09674586797,10039.68,-0.003743471319009206
2018-06-25,3917.8828977902785,3,9975.588883048502,10039.68,-0.006383780852726173
2018-06-26,4114.883363873768,3,10089.636261977592,10089.636261977592,0.0
2018-06-27,4114.883363873768,3,9988.88651444365,10089.636261977592,-0.009985468744162174
2018-06-28,6043.639483706685,2,10001.397791408863,10089.636261977592,-0.008745456057841494
2018-06-29,6043.639483706685,2,10018.611634921765,10089.636261977592,-0.007039364473770071
2018-07-02,8126.5199089084745,1,10082.451934135574,10089.636261977592,-0.0007120502320874245
2018-07-03,10059.831314929163,0,10059.831314929163,10089.636261977592,-0.0029540160095511414
2018-07-05,10059.831314929163,0,10059.831314929163,10089.636261977592,-0.0029540160095511414
2018-07-06,10059.831314929163,0,10059.831314929163,10089.636261977592,-0.0029540160095511414
2018-07-09,10059.831314929163,0,10059.831314929163,10089.636261977592,-0.0029540160095511414
2018-07-10,4006.6693373910393,3,10155.560374504503,10155.560374504503,0.0
2018-07-11,4006.6693373910393,3,10187.78337310706,10187.78337310706,0.0
2018-07-12,4006.6693373910393,3,10196.833378441748,10196.833378441748,0.0
2018-07-13,4006.6693373910393,3,10205.06704858189,10205.06704858189,0.0
2018-07-16,4006.6693373910393,3,10188.036090315252,10205.06704858189,-0.0016688727458193942
2018-07-17,10199.264723304956,0,10199.264723304956,10205.06704858189,-0.0005685729696152109
2018-07-18,8159.411778643965,1,10234.276316590805,10234.276316590805,0.0
2018-07-19,8159.411778643965,1,10214.04933269163,10234.276316590805,-0.001976396109843792
2018-07-20,8159.411778643965,1,10212.180568406402,10234.276316590805,-0.002158994686178639
2018-07-23,8159.411778643965,1,10212.506020981496,10234.276316590805,-0.002127194433280799
2018-07-24,8159.411778643965,1,10220.79166065802,10234.276316590805,-0.001317597406562565
2018-07-25,10188.808162725489,0,10188.808162725489,10234.276316590805,-0.0044427326817049195
2018-07-26,10188.808162725489,0,10188.808162725489,10234.276316590805,-0.0044427326817049195
2018-07-27,10107.634612990394,0,10107.634612990394,10234.276316590805,-0.012374270508517804
2018-07-30,6013.100819322759,2,9954.107593363955,10234.276316590805,-0.027375528523953196
2018-07-31,3999.2648344728505,3,9919.369425161403,10234.276316590805,-0.030769825016245256
2018-08-01,5932.033198767941,2,9920.431177757044,10234.276316590805,-0.03066608025083184
2018-08-02,5932.033198767941,2,9954.231959733284,10234.276316590805,-0.027363376578326326
2018-08-03,5932.033198767941,2,9976.053093008019,10234.276316590805,-0.025231214752740372
2018-08-06,5932.033198767941,2,9976.139916375845,10234.276316590805,-0.02522273116629603
2018-08-07,9998.408090086186,0,9998.408090086186,10234.276316590805,-0.023046888632687446
2018-08-08,7998.726472068949,1,9980.422850076446,10234.276316590805,-0.024804242006133626
2018-08-09,4004.7052016586763,3,9973.568277460441,10234.276316590805,-0.02547400823131285
