Date,Cash,Open_Positions,Equity,Peak,Drawdown
2018-01-02,10000.0,0,10000.0,10000.0,0.0
2018-01-03,10000.0,0,10000.0,10000.0,0.0
2018-01-04,10000.0,0,10000.0,10000.0,0.0
2018-01-05,10000.0,0,10000.0,10000.0,0.0
2018-01-08,10000.0,0,10000.0,10000.0,0.0
2018-01-09,10000.0,0,10000.0,10000.0,0.0
2018-01-10,10000.0,0,10000.0,10000.0,0.0
2018-01-11,10000.0,0,10000.0,10000.0,0.0
2018-01-12,10000.0,0,10000.0,10000.0,0.0
2018-01-16,10000.0,0,10000.0,10000.0,0.0
2018-01-17,10000.0,0,10000.0,10000.0,0.0
2018-01-18,10000.0,0,10000.0,10000.0,0.0
2018-01-19,10000.0,0,10000.0,10000.0,0.0
2018-01-22,10000.0,0,10000.0,10000.0,0.0
2018-01-23,10000.0,0,10000.0,10000.0,0.0
2018-01-24,10000.0,0,10000.0,10000.0,0.0
2018-01-25,10000.0,0,10000.0,10000.0,0.0
2018-01-26,10000.0,0,10000.0,10000.0,0.0
2018-01-29,10000.0,0,10000.0,10000.0,0.0
2018-01-30,10000.0,0,10000.0,10000.0,0.0
2018-01-31,10000.0,0,10000.0,10000.0,0.0
2018-02-01,10000.0,0,10000.0,10000.0,0.0
2018-02-02,10000.0,0,10000.0,10000.0,0.0
2018-02-05,10000.0,0,10000.0,10000.0,0.0
2018-02-06,10000.0,0,10000.0,10000.0,0.0
2018-02-07,10000.0,0,10000.0,10000.0,0.0
2018-02-08,10000.0,0,10000.0,10000.0,0.0
2018-02-09,10000.0,0,10000.0,10000.0,0.0
2018-02-12,10000.0,0,10000.0,10000.0,0.0
2018-02-13,10000.0,0,10000.0,10000.0,0.0
2018-02-14,10000.0,0,10000.0,10000.0,0.0
2018-02-15,10000.0,0,10000.0,10000.0,0.0
2018-02-16,10000.0,0,10000.0,10000.0,0.0
2018-02-20,10000.0,0,10000.0,10000.0,0.0
2018-02-21,10000.0,0,10000.0,10000.0,0.0
2018-02-22,10000.0,0,10000.0,10000.0,0.0
2018-02-23,10000.0,0,10000.0,10000.0,0.0
2018-02-26,10000.0,0,10000.0,10000.0,0.0
2018-02-27,10000.0,0,10000.0,10000.0,0.0
2018-02-28,10000.0,0,10000.0,10000.0,0.0
2018-03-01,10000.0,0,10000.0,10000.0,0.0
2018-03-02,10000.0,0,10000.0,10000.0,0.0
2018-03-05,10000.0,0,10000.0,10000.0,0.0
2018-03-06,10000.0,0,10000.0,10000.0,0.0
2018-03-07,10000.0,0,10000.0,10000.0,0.0
2018-03-08,10000.0,0,10000.0,10000.0,0.0
2018-03-09,10000.0,0,10000.0,10000.0,0.0
2018-03-12,10000.0,0,10000.0,10000.0,0.0
2018-03-13,10000.0,0,10000.0,10000.0,0.0
2018-03-14,10000.0,0,10000.0,10000.0,0.0
2018-03-15,10000.0,0,10000.0,10000.0,0.0
2018-03-16,8000.0,1,9979.458607164339,10000.0,-0.0020541392835661254
2018-03-19,9960.0,0,9960.0,10000.0,-0.0040000000000000036
2018-03-20,10039.68,0,10039.68,10039.68,0.0
2018-03-21,10039.68,0,10039.68,10039.68,0.0
2018-03-22,9999.52128,0,9999.52128,10039.68,-0.0039999999999998925
2018-03-23,9880.220031611783,0,9880.220031611783,10039.68,-0.0158829732011595
2018-03-26,9920.008103733302,0,9920.008103733302,10039.68,-0.011919891497208845
2018-03-27,9920.008103733302,0,9920.008103733302,10039.68,-0.011919891497208845
2018-03-28,9880.328071318369,0,9880.328071318369,10039.68,-0.015872211931220126
2018-03-29,9880.328071318369,0,9880.328071318369,10039.68,-0.015872211931220126
2018-04-02,9880.328071318369,0,9880.328071318369,10039.68,-0.015872211931220126
2018-04-03,7904.262457054695,1,9930.624167968075,10039.68,-0.010862480879064385
2018-04-04,7904.262457054695,1,9914.7595133734,10039.68,-0.0124426761238009
2018-04-05,9959.370695888916,0,9959.370695888916,10039.68,-0.00799918962666979
2018-04-06,9959.370695888916,0,9959.370695888916,10039.68,-0.00799918962666979
2018-04-09,7967.496556711133,1,9924.12919996408,10039.68,-0.011509410662084885
2018-04-10,9919.53321310536,0,9919.53321310536,10039.68,-0.011967192868163168
2018-04-11,9919.53321310536,0,9919.53321310536,10039.68,-0.011967192868163168
2018-04-12,9919.53321310536,0,9919.53321310536,10039.68,-0.011967192868163168
2018-04-13,9919.53321310536,0,9919.53321310536,10039.68,-0.011967192868163168
2018-04-16,9919.53321310536,0,9919.53321310536,10039.68,-0.011967192868163168
2018-04-17,9919.53321310536,0,9919.53321310536,10039.68,-0.011967192868163168
2018-04-18,9919.53321310536,0,9919.53321310536,10039.68,-0.011967192868163168
2018-04-19,9919.53321310536,0,9919.53321310536,10039.68,-0.011967192868163168
2018-04-20,9879.855080252939,0,9879.855080252939,10039.68,-0.0159193240966905
2018-04-23,9879.855080252939,0,9879.855080252939,10039.68,-0.0159193240966905
2018-04-24,9879.855080252939,0,9879.855080252939,10039.68,-0.0159193240966905
2018-04-25,9761.441488475564,0,9761.441488475564,10039.68,-0.027713882466815276
2018-04-26,9761.441488475564,0,9761.441488475564,10039.68,-0.027713882466815276
2018-04-27,9761.441488475564,0,9761.441488475564,10039.68,-0.027713882466815276
2018-04-30,7809.153190780451,1,9757.432076815423,10039.68,-0.028113238986160693
2018-05-01,5804.454014336296,2,9718.603766015085,10039.68,-0.031980723886111395
2018-05-02,1932.4861761110399,4,9664.210325948789,10039.68,-0.03739856987983803
2018-05-03,1932.4861761110399,4,9650.749755754408,10039.68,-0.038739306854958744
2018-05-04,3829.3887769285243,3,9722.972171345496,10039.68,-0.031545609885424986
2018-05-07,3829.3887769285243,3,9751.814037780263,10039.68,-0.028672822462442737
2018-05-08,7763.963804281937,1,9731.604568092373,10039.68,-0.030685782007755957
2018-05-09,7780.219577318974,1,9721.024943555813,10039.68,-0.0317395630582038
2018-05-10,7780.219577318974,1,9734.023697819737,10039.68,-0.030444825151823895
2018-05-11,7780.219577318974,1,9727.774268358065,10039.68,-0.031067298125232568
2018-05-14,5835.064693571056,2,9720.381048066643,10039.68,-0.0318036981191987
2018-05-15,7741.316479644016,1,9664.374152945455,10039.68,-0.03738225192979716
2018-05-16,7719.095066901216,1,9663.355679163049,10039.68,-0.03748369677489238
2018-05-17,7719.095066901216,1,9676.790498323584,10039.68,-0.036145524725530676
2018-05-18,5786.534783388137,2,9676.598873044532,10039.68,-0.036164611517047196
2018-05-21,5786.534783388137,2,9654.11895817064,10039.68,-0.03840371822900335
2018-05-22,5786.534783388137,2,9627.69157531808,10039.68,-0.041036011574265285
2018-05-23,5802.541013705741,2,9745.971917111448,10039.68,-0.029254725537920745
2018-05-24,5802.541013705741,2,9754.779530390411,10039.68,-0.028377445258174427
2018-05-25,7725.2340425814,1,9709.83366180519,10039.68,-0.032854268083724714
2018-05-29,5791.655625722054,2,9672.522468427193,10039.68,-0.03657064085437067
2018-05-30,3838.8181418408667,3,9768.330500109487,10039.68,-0.02702770405934385
2018-05-31,5779.71258431195,2,9708.936379045394,10039.68,-0.03294364172509545
2018-06-01,1897.431889703867,4,9709.676997515959,10039.68,-0.032869872593951355
2018-06-04,3811.2126239074305,3,9658.649197268363,10039.68,-0.03795248481342406
2018-06-05,5770.8170570964,2,9675.387185168709,10039.68,-0.03628530140714559
2018-06-06,5770.8170570964,2,9734.378439484592,10039.68,-0.030409491190496962
2018-06-07,5770.8170570964,2,9718.511477955128,10039.68,-0.031989916216938474
2018-06-08,7782.580204232036,1,9762.510144808199,10039.68,-0.02760743920043285
2018-06-11,5830.409211908583,2,9783.339896395544,10039.68,-0.02553269662025648
2018-06-12,5830.409211908583,2,9800.413958006056,10039.68,-0.023832038669951983
2018-06-13,7853.880065008912,1,9849.355504395027,10039.68,-0.01895722728263982
2018-06-14,7906.877899796944,1,9854.112300277977,10039.68,-0.018483427730965896
2018-06-15,9844.592697080736,0,9844.592697080736,10039.68,-0.01943162560153955
2018-06-18,7875.674157664589,1,9885.225401335814,10039.68,-0.01538441450964434
2018-06-19,5904.837940633412,2,9862.961969093403,10039.68,-0.01760195851925528
2018-06-20,5865.413020868618,2,9816.805021433558,10039.68,-0.022199410595401647
2018-06-21,5865.413020868618,2,9824.580321792462,10039.68,-0.02142495360484975
2018-06-22,7794.953189496443,1,9819.59562477651,10039.68,-0.021921453196067087
2018-06-25,1923.89661166015,4,9789.870537256966,10039.68,-0.02488221365053811
2018-06-26,4047.884212561614,3,9908.839160687778,10039.68,-0.013032371481184968
2018-06-27,4047.884212561614,3,9804.12661781208,10039.68,-0.02346224005027253
2018-06-28,4008.3000771373513,3,9856.44972064142,10039.68,-0.018250609517293404
2018-06-29,4008.3000771373513,3,9905.185972595458,10039.68,-0.013396246434601689
2018-07-02,7992.361523783961,1,9963.896327585984,10039.68,-0.0075484151301651314
2018-07-03,9901.330879088226,0,9901.330879088226,10039.68,-0.01378023213008528
2018-07-05,9901.330879088226,0,9901.330879088226,10039.68,-0.01378023213008528
2018-07-06,9901.330879088226,0,9901.330879088226,10039.68,-0.01378023213008528
2018-07-09,9901.330879088226,0,9901.330879088226,10039.68,-0.01378023213008528
2018-07-10,3943.5411579647553,3,9995.551653167482,10039.68,-0.0043953937608088856
2018-07-11,3943.5411579647553,3,10027.269122850428,10039.68,-0.0012361825426280282
2018-07-12,3943.5411579647553,3,10036.175316968709,10039.68,-0.0003490831412247264
2018-07-13,3943.5411579647553,3,10044.280297470938,10044.280297470938,0.0
2018-07-16,3943.5411579647553,3,10027.517347934014,10044.280297470938,-0.0016689049927394173
2018-07-17,10038.567940566649,0,10038.567940566649,10044.280297470938,-0.0005687173928954348
2018-07-18,8030.854352453319,1,10073.027900911084,10073.027900911084,0.0
2018-07-19,8030.854352453319,1,10053.119609114034,10073.027900911084,-0.0019763959747644
2018-07-20,8030.854352453319,1,10051.28042826074,10073.027900911084,-0.002158980682300804
2018-07-23,8030.854352453319,1,10051.600194773215,10073.027900911084,-0.0021272358568500405
2018-07-24,8030.854352453319,1,10059.7558459548,10073.027900911084,-0.001317583460191063
2018-07-25,10028.275991940001,0,10028.275991940001,10073.027900911084,-0.004442746452338775
2018-07-26,10028.275991940001,0,10028.275991940001,10073.027900911084,-0.004442746452338775
2018-07-27,9948.381391218492,0,9948.381391218492,10073.027900911084,-0.012374284169441974
2018-07-30,5918.359990733083,2,9797.273302770387,10073.027900911084,-0.02737554197737857
2018-07-31,3897.156584389772,3,9723.984844474377,10073.027900911084,-0.03465125480344766
2018-08-01,5799.47276073604,2,9725.030241396074,10073.027900911084,-0.034547473007945695
2018-08-02,5799.47276073604,2,9758.299529204387,10073.027900911084,-0.03124466394838732
2018-08-03,5799.47276073604,2,9779.77593663181,10073.027900911084,-0.02911259327026683
2018-08-06,5799.47276073604,2,9779.861166155079,10073.027900911084,-0.029104132108031644
2018-08-07,9801.777795145112,0,9801.777795145112,10073.027900911084,-0.026928358427502963
2018-08-08,7841.422236116089,1,9784.146255746093,10073.027900911084,-0.0286787297728881
2018-08-09,3886.8385267430826,3,9738.316275592377,10073.027900911084,-0.03322850175848646
