Ticker,Signal_Date,Entry_Date,exit_date,allocated_capital,pnl_pct,Score,Score_Level,Exit,exit_date_actual,pnl_dollars
AMT,2018-10-26,2018-10-29,2018-10-30,2000.0,0.04,5,HIGH,TP,2018-10-30,80.0
DUK,2018-10-26,2018-10-29,2018-11-05,2000.0,0.0181507922724326,5,HIGH,TIME,2018-11-05,36.3015845448652
AMT,2018-11-20,2018-11-21,2018-11-29,2023.260316908973,0.013326849446648,5,HIGH,TIME,2018-11-29,26.963685634823204
KO,2018-11-20,2018-11-21,2018-11-29,2023.260316908973,0.0027891384250613,5,HIGH,TIME,2018-11-29,5.643153093792519
MRK,2018-12-14,2018-12-17,2018-12-18,2029.7816846546966,-0.02,5,HIGH,SL,2018-12-18,-40.59563369309393
COP,2019-02-07,2019-02-08,2019-02-08,2021.6625579160777,-0.02,5,HIGH,SL,2019-02-09,-40.43325115832155
ORCL,2019-02-07,2019-02-08,2019-02-15,2021.6625579160777,0.0325413679634969,5,HIGH,TIME,2019-02-15,65.78766519517146
CAT,2019-02-26,2019-02-27,2019-03-06,2026.7334407234478,-0.02,5,HIGH,SL,2019-03-06,-40.53466881446896
MCD,2019-03-04,2019-03-05,2019-03-12,2026.7334407234478,0.0068105602919279,5,HIGH,TIME,2019-03-12,13.80319029371352
MS,2019-03-20,2019-03-21,2019-03-22,2021.387145019297,-0.02,5,HIGH,SL,2019-03-22,-40.42774290038594
MA,2019-03-22,2019-03-25,2019-04-01,2013.3015964392198,0.04,5,HIGH,TP,2019-04-01,80.53206385756879
MSFT,2019-03-22,2019-03-25,2019-04-01,2013.3015964392198,0.0211048646598326,5,HIGH,TIME,2019-04-01,42.49045771227464
AMT,2019-04-01,2019-04-02,2019-04-09,2037.9061007531884,0.0192746713977212,5,HIGH,TIME,2019-04-09,39.27997043142902
GS,2019-04-15,2019-04-16,2019-04-17,2045.7620948394742,0.04,5,HIGH,TP,2019-04-17,81.83048379357898
LOW,2019-04-18,2019-04-22,2019-04-29,2062.1281915981904,-0.0200000000000001,5,HIGH,SL,2019-04-29,-41.24256383196401
MSFT,2019-05-01,2019-05-02,2019-05-07,2053.8796788317973,-0.02,5,HIGH,SL,2019-05-07,-41.07759357663595
ADBE,2019-05-07,2019-05-08,2019-05-13,2045.6641601164702,-0.0199999999999999,5,HIGH,SL,2019-05-13,-40.9132832023292
MSFT,2019-05-07,2019-05-08,2019-05-15,2045.6641601164702,0.0083421501184379,5,HIGH,TIME,2019-05-15,17.06523751559978
AMT,2019-05-20,2019-05-21,2019-05-29,2040.8945509791245,0.0082716611987105,5,HIGH,TIME,2019-05-29,16.881588267993713
MA,2019-05-23,2019-05-24,2019-06-03,2040.8945509791245,-0.02,5,HIGH,SL,2019-06-03,-40.81789101958249
UNH,2019-05-28,2019-05-29,2019-06-04,2044.2708686327232,-0.02,5,HIGH,SL,2019-06-04,-40.885417372654466
