Ticker,Signal_Date,Entry_Date,Signal_Close,Signal_Drop,Score,Distance_SMA20,Distance_SMA50,Distance_SMA200,Return_3D,Return_5D,Return_10D,ATR_Pct,Drop_ATR_Ratio,Volume_Ratio,Negative_Days_5,SPY_Return,SPY_Distance_SMA50,SPY_Volume_Ratio
ABBV,2018-03-15,2018-03-16,80.32243347167969,-0.033714642616050616,4,-0.019105151288785316,0.030640554649176366,,-0.028487191246805987,-0.01777645504620029,0.009574637021853016,0.028769040022112363,1.17190711230326,1.0293646253756692,3.0,-0.001089827700273549,0.001947735139643747,0.801885473189126
NVDA,2018-03-19,2018-03-20,5.954687118530273,-0.03784713677505991,4,-0.011270892079504491,0.020523445033522325,,-0.03111681660262855,-0.035073711920002526,0.022703357336674834,0.03213692454634416,1.1776838421635878,1.1964653772450111,2.0,-0.013530190515280038,-0.010882306379688456,1.0818859804652377
CRM,2018-03-21,2018-03-22,119.63032531738281,-0.02733382834506659,4,-0.007037314743612022,0.05329289564169537,,-0.03389699763640286,-0.049144458469936314,-0.02896372398893754,0.021111633270154393,1.2947282664154904,1.994993674804188,4.0,-0.0019197046443102384,-0.010828818489337477,0.7982451701155205
AMZN,2018-03-22,2018-03-23,77.24600219726562,-0.023352257063312565,3,-0.0022110480659538467,0.0657103701154147,,-6.419846293126419e-06,-0.02363611887182626,-0.004472054330907582,0.01862831949807598,1.2535890350025667,1.2371464949701654,4.0,-0.024997119321542582,-0.03486509259966741,1.480206038738514
CRM,2018-03-22,2018-03-23,116.03258514404297,-0.030073814175418545,3,-0.03887565343177202,0.020046683172109336,,-0.055528876263887916,-0.07215844454052467,-0.06584359688060559,0.021506011381772445,1.3983910657142027,1.414801507243905,4.0,-0.024997119321542582,-0.03486509259966741,1.480206038738514
MA,2018-03-22,2018-03-23,167.2986602783203,-0.0289349286050401,3,-0.018926250397277466,0.018098544775356773,,-0.028021039050219687,-0.030008546191901853,-0.020808899888578147,0.0190169605673092,1.5215327655871689,1.208218185923995,3.0,-0.024997119321542582,-0.03486509259966741,1.480206038738514
AMZN,2018-03-23,2018-03-26,74.77799987792969,-0.03194990354365934,3,-0.03395179770058043,0.028238959089070592,,-0.05732709636068878,-0.04843224795881851,-0.05277763120331325,0.019686356830085287,1.6229464811301464,1.513876571597134,4.0,-0.021314528319923642,-0.05439973247764929,1.7470280453825142
ADBE,2018-03-23,2018-03-26,215.02000427246094,-0.02494104794776142,2,-0.009430247555641036,0.04933261160897384,,-0.06411314788917977,-0.04668587291874482,-0.027542835335714444,0.026914461012843796,0.9266783360758869,1.2412711388284299,4.0,-0.021314528319923642,-0.05439973247764929,1.7470280453825142
AMZN,2018-03-27,2018-03-28,74.85250091552734,-0.037799009933227934,4,-0.03358174131886438,0.022639829995664273,,-0.03098543890499239,-0.056387914922953475,-0.057380093725236114,0.025066437727925005,1.5079529984876288,1.2887202000944502,4.0,-0.017011801476503607,-0.043223781316893195,1.188081442407129
COP,2018-04-02,2018-04-03,44.09115982055664,-0.020239471092560968,3,0.04080627560214323,0.0350182805903676,,-0.017754506973776896,0.006061664818311607,0.05752797799566345,0.02706391556530071,0.7478397219990767,1.0185234862397943,2.0,-0.021584723485222557,-0.051096721201077555,1.6982129347341446
NKE,2018-04-06,2018-04-09,59.57939910888672,-0.029314868931501814,3,0.018830465897141213,0.017113542482832367,,0.012743408623670849,0.016706438631764575,0.04858710740712202,0.028666629453978354,1.0226130343842532,1.0728775887657653,2.0,-0.02228596945172745,-0.03745671793870797,1.515413288605079
AAPL,2018-04-19,2018-04-20,40.52304458618164,-0.028339921364383236,5,0.008659434803182098,0.0025932602249656433,,-0.017176623604678087,-0.007695102151271338,0.0,0.02063907400635416,1.3731198093314754,1.0927644943835746,2.0,-0.005547406298644697,0.004008241030206472,0.6837311167747354
ADBE,2018-04-24,2018-04-25,217.88999938964844,-0.032889496501280924,4,-0.01873673371365525,0.007260557144006086,,-0.042746665215108615,-0.05740614320052506,-0.029572883025645313,0.0271401719009043,1.2118381792631556,1.1222424034485505,4.0,-0.013467415214303502,-0.01897478576518863,1.0877106583947
MSFT,2018-04-24,2018-04-25,85.50466918945312,-0.023387595445523934,4,0.005762210177943761,0.003564394245627156,,-0.03110998838864054,-0.03070667205890032,0.0025840949074740216,0.023479688666258755,0.9960777494947298,1.050961502166774,3.0,-0.013467415214303502,-0.01897478576518863,1.0877106583947
