Candidate,Windows,Positive_WR,Positive_PnL,Avg_WR_Delta,Avg_PnL_Delta,Avg_Test_WR,Avg_Test_PnL,Avg_PF,Test_Trades,Total_PnL
SMA50 >= 5%,5,5,5,6.168798189247267,0.4772875946827,51.01149425287356,0.7860380164059534,1.8437484319606834,119,88.20230990389962
SMA50 >= 7.5%,4,4,4,8.877948601785812,0.8872305763242394,55.10989010989012,1.23746264815904,2.508519192635683,62,70.5556811970092
SMA50 >= 5% + ATR <= 2.5%,5,4,4,5.699261978331745,0.35453854212791036,50.54195804195804,0.6632889638511636,1.7635152940360588,86,54.94116456917402
SMA50 >= 5% + ATR <= 3%,5,4,4,6.296905075974843,0.35383114826886375,51.13960113960114,0.6625815699921171,1.7305648300313716,105,63.101330591879275
ATR <= 2.5%,5,4,2,-0.5188865398167735,-0.14813290798714865,44.32380952380952,0.16061751373610472,1.1639935041526503,170,32.86436995696175
SMA50 >= 7.5% + ATR <= 3%,3,3,2,12.15970551955864,0.9590562922291864,59.63562753036437,1.2687923106339223,2.8633890620868683,42,41.52606272335318
SMA50 >= 10%,2,2,2,12.916666666666664,0.978106021274767,55.0,1.2914362895636535,2.3496683812463726,20,25.828725791273072
ATR <= 2.0%,4,2,2,0.0033526095427607316,-0.15303891480632015,46.23529411764706,0.19719315702848067,1.2630677961916914,76,4.233539610069702
ATR <= 3.0%,5,2,1,-0.12226876811868123,-0.10173481015215342,44.72042729550761,0.20701561157109993,1.1631911621190059,208,36.494834482029006
SMA50 >= 7.5% + ATR <= 2.5%,1,1,1,8.977272727272727,0.38801139718668437,56.25,0.3855938428275708,1.4286977770212863,16,6.169501485241133
