Group,Horizon,Result,N,Mean,Median,Win_Rate,Expectancy,Sum_Gains,Sum_Losses,Profit_Factor,Min,Max,Std
TRAIN,1,GROSS,4924,-0.0004487545647253754,0.0,0.49756295694557273,-0.0004487545647253754,24.442986031753726,-26.652653508461476,0.9170939030139629,-0.1075723243582577,0.10214299964213236,0.01477132919425817
TRAIN,1,NET,4924,-0.0004487545647253754,0.0,0.49756295694557273,-0.0004487545647253754,24.442986031753726,-26.652653508461476,0.9170939030139629,-0.1075723243582577,0.10214299964213236,0.01477132919425817
TRAIN,3,GROSS,4924,-0.0002758855052072654,0.00013753134394989264,0.5016246953696182,-0.0002758855052072654,50.6746367587589,-52.03309698639947,0.9738923818431248,-0.23471684313004515,0.38603119891788973,0.030999497534365074
TRAIN,3,NET,4924,-0.0002758855052072654,0.00013753134394989264,0.5016246953696182,-0.0002758855052072654,50.6746367587589,-52.03309698639947,0.9738923818431248,-0.23471684313004515,0.38603119891788973,0.030999497534365074
TRAIN,5,GROSS,4924,0.0010399995278593634,0.0017983505693853763,0.5300568643379366,0.0010399995278593634,69.20914108471077,-64.08818340953125,1.0799048654953436,-0.342394572327278,0.26841018018497675,0.03952614743422835
TRAIN,5,NET,4924,0.0010399995278593634,0.0017983505693853763,0.5300568643379366,0.0010399995278593634,69.20914108471077,-64.08818340953125,1.0799048654953436,-0.342394572327278,0.26841018018497675,0.03952614743422835
OOS,1,GROSS,2888,0.00011578916698963002,0.00011828680272407688,0.502770083102493,0.00011578916698963002,15.051439183636266,-14.717040069370213,1.0227219001028622,-0.09402411780781983,0.09524103871371858,0.01478184295716569
OOS,1,NET,2888,0.00011578916698963002,0.00011828680272407688,0.502770083102493,0.00011578916698963002,15.051439183636266,-14.717040069370213,1.0227219001028622,-0.09402411780781983,0.09524103871371858,0.01478184295716569
OOS,3,GROSS,2888,0.0018247227105778598,0.0017626022041554723,0.5328947368421053,0.0018247227105778598,31.84725420183741,-26.57745501368855,1.1982808054960372,-0.15515022866899375,0.3817499039420691,0.02973570751503135
OOS,3,NET,2888,0.0018247227105778598,0.0017626022041554723,0.5328947368421053,0.0018247227105778598,31.84725420183741,-26.57745501368855,1.1982808054960372,-0.15515022866899375,0.3817499039420691,0.02973570751503135
OOS,5,GROSS,2888,0.0038749263090952345,0.0029128950415021615,0.5491689750692521,0.0038749263090952345,45.04857195572027,-33.85778477505323,1.3305233125857816,-0.2289105506191661,0.36448329847329863,0.03944672772956717
OOS,5,NET,2888,0.0038749263090952345,0.0029128950415021615,0.5491689750692521,0.0038749263090952345,45.04857195572027,-33.85778477505323,1.3305233125857816,-0.2289105506191661,0.36448329847329863,0.03944672772956717
