Group,Horizon,Result,N,Mean,Median,Win_Rate,Expectancy,Sum_Gains,Sum_Losses,Profit_Factor,Min,Max,Std,Year
BREAKOUT_A,1,GROSS,750,-0.0010968929264006256,-4.290184548616516e-05,0.49733333333333335,-0.0010968929264006256,2.9861458491363915,-3.8088155439368605,0.7840090481383242,-0.09550319082675596,0.07689733362735374,0.013236650898354223,2018
BREAKOUT_A,1,NET,750,-0.0010968929264006256,-4.290184548616516e-05,0.49733333333333335,-0.0010968929264006256,2.9861458491363915,-3.8088155439368605,0.7840090481383242,-0.09550319082675596,0.07689733362735374,0.013236650898354223,2018
BREAKOUT_A,3,GROSS,750,-0.0032849283087787408,-0.0024194990314568288,0.45066666666666666,-0.0032849283087787408,5.891951392174745,-8.3556476237588,0.7051459871789377,-0.18927313925462808,0.19207171270631695,0.028462793233189992,2018
BREAKOUT_A,3,NET,750,-0.0032849283087787408,-0.0024194990314568288,0.45066666666666666,-0.0032849283087787408,5.891951392174745,-8.3556476237588,0.7051459871789377,-0.18927313925462808,0.19207171270631695,0.028462793233189992,2018
BREAKOUT_A,5,GROSS,750,-0.0034542241999303393,-0.0018778125260207057,0.46,-0.0034542241999303393,7.772804390469153,-10.363472540416907,0.7500192971183831,-0.19998145348382368,0.23520702114946723,0.03540598718162881,2018
BREAKOUT_A,5,NET,750,-0.0034542241999303393,-0.0018778125260207057,0.46,-0.0034542241999303393,7.772804390469153,-10.363472540416907,0.7500192971183831,-0.19998145348382368,0.23520702114946723,0.03540598718162881,2018
BREAKOUT_A,1,GROSS,1162,-0.00027462950085404626,0.0,0.49569707401032703,-0.00027462950085404626,4.576181512090998,-4.895300992083399,0.9348110605438816,-0.04457004943292475,0.10214299964213236,0.011248621518925106,2019
BREAKOUT_A,1,NET,1162,-0.00027462950085404626,0.0,0.49569707401032703,-0.00027462950085404626,4.576181512090998,-4.895300992083399,0.9348110605438816,-0.04457004943292475,0.10214299964213236,0.011248621518925106,2019
BREAKOUT_A,3,GROSS,1162,0.0009503909222085149,0.0008402709098651595,0.5189328743545611,0.0009503909222085149,9.507091306786954,-8.402737055180658,1.1314279197782837,-0.09611967342338323,0.1363189222128398,0.021842264070864866,2019
BREAKOUT_A,3,NET,1162,0.0009503909222085149,0.0008402709098651595,0.5189328743545611,0.0009503909222085149,9.507091306786954,-8.402737055180658,1.1314279197782837,-0.09611967342338323,0.1363189222128398,0.021842264070864866,2019
BREAKOUT_A,5,GROSS,1162,0.0021797266916749863,0.0028223034727891116,0.5593803786574871,0.0021797266916749863,13.00604369145751,-10.473201275731176,1.2418403264716695,-0.12653303929469062,0.2062008167807634,0.028502383149219893,2019
BREAKOUT_A,5,NET,1162,0.0021797266916749863,0.0028223034727891116,0.5593803786574871,0.0021797266916749863,13.00604369145751,-10.473201275731176,1.2418403264716695,-0.12653303929469062,0.2062008167807634,0.028502383149219893,2019
BREAKOUT_A,1,GROSS,1041,-0.002113295291199833,-0.0011255736699689045,0.4668587896253602,-0.002113295291199833,6.0093221432335655,-8.209262541372592,0.7320172930209154,-0.1075723243582577,0.08080647748780612,0.019288023547751883,2020
BREAKOUT_A,1,NET,1041,-0.002113295291199833,-0.0011255736699689045,0.4668587896253602,-0.002113295291199833,6.0093221432335655,-8.209262541372592,0.7320172930209154,-0.1075723243582577,0.08080647748780612,0.019288023547751883,2020
BREAKOUT_A,3,GROSS,1041,-0.0027616150304636566,-0.0014188737212643687,0.473583093179635,-0.0027616150304636566,13.176580065238491,-16.05142131195116,0.8208980257360642,-0.23471684313004515,0.38603119891788973,0.04264797208591989,2020
BREAKOUT_A,3,NET,1041,-0.0027616150304636566,-0.0014188737212643687,0.473583093179635,-0.0027616150304636566,13.176580065238491,-16.05142131195116,0.8208980257360642,-0.23471684313004515,0.38603119891788973,0.04264797208591989,2020
BREAKOUT_A,5,GROSS,1041,-0.0013606069865720089,0.0015428815569196175,0.5177713736791547,-0.0013606069865720089,18.454371512583307,-19.870763385604768,0.928719805800337,-0.342394572327278,0.26841018018497675,0.053763715072642826,2020
BREAKOUT_A,5,NET,1041,-0.0013606069865720089,0.0015428815569196175,0.5177713736791547,-0.0013606069865720089,18.454371512583307,-19.870763385604768,0.928719805800337,-0.342394572327278,0.26841018018497675,0.053763715072642826,2020
BREAKOUT_A,1,GROSS,1133,0.00021814501724829735,-0.00026621372076285343,0.48984995586937335,0.00021814501724829735,5.860227523531792,-5.613069218989471,1.044032648609813,-0.04991566385712498,0.07819849933377143,0.013803195201423667,2021
BREAKOUT_A,1,NET,1133,0.00021814501724829735,-0.00026621372076285343,0.48984995586937335,0.00021814501724829735,5.860227523531792,-5.613069218989471,1.044032648609813,-0.04991566385712498,0.07819849933377143,0.013803195201423667,2021
BREAKOUT_A,3,GROSS,1133,0.0020140160622821738,0.0016414326845246574,0.5322153574580759,0.0020140160622821738,12.030951191720188,-9.749070993154485,1.234061296729501,-0.16653099018976691,0.1540934092618904,0.02717539073777438,2021
BREAKOUT_A,3,NET,1133,0.0020140160622821738,0.0016414326845246574,0.5322153574580759,0.0020140160622821738,12.030951191720188,-9.749070993154485,1.234061296729501,-0.16653099018976691,0.1540934092618904,0.02717539073777438,2021
BREAKOUT_A,5,GROSS,1133,0.004574411471953192,0.0031145826801151077,0.5533980582524272,0.004574411471953192,16.88881983179391,-11.706011634070942,1.442747569346176,-0.14833415851160636,0.2297576557394172,0.035583441192612614,2021
BREAKOUT_A,5,NET,1133,0.004574411471953192,0.0031145826801151077,0.5533980582524272,0.004574411471953192,16.88881983179391,-11.706011634070942,1.442747569346176,-0.14833415851160636,0.2297576557394172,0.035583441192612614,2021
BREAKOUT_A,1,GROSS,838,0.001055971111792158,0.0011560026532642098,0.548926014319809,0.001055971111792158,5.011109003760979,-4.126205212079151,1.2144594721298252,-0.09017347494347083,0.06879567792338714,0.014979185531467473,2022
BREAKOUT_A,1,NET,838,0.001055971111792158,0.0011560026532642098,0.548926014319809,0.001055971111792158,5.011109003760979,-4.126205212079151,1.2144594721298252,-0.09017347494347083,0.06879567792338714,0.014979185531467473,2022
BREAKOUT_A,3,GROSS,838,0.000708642960004953,0.0013877275569490477,0.5167064439140812,0.000708642960004953,10.068062802838522,-9.474220002354372,1.0626798618077877,-0.12069244443777527,0.1528738883872407,0.03131631270857778,2022
