Train_Start,Train_End,Test_Year,Train_N,Test_N,Test_Mean_Net_1D,Test_Win_Rate_Net_1D,Test_Mean_Net_3D,Test_Win_Rate_Net_3D,Test_Mean_Net_5D,Test_Win_Rate_Net_5D
2018,2020,2021,2953,1133,0.00024951857555110824,0.4902654867256637,0.0022229562754594633,0.535650623885918,0.0051141489476937505,0.5571557155715572
2019,2021,2022,3336,838,0.001055971111792158,0.548926014319809,0.000708642960004953,0.5167064439140812,0.0016961624429916416,0.5364396654719236
2020,2022,2023,3012,1058,0.0009455036497896895,0.5241248817407758,0.002314890587518416,0.5400763358778626,0.006082290135184421,0.5632183908045977
2021,2023,2024,3029,989,-0.0008267333267941418,0.46511627906976744,0.0019600819244607807,0.5146612740141557,0.0032192525322072394,0.541033434650456
2022,2024,2025,2885,841,0.00017347957963022507,0.5196195005945303,0.0013423426823178884,0.549346016646849,0.0023239620364654155,0.544589774078478
