ticker,cik,fiscal_quarter,fiscal_period_end,sec_filing_date,sec_acceptance_utc,accession_number,filing_url,primary_document,item_2_02_confirmed,filter_decision,filter_reason,filter_evidence,ambiguous,note
TSLA,0001318605,,,2019-01-02,2019-01-02T13:38:32.000Z,0001564590-19-000013,https://www.sec.gov/Archives/edgar/data/1318605/000156459019000013/tsla-8k_20190102.htm,tsla-8k_20190102.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,,,2019-01-18,2019-01-18T11:04:43.000Z,0001564590-19-000740,https://www.sec.gov/Archives/edgar/data/1318605/000156459019000740/tsla-8k_20190118.htm,tsla-8k_20190118.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q1,,2019-04-04,2019-04-04T00:22:00.000Z,0001564590-19-010743,https://www.sec.gov/Archives/edgar/data/1318605/000156459019010743/tsla-8k_20190403.htm,tsla-8k_20190403.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q2,,2019-07-02,2019-07-02T20:22:57.000Z,0001564590-19-024414,https://www.sec.gov/Archives/edgar/data/1318605/000156459019024414/tsla-8k_20190702.htm,tsla-8k_20190702.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q3,,2019-10-02,2019-10-02T21:26:27.000Z,0001564590-19-036274,https://www.sec.gov/Archives/edgar/data/1318605/000156459019036274/tsla-8k_20190926.htm,tsla-8k_20190926.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q4,,2020-01-03,2020-01-03T13:21:52.000Z,0001564590-20-000161,https://www.sec.gov/Archives/edgar/data/1318605/000156459020000161/tsla-8k_20200103.htm,tsla-8k_20200103.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q1,,2020-04-02,2020-04-02T20:09:37.000Z,0001564590-20-014992,https://www.sec.gov/Archives/edgar/data/1318605/000156459020014992/tsla-8k_20200402.htm,tsla-8k_20200402.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q2,,2020-07-02,2020-07-02T12:01:54.000Z,0001564590-20-031568,https://www.sec.gov/Archives/edgar/data/1318605/000156459020031568/tsla-8k_20200702.htm,tsla-8k_20200702.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q3,,2020-10-02,2020-10-02T12:00:56.000Z,0001564590-20-045592,https://www.sec.gov/Archives/edgar/data/1318605/000156459020045592/tsla-8k_20201002.htm,tsla-8k_20201002.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,,,2021-01-04,2021-01-04T11:05:26.000Z,0001564590-21-000008,https://www.sec.gov/Archives/edgar/data/1318605/000156459021000008/tsla-8k_20210102.htm,tsla-8k_20210102.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
