Hold_Days,Trades,Win_Rate,PnL,Final_Equity,Return,Avg_Trade,Median_Trade,Profit_Factor,Max_Drawdown
1,2027,0.45239269856931424,-6938.252515815897,3061.747484184103,-0.6938252515815897,-0.003210164106138429,-0.0031755430693372016,0.7327055966683519,-0.7239046180262516
3,880,0.46136363636363636,-6071.827416673146,3928.172583326854,-0.6071827416673146,-0.005976771269022353,-0.004872709160070609,0.7442739022559532,-0.6533225166254036
5,643,0.4525660964230171,-6015.317022494911,3984.682977505089,-0.601531702249491,-0.008211202128331865,-0.005019569313879886,0.7549311675250515,-0.6958630217516338
