Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Margin,PnL,Return,Hold_Days
PFE,2022-01-05,2022-01-07,55.8120801525116,55.74786122131347,26.87590206100746,1500.0,0.22680467619610778,0.00015120311746407184,3
ADBE,2022-01-05,2022-01-07,534.7325000000001,510.9553622131348,2.8051408882011097,1500.0,65.23157052103265,0.04348771368068843,3
AMD,2022-01-06,2022-01-10,136.12190744018557,132.066,11.086031398900792,1509.0517399601645,43.47734745158879,0.02881103828337688,3
NVDA,2022-01-06,2022-01-10,27.62617938995362,27.41369961833954,54.62397527574652,1509.0517399601645,10.103241296179295,0.006695092705334277,3
CRM,2022-01-06,2022-01-10,227.92597328948975,229.7448198852539,6.620797613282587,1509.0517399601645,-13.55728804772264,-0.008983978275046104,3
TSLA,2022-01-10,2022-01-12,333.16667683410645,368.92436022949215,4.558781317178982,1518.8340218579322,-164.6117987598476,-0.10838037362271107,3
ADBE,2022-01-10,2022-01-12,499.75,532.636180114746,3.039187637534632,1518.8340218579322,-101.51607970835653,-0.06683816549235298,3
AMD,2022-01-11,2022-01-13,133.38327194976807,132.80637549591063,11.169157706649678,1489.778799835902,4.956890397441605,0.0033272660330430285,3
TSLA,2022-01-14,2022-01-19,339.7900114593506,332.0492729644775,4.343101498720082,1475.7425080192193,32.159879856743444,0.02179233821753179,3
NVDA,2022-01-14,2022-01-19,26.286849237442016,25.079532935142517,56.13995403896585,1475.7425080192193,66.3368285544297,0.04495149268517633,3
NFLX,2022-01-18,2022-01-20,51.98199542045594,50.85041326332092,28.15277406505455,1463.4373725227963,30.40966802174945,0.020779616943447814,3
AMD,2022-01-19,2022-01-21,133.48322805023193,118.86940255737305,11.08778796381675,1480.0337293467678,160.63598217489482,0.10853535226240661,3
CRM,2022-01-19,2022-01-21,227.35626622009278,218.7393198852539,6.509755609348447,1480.0337293467678,54.642228116694454,0.03691958300221409,3
TSLA,2022-01-20,2022-01-24,336.4083718261719,310.155,4.462930891012071,1501.3673146180977,115.72420029368872,0.07707920584585622,3
NVDA,2022-01-20,2022-01-24,25.291348854064942,23.38368574047088,59.362880298762356,1501.3673146180977,111.7996319365618,0.07446520971118932,3
GS,2022-01-21,2022-01-25,345.36723854064945,341.72076278686524,4.43281160337052,1530.9479024270252,14.641274200373303,0.009563535230142294,3
NFLX,2022-01-24,2022-01-26,38.37180334091187,35.98798622131348,40.631292507646926,1559.0959655904935,95.34690349088363,0.06115524996228943,3
AMD,2022-01-24,2022-01-26,115.34230152511597,110.76535408401489,13.517122035673944,1559.0959655904935,60.338994725194546,0.03870127051630314,3
TSLA,2022-01-25,2022-01-27,304.5809707336425,276.50485203552245,5.112553928187973,1557.18663837559,142.05525463543916,0.09122558024491328,3
NVDA,2022-01-25,2022-01-27,22.53472652721405,21.954972244262695,69.10164347879059,1557.18663837559,38.5248181143138,0.02474001328093961,3
CRM,2022-01-26,2022-01-28,219.50019561004643,222.2410698852539,7.209157564345644,1582.4114955575149,-21.35168570684678,-0.013493131064068868,3
