Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Margin,PnL,Return,Hold_Days
PFE,2022-01-05,2022-01-05,55.8120801525116,55.65781606864929,26.87590206100746,1500.0,2.648059402619154,0.001765372935079436,1
ADBE,2022-01-05,2022-01-05,534.7325000000001,514.6872076721191,2.8051408882011097,1500.0,54.75798405944524,0.036505322706296826,1
AMD,2022-01-06,2022-01-06,136.12190744018557,136.29811072540284,11.08113994936577,1508.3859065193099,-3.4618954361814014,-0.0022950992986734615,1
NVDA,2022-01-06,2022-01-06,27.62617938995362,28.19208849620819,54.599873736715146,1508.3859065193099,-32.42240093735008,-0.021494765230316095,1
ADBE,2022-01-06,2022-01-06,509.745,514.3770551147461,2.9590989740346836,1508.3859065193099,-15.221948799005446,-0.01009154801381763,1
PFE,2022-01-06,2022-01-06,55.13241984748841,54.86742015266418,27.359327065489314,1508.3859065193099,5.745452523093024,0.0038090070308008893,1
CRM,2022-01-06,2022-01-06,227.92597328948975,229.26456889343262,6.617876342699665,1508.3859065193099,-10.371475416384538,-0.00687587663843753,1
TSLA,2022-01-07,2022-01-07,359.94325987243656,342.4911673278808,4.165824419454048,1499.4604215944905,71.23924404773409,0.047509919582925685,1
AMD,2022-01-07,2022-01-07,136.21185877990723,132.066,11.008295716875407,1499.4604215944905,44.16219844775337,0.02945206009558581,1
NVDA,2022-01-07,2022-01-07,28.126930247306824,27.26062324047088,53.31048957033145,1499.4604215944905,44.70688185636439,0.02981531303695509,1
PFE,2022-01-07,2022-01-07,55.33232061004639,55.74786122131347,27.09917829331455,1499.4604215944905,-12.765899938990511,-0.008513662484946123,1
ADBE,2022-01-07,2022-01-07,513.403143157959,510.9553622131348,2.9206296096499567,1499.4604215944905,5.6531756145487595,0.0037701399337618444,1
TSLA,2022-01-10,2022-01-10,333.16667683410645,352.883018371582,4.567826165575007,1521.847463940504,-91.62769863861688,-0.060208201419455154,1
AMD,2022-01-10,2022-01-10,129.01546183013917,132.066,11.79585332139614,1521.847463940504,-37.52354011734056,-0.02465657104699655,1
NVDA,2022-01-10,2022-01-10,26.567708874702454,27.41369961833954,57.28184809302823,1521.847463940504,-50.00599068570055,-0.032858740360364735,1
ADBE,2022-01-10,2022-01-10,499.75,526.0929320983886,3.0452175366493326,1521.847463940504,-81.78191623611242,-0.05373857641708411,1
TSLA,2022-01-11,2022-01-11,351.0477159729004,354.9773877868652,4.222360580645625,1482.250037849656,-18.083037645690023,-0.012199721493631141,1
AMD,2022-01-11,2022-01-11,133.38327194976807,137.37865255737304,11.112713132482378,1482.250037849656,-45.90396834452054,-0.030969112614167838,1
TSLA,2022-01-14,2022-01-14,339.7900114593506,350.0449301147461,4.333351775473234,1472.4296494454472,-45.93281869711846,-0.03119525521264658,1
NVDA,2022-01-14,2022-01-14,26.286849237442016,26.955470435142516,56.01392681737501,1472.4296494454472,-38.94325453540512,-0.0264482955434048,1
NVDA,2022-01-18,2022-01-18,26.2468702287674,25.91595137786865,55.605767898890996,1459.477374013152,16.95071994083854,0.011614239619370617,1
NFLX,2022-01-18,2022-01-18,51.98199542045594,51.105541831970214,28.076593870785093,1459.477374013152,23.160657992217974,0.015869144945037883,1
TSLA,2022-01-19,2022-01-19,347.0630454864502,332.0492729644775,4.221927912386209,1465.2751590970088,61.95348365427711,0.04228112601899058,1
AMD,2022-01-19,2022-01-19,133.48322805023193,128.33413927459716,10.977222985239777,1465.2751590970088,55.08568184967156,0.03759408702705278,1
NVDA,2022-01-19,2022-01-19,26.065960972785952,25.079532935142517,56.214123876991245,1465.2751590970088,54.01363833868035,0.036862454129070764,1
CRM,2022-01-19,2022-01-19,227.35626622009278,226.3831392745971,6.444841760721676,1465.2751590970088,4.809509842305384,0.0032823253792613905,1
ADBE,2022-01-19,2022-01-19,516.2217404785157,516.8383070983887,2.838460770247221,1465.2751590970088,-3.21625037193174,-0.002194980479921456,1
TSLA,2022-01-20,2022-01-20,336.4083718261719,332.2560413360595,4.4309913642087615,1490.6225904092978,16.917517422890892,0.011349296281794341,1
NVDA,2022-01-20,2022-01-20,25.291348854064942,24.162074618339542,58.93804237213382,1490.6225904092978,65.09986877091087,0.04367293853572663,1
AMD,2022-01-20,2022-01-20,125.97698091506959,121.95094438934325,11.832499712104045,1490.6225904092978,46.17127247918378,0.03097448863062379,1
GS,2022-01-20,2022-01-20,348.72554389953615,348.27405610656734,4.274486387606665,1490.6225904092978,0.44022077401904525,0.0002953267828164127,1
MS,2022-01-20,2022-01-20,96.55169847488403,99.87991683197019,15.438595218467887,1490.6225904092978,-52.899330112143566,-0.035488077567386374,1
TSLA,2022-01-21,2022-01-21,331.9472856140137,314.7906479644775,4.523076718524427,1501.4230393381238,76.13816567559913,0.050710668266528876,1
NVDA,2022-01-21,2022-01-21,23.495246469497687,23.38568754959106,63.90326831801153,1501.4230393381238,5.503250602614203,0.0036653564374769525,1
AMD,2022-01-21,2022-01-21,120.07992938995362,118.86940255737305,12.503530331553801,1501.4230393381238,13.642003858476944,0.009086049368531593,1
CRM,2022-01-21,2022-01-21,222.94846755981445,218.7393198852539,6.734394973741229,1501.4230393381238,26.85881293542861,0.01788890421401076,1
GS,2022-01-21,2022-01-21,345.36723854064945,344.0819586639404,4.34732328892107,1501.4230393381238,4.088897865031212,0.0027233482888565047,1
TSLA,2022-01-24,2022-01-24,301.4358765869141,310.155,5.041850666706345,1519.7946753389444,-45.50229312779751,-0.029939763486570705,1
NFLX,2022-01-24,2022-01-24,38.37180334091187,38.73435765266418,39.60706933256236,1519.7946753389444,-15.8866882946134,-0.010453180651570814,1
NVDA,2022-01-24,2022-01-24,22.3188349237442,23.38368574047088,68.09471374879385,1519.7946753389444,-74.06676158128681,-0.048734715802822806,1
AMD,2022-01-24,2022-01-24,115.34230152511597,116.58826377868651,13.17638589869829,1519.7946753389444,-17.94528278333027,-0.011807702102475202,1
CRM,2022-01-24,2022-01-24,212.28380438995362,223.14151377868652,7.15925870890822,1519.7946753389444,-79.29181175066954,-0.05217271322061046,1
NFLX,2022-01-25,2022-01-25,37.89504446411133,36.660319290161134,39.16925940305389,1484.320826705038,46.903131438545984,0.031599052303715,1
TSLA,2022-01-25,2022-01-25,304.5809707336425,306.28639796447754,4.873320953471789,1484.320826705038,-9.799570632484073,-0.006602056951688538,1
NVDA,2022-01-25,2022-01-25,22.53472652721405,22.33516140460968,65.86815353239359,1484.320826705038,11.66723780177844,0.007860320755370588,1
AMD,2022-01-25,2022-01-25,114.04294847488404,111.18556225204466,13.015454673481488,1484.320826705038,35.72445513172539,0.024067879725859633,1
META,2022-01-25,2022-01-25,299.80003720092776,300.3000688934326,4.951036165850231,1484.320826705038,-3.9612336578645326,-0.0026687179662215326,1
NFLX,2022-01-26,2022-01-26,37.80808616447449,35.98798622131348,39.564137229797545,1495.8443094072786,70.55084495572326,0.04716456419430356,1
TSLA,2022-01-26,2022-01-26,317.317915725708,312.62623622131343,4.714024123051084,1495.8443094072786,20.63190439711382,0.013792815380157523,1
NVDA,2022-01-26,2022-01-26,23.228379771232607,22.783385358810424,64.39727282484938,1495.8443094072786,27.174910486168724,0.018166937772378634,1
AMD,2022-01-26,2022-01-26,114.49272805023193,110.76535408401489,13.064972202872132,1495.8443094072786,47.22654196755683,0.031571829815811595,1
CRM,2022-01-26,2022-01-26,219.50019561004643,211.10549999999998,6.814774379812965,1495.8443094072786,55.740716238550505,0.037263715139336594,1
NFLX,2022-01-27,2022-01-27,38.18689828109741,38.68933316802978,40.02634867714875,1528.4821054980175,-21.64917139440284,-0.014163836996540433,1
NVDA,2022-01-27,2022-01-27,23.556216793060305,21.954972244262695,64.88656981405904,1528.4821054980175,102.42273373254201,0.06700944248161161,1
AMD,2022-01-27,2022-01-27,111.90401908493043,102.65129847335815,13.6588669289703,1528.4821054980175,124.91638829869053,0.08172577739010538,1
BA,2022-01-27,2022-01-27,196.28181488037112,189.844875,7.787181438227425,1528.4821054980175,48.62219945929149,0.03181077441757106,1
META,2022-01-27,2022-01-27,297.601125,294.7873346557617,5.136009164945252,1528.4821054980175,12.930396717242608,0.008459632383481235,1
TSLA,2022-01-28,2022-01-28,277.0480826873779,282.25772703552246,5.659650453166255,1567.9953067304605,-31.06750368553961,-0.019813518288087667,1
AMD,2022-01-28,2022-01-28,101.49922805023192,105.29261786270139,15.448347114073226,1567.9953067304605,-60.198898670028996,-0.03839226967812425,1
NVDA,2022-01-28,2022-01-28,22.0009931306839,22.851420152664183,71.26929668205025,1567.9953067304605,-62.20763571054377,-0.03967335580886232,1
BA,2022-01-28,2022-01-28,188.68560877990723,190.66529232788085,8.310094854978857,1567.9953067304605,-18.027579052265594,-0.011497214930991212,1
CRM,2022-01-28,2022-01-28,214.19285305023195,222.2410698852539,7.3204837808605046,1567.9953067304605,-60.514294532759905,-0.038593415600804704,1
TSLA,2022-01-31,2022-01-31,290.75786865234375,312.3961102294922,5.271069460119362,1532.604921742766,-115.64630760690896,-0.07545735105391967,1
AMD,2022-01-31,2022-01-31,107.8760353050232,114.307125,14.207093516268678,1532.604921742766,-92.94538117614407,-0.06064536258336779,1
