Date,Return_1D,Return_3D,Return_10D,Return_20D,Distance_SMA50,SMA20_vs_SMA50,Future_Return_1D,Future_Return_3D,Future_Return_5D,Ticker
2018-01-22,-0.0081811423228739,-0.0117253268115572,0.0114285714285713,,,,-0.001466496114775,-0.0349125907211589,-0.0526790534524924,AAPL
2018-01-22,0.0176796491295097,0.0204100923817616,0.0532093484417126,,,,-0.0074409054266935,0.0200622107897476,0.1520203416031458,ABBV
2018-01-22,0.0107801596914596,0.006870531869233,0.0674436184686841,,,,-0.0108754610769616,-0.0236294376288584,-0.0200701848501769,ADBE
2018-01-22,0.0047656445762671,0.0385877915910042,0.064814772447129,,,,0.0093603657110483,-0.0319812681101417,0.0390015609908214,AMD
2018-01-22,0.0117716206471092,0.0190281477980787,-0.0090384247620911,,,,0.0121138449426534,0.0247294985511752,0.0345495485198559,AMT
2018-01-22,0.0252824116096834,0.0249498286302485,0.079868861364678,,,,0.0182722534403232,0.0297886708721681,0.0594802987282803,AMZN
2018-01-22,-0.0160666503037122,-0.0139196772353583,-0.0350121563452836,,,,0.0044319221401829,-0.055207446573615,-0.0621608815865433,AVGO
2018-01-22,0.0007994226301755,-0.0370644978880003,0.0944178345029069,,,,-0.0081279187496758,0.0140982120508987,0.0073299373800648,BA
2018-01-22,0.0069357258973994,0.0243746062040826,0.0530827766040704,,,,0.0018832223726601,0.0072190689839974,0.0131826164751813,BAC
2018-01-22,0.0050825059302106,0.029054135602623,0.1287935032404712,,,,-0.0055986632786151,-0.0295109612141653,-0.0313322379255375,BLK
2018-01-22,0.0028167109748487,0.014183972638863,0.0551370233736638,,,,-0.0149419030477834,-0.0152907260628634,-0.0547674312147983,CAT
2018-01-22,0.0153974588944822,0.0135315327486595,0.0666314527014768,,,,-0.0023098397663524,-0.01864380558878,-0.0156739936210659,COP
2018-01-22,0.0108690606357746,0.0108690606357746,0.0353129421188416,,,,-0.0009813668757154,0.0224161785249155,0.0243272904241464,COST
2018-01-22,0.008576780861746,0.0258996587641697,0.0443108324064782,,,,0.0005301074256227,-0.0107793003835796,0.0010602822606331,CRM
2018-01-22,0.0095963021900253,0.0015110074593527,0.036434683167474,,,,-0.0102734594363814,-0.0130685218501056,-0.0294607116741373,CVX
2018-01-22,0.0046116480072233,-0.0077699628212665,-0.0046587014841913,,,,0.001269674646823,0.0025392801053378,0.0115172241872085,DIS
2018-01-22,0.0016922318918823,-0.0186201587256489,-0.0608982834328364,,,,-0.0005144812286475,0.014791016410018,-0.0059163869385551,DUK
2018-01-22,-0.0055350658276702,-0.06801151500237,-0.1278317277151897,,,,0.0361963121877355,-0.0073620098065068,-0.0012269853566529,GE
2018-01-22,0.0180673539104367,0.0219997947812826,0.048518865072842,,,,0.004741080128132,0.0098409429369343,0.0135484291444938,GOOGL
2018-01-22,0.0210838435086397,0.0310269872129358,0.0234814677555075,,,,0.008100760999576,0.0427519332530885,0.0561240735904191,GS
2018-01-22,0.0155466391215703,0.0232208949032806,0.0621299050071022,,,,4.877986659046485e-05,0.002342699638679,0.0001464140728499,HD
