Date,Adj Close,Close,High,Low,Open,Volume,Return_1D,Return_3D,Return_5D,Return_10D,Return_20D,SMA20,SMA50,SMA200,Distance_SMA20,Distance_SMA50,Distance_SMA200,SMA20_vs_SMA50,SMA50_vs_SMA200,Volume_Moyen_20,Volume_Ratio,ATR14,ATR_Pct,Negative_Days_5,Negative_Days_10,Consecutive_Down_Days,Return_Consecutive_Down,Momentum_Acceleration_5D,Future_Return_1D,Future_Return_3D,Future_Return_5D,Future_Return_10D,Ticker,SPY_Return_1D,SPY_Return_5D,SPY_Return_10D,SPY_Distance_SMA50,SPY_Volume_Ratio,Year
2023-01-03,108.0999984741211,108.0999984741211,118.8000030517578,104.63999938964844,118.47000122070312,231402800,-0.1224224857419573,-0.0409014341921564,-0.1222087118577516,-0.2804366534751555,-0.4452427479445543,146.546000289917,177.81119979858397,251.17946750640868,-0.2623476706272218,-0.3920518021554795,-0.5696304337799307,-0.1758336907016132,-0.2920950045646258,151097920.0,1.5314757476476182,10.679999215262276,0.0987974039409357,2.0,7.0,1,-0.1126251950014252,0.0180096148798261,-0.0415177229764134,-0.0362019698116236,-0.0892676914057819,-0.1802767671057932,TSLA,-0.0042098825468623,-0.0054581920500956,-0.006392312885645,-0.021908792821513,0.9077855007211884,2023
2023-01-04,124.14412689208984,126.36000061035156,128.66000366210938,125.08000183105467,126.88999938964844,89113600,0.0103142313798272,-0.0250752255589483,-0.0282242421241154,-0.0454029971181556,-0.1382391297651585,135.20449981689453,142.29139923095704,151.2451499938965,-0.0654157163298628,-0.1119631875623542,-0.1645351892906924,-0.0498055360504227,-0.059200250476136,83571905.0,1.0663105023153414,4.41856929234096,0.0349681012266391,2.0,6.0,0,0.0103142313798272,-0.0055227435650376,0.0165971891444749,-0.0237551853088333,-0.0500275967682763,-0.0640290033422785,AAPL,0.007720189025949,0.0061877711245614,0.0098416421769291,-0.0148369779371377,1.0367697903582114,2023
2023-01-04,113.63999938964844,113.63999938964844,114.58999633789062,107.5199966430664,109.11000061035156,180389000,0.0512488528559378,-0.0671482541919865,0.041613207873731,-0.2417428231662369,-0.3771444160567123,143.1055004119873,175.79519973754884,250.23868419647215,-0.205900548459077,-0.3535659701783337,-0.5458735736460905,-0.1859533102972391,-0.2974899132720616,155461235.0,1.1603471437751025,9.88928495134626,0.0870229233057095,1.0,6.0,0,0.0512488528559378,0.1624846194568495,0.0015383747629492,-0.0837932705441517,-0.115012205581215,-0.1507555489156298,TSLA,0.007720189025949,0.0061877711245614,0.0098416421769291,-0.0148369779371377,1.0367697903582114,2023
2023-01-05,328.44000244140625,328.44000244140625,337.54998779296875,328.1600036621094,337.5299987792969,2081600,-0.037989517241971,-0.0240394507688338,0.0003350771286203,-0.028916086405295,-0.0081835769440637,335.26650085449216,328.80939880371096,370.9507496643066,-0.0203614091944386,-0.0011234361415721,-0.114599437422274,0.0196378268816941,-0.1136036277018759,3038470.0,0.6850816364815187,11.99214608328683,0.0365124406105989,2.0,5.0,1,-0.0251692112322291,0.0147931203312678,-0.0014144734032435,-0.0193210950142039,-0.0368966227599159,-0.0725292108825457,ADBE,-0.0114133957977734,0.0072213699205057,-0.0030483093395222,-0.026106535085864,0.9291880492006525,2023
2023-01-05,62.33000183105469,62.33000183105469,64.3499984741211,62.29999923706055,64.1500015258789,46159500,-0.0360346690239992,-0.0376716834718705,-0.0038356698887659,-0.0418140060429962,-0.1129926738483082,66.22649974822998,67.69120002746583,82.71619989395141,-0.0588359332289706,-0.0792008147918167,-0.2464595579709103,-0.0216379718285617,-0.1816451902499003,52700765.0,0.8758791262327976,2.523570741925921,0.0404872560210418,3.0,6.0,1,-0.0263979209720054,0.0170713331327321,-0.0128265643550589,-0.0775930547502976,-0.1211401637535025,-0.1095803325691051,AMD,-0.0114133957977734,0.0072213699205057,-0.0030483093395222,-0.026106535085864,0.9291880492006525,2023
2023-01-05,14.23337459564209,14.265000343322754,14.564000129699709,14.14799976348877,14.491000175476074,389168000,-0.0328157343269807,-0.0238812077090085,0.0163151957427369,-0.1131488246652623,-0.1077125209196004,15.859099912643432,15.440779953002927,16.845224981307982,-0.1005163961448913,-0.0761476825172623,-0.1531724652445029,0.0270918930853067,-0.0833734800136817,431030300.0,0.9028785215331728,0.7019998686654227,0.0492113460757131,2.0,6.0,1,-0.0034927864845392,0.0728896080753681,-0.0265994355043974,-0.0991433205669414,-0.1407350908991835,-0.2324858871157704,NVDA,-0.0114133957977734,0.0072213699205057,-0.0030483093395222,-0.026106535085864,0.9291880492006525,2023
2023-01-05,110.33999633789062,110.33999633789062,111.75,107.16000366210938,110.51000213623048,157986300,-0.0290390977603121,-0.1042377328744464,-0.0210274400304607,-0.1992743549037018,-0.3863864317447969,139.6314998626709,173.77699966430663,249.2551174545288,-0.2097771889121636,-0.3650483288867935,-0.5573210393242186,-0.1964903287983809,-0.3028147167489611,158753010.0,0.9951704222804972,9.901427677699498,0.0897356172405396,2.0,6.0,1,0.0207215346474383,0.0786097374213901,-0.0976698792096479,-0.1538834803312727,-0.1996116267824637,-0.2953397880480126,TSLA,-0.0114133957977734,0.0072213699205057,-0.0030483093395222,-0.026106535085864,0.9291880492006525,2023
2023-01-19,67.70999908447266,67.70999908447266,69.25,67.2699966430664,68.97000122070312,47189900,-0.0399829823285349,-0.0463380410637653,-0.0195481975361451,0.0471697378537354,0.0483047363907611,66.37449970245362,69.24079994201661,80.57029989242554,0.0201206696548503,-0.0221083647044209,-0.15961589847777,-0.0413961167687733,-0.1406163309002902,49089590.0,0.9613015712699984,2.815714699881417,0.041584917116431,2.0,3.0,2,-0.0463380410637654,-0.0431330664630128,-0.0302896264356435,-0.0983678077029173,-0.1051316174282244,-0.2984854401518835,AMD,-0.0072798172546666,-0.0173947576768277,0.0127162934089795,-0.0077608918104816,1.129623977637423,2023
2023-01-19,93.68000030517578,93.68000030517578,95.44000244140624,92.86000061035156,94.73999786376952,69002700,-0.0186465409215199,-0.0452507370273276,-0.0148280164793002,0.1003053908474147,0.103155938826126,88.25500030517578,90.82919982910155,114.99171516418455,0.0614696049089678,0.0313863876532887,-0.1853326113849162,-0.0283411009759992,-0.2101239667621609,71524835.0,0.964737632739733,3.4050004141671315,0.0363471434999451,3.0,4.0,3,-0.0166893711967643,-0.0649807119030075,-0.0361176152525462,-0.0262092378912828,-0.057106334705909,-0.2029618892806275,AMZN,-0.0072798172546666,-0.0173947576768277,0.0127162934089795,-0.0077608918104816,1.129623977637423,2023
2023-01-19,31.577999114990234,31.577999114990234,32.48899841308594,31.339000701904297,32.25699996948242,180082000,-0.0323292472013415,-0.0511989154440903,-0.0350792202985805,0.0205875417912531,0.0953173499325812,30.783850288391115,30.061500129699706,24.544910011291503,0.0257975795476954,0.0504465505296682,0.2865396165829603,0.0240290789074013,0.224754953913882,85663850.0,2.1021936324365527,1.1560712541852678,0.0366100223758786,2.0,4.0,1,-0.0320030188283868,-0.0453729911942071,-0.016954159298691,-0.0802873748350276,-0.0833753551466187,-0.0893731478121246,NFLX,-0.0072798172546666,-0.0173947576768277,0.0127162934089795,-0.0077608918104816,1.129623977637423,2023
