Group,Direction,Horizon,Ticker,N,Action_Mean,Directional_Mean,Directional_Contribution_Sum
A_GAP_UP,LONG,1,AAPL,71,0.002071226835609427,0.002071226835609427,0.14705710532826932
A_GAP_UP,LONG,1,ABBV,29,-0.003328872414202858,-0.003328872414202858,-0.09653730001188288
A_GAP_UP,LONG,1,ADBE,75,-0.0003472302801072906,-0.0003472302801072906,-0.02604227100804679
A_GAP_UP,LONG,1,AMD,199,0.0028323487620099015,0.0028323487620099015,0.5636374036399704
A_GAP_UP,LONG,1,AMT,33,0.001389316048787071,0.001389316048787071,0.045847429609973345
A_GAP_UP,LONG,1,AMZN,77,-0.0011952605870598275,-0.0011952605870598275,-0.09203506520360671
A_GAP_UP,LONG,1,AVGO,130,0.0010743084371875543,0.0010743084371875543,0.13966009683438207
A_GAP_UP,LONG,1,BA,121,-0.0015463496188000746,-0.0015463496188000746,-0.18710830387480903
A_GAP_UP,LONG,1,BAC,79,0.0006658417913143814,0.0006658417913143814,0.052601501513836135
A_GAP_UP,LONG,1,BLK,50,0.0014701957495994455,0.0014701957495994455,0.07350978747997228
A_GAP_UP,LONG,1,CAT,69,-0.0023560889022542866,-0.0023560889022542866,-0.16257013425554578
A_GAP_UP,LONG,1,COP,105,0.003110980911965796,0.003110980911965796,0.3266529957564086
A_GAP_UP,LONG,1,COST,12,0.01638292081286317,0.01638292081286317,0.19659504975435804
A_GAP_UP,LONG,1,CRM,89,0.003334087267025433,0.003334087267025433,0.29673376676526353
A_GAP_UP,LONG,1,CVX,68,-0.00020344890410313536,-0.00020344890410313536,-0.013834525479013204
A_GAP_UP,LONG,1,DIS,57,-0.0019943633080997105,-0.0019943633080997105,-0.1136787085616835
A_GAP_UP,LONG,1,DUK,16,0.005920122179024309,0.005920122179024309,0.09472195486438895
A_GAP_UP,LONG,1,GE,90,-0.00494191672080029,-0.00494191672080029,-0.44477250487202613
A_GAP_UP,LONG,1,GOOGL,67,-0.00018401655901345405,-0.00018401655901345405,-0.012329109453901421
A_GAP_UP,LONG,1,GS,56,0.0033879676674241355,0.0033879676674241355,0.18972618937575159
A_GAP_UP,LONG,1,HD,27,0.0017973056119254568,0.0017973056119254568,0.048527251521987336
A_GAP_UP,LONG,1,HON,36,0.0008914460183829089,0.0008914460183829089,0.03209205666178472
A_GAP_UP,LONG,1,JNJ,21,0.007258358215673518,0.007258358215673518,0.15242552252914388
A_GAP_UP,LONG,1,JPM,59,0.00413817104005118,0.00413817104005118,0.24415209136301963
A_GAP_UP,LONG,1,KO,27,-0.0025482969637384257,-0.0025482969637384257,-0.0688040180209375
A_GAP_UP,LONG,1,LLY,48,0.00810714695617356,0.00810714695617356,0.38914305389633086
A_GAP_UP,LONG,1,LOW,51,-0.0007213950603041892,-0.0007213950603041892,-0.03679114807551365
A_GAP_UP,LONG,1,MA,60,0.002058926618808195,0.002058926618808195,0.12353559712849171
A_GAP_UP,LONG,1,MCD,21,0.0016599802341650683,0.0016599802341650683,0.034859584917466435
A_GAP_UP,LONG,1,META,94,-0.0010940934819912665,-0.0010940934819912665,-0.10284478730717905
A_GAP_UP,LONG,1,MRK,32,0.0027220956583812288,0.0027220956583812288,0.08710706106819932
A_GAP_UP,LONG,1,MS,85,0.0021252480977791512,0.0021252480977791512,0.18064608831122786
A_GAP_UP,LONG,1,MSFT,63,0.00022903886446712374,0.00022903886446712374,0.014429448461428795
A_GAP_UP,LONG,1,NEE,26,0.005145024504256929,0.005145024504256929,0.13377063711068016
A_GAP_UP,LONG,1,NFLX,85,0.0033374614773625344,0.0033374614773625344,0.2836842255758154
A_GAP_UP,LONG,1,NKE,66,-0.0031060191618699586,-0.0031060191618699586,-0.20499726468341728
A_GAP_UP,LONG,1,NVDA,199,0.0010974755730289224,0.0010974755730289224,0.21839763903275555
A_GAP_UP,LONG,1,ORCL,66,-0.004782906677441172,-0.004782906677441172,-0.3156718407111173
A_GAP_UP,LONG,1,PEP,16,0.011730558301232465,0.011730558301232465,0.18768893281971943
A_GAP_UP,LONG,1,PFE,39,-0.0012126339256051566,-0.0012126339256051566,-0.04729272309860111
A_GAP_UP,LONG,1,PLD,41,-0.002434146943021432,-0.002434146943021432,-0.09980002466387872
A_GAP_UP,LONG,1,TSLA,257,0.0003806500782699168,0.0003806500782699168,0.09782707011536862
A_GAP_UP,LONG,1,UNH,48,0.0006500803599078902,0.0006500803599078902,0.031203857275578728
A_GAP_UP,LONG,1,UPS,33,6.07154814815658e-05,6.07154814815658e-05,0.0020036108888916715
A_GAP_UP,LONG,1,V,41,0.005015319342820764,0.005015319342820764,0.20562809305565133
A_GAP_UP,LONG,1,WMT,23,-0.0027513809786415193,-0.0027513809786415193,-0.06328176250875495
A_GAP_UP,LONG,1,XOM,61,-0.005195917920696394,-0.005195917920696394,-0.31695099316248
A_GAP_UP,LONG,3,AAPL,71,-0.005981340137197566,-0.005981340137197566,-0.42467514974102716
A_GAP_UP,LONG,3,ABBV,29,-0.002054270190162133,-0.002054270190162133,-0.059573835514701856
A_GAP_UP,LONG,3,ADBE,75,0.003841218048461711,0.003841218048461711,0.28809135363462834
A_GAP_UP,LONG,3,AMD,199,0.009812535749330779,0.009812535749330779,1.9526946141168249
A_GAP_UP,LONG,3,AMT,33,0.0012313560143348363,0.0012313560143348363,0.0406347484730496
A_GAP_UP,LONG,3,AMZN,77,-0.004819417204105013,-0.004819417204105013,-0.37109512471608597
A_GAP_UP,LONG,3,AVGO,130,0.0075696974618841995,0.0075696974618841995,0.9840606700449459
A_GAP_UP,LONG,3,BA,121,0.0014449533383667028,0.0014449533383667028,0.17483935394237105
A_GAP_UP,LONG,3,BAC,79,-0.004516582254906231,-0.004516582254906231,-0.3568099981375923
A_GAP_UP,LONG,3,BLK,50,0.0030718808512920416,0.0030718808512920416,0.15359404256460207
A_GAP_UP,LONG,3,CAT,69,-0.00018027617124448492,-0.00018027617124448492,-0.01243905581586946
A_GAP_UP,LONG,3,COP,105,0.0026648137604096556,0.0026648137604096556,0.27980544484301384
A_GAP_UP,LONG,3,COST,12,0.02600654210551459,0.02600654210551459,0.3120785052661751
A_GAP_UP,LONG,3,CRM,89,0.007227054173467898,0.007227054173467898,0.643207821438643
A_GAP_UP,LONG,3,CVX,68,6.25037395272447e-05,6.25037395272447e-05,0.0042502542878526395
A_GAP_UP,LONG,3,DIS,57,-0.0070381340125674355,-0.0070381340125674355,-0.4011736387163438
A_GAP_UP,LONG,3,DUK,16,0.013968154840386424,0.013968154840386424,0.22349047744618278
A_GAP_UP,LONG,3,GE,90,-0.009748346007474921,-0.009748346007474921,-0.8773511406727429
A_GAP_UP,LONG,3,GOOGL,67,-0.0006357734991163953,-0.0006357734991163953,-0.042596824440798486
A_GAP_UP,LONG,3,GS,56,0.003194621063845517,0.003194621063845517,0.17889877957534894
A_GAP_UP,LONG,3,HD,27,-0.011926528448315075,-0.011926528448315075,-0.322016268104507
A_GAP_UP,LONG,3,HON,36,0.002256897229270271,0.002256897229270271,0.08124830025372975
A_GAP_UP,LONG,3,JNJ,21,0.0013319288880193996,0.0013319288880193996,0.02797050664840739
A_GAP_UP,LONG,3,JPM,59,-0.0013989226416945113,-0.0013989226416945113,-0.08253643585997616
A_GAP_UP,LONG,3,KO,27,-0.0015727627503622386,-0.0015727627503622386,-0.04246459425978044
A_GAP_UP,LONG,3,LLY,48,0.008244256399655703,0.008244256399655703,0.39572430718347373
A_GAP_UP,LONG,3,LOW,51,0.005646605912218687,0.005646605912218687,0.28797690152315303
A_GAP_UP,LONG,3,MA,60,-0.003874432097319162,-0.003874432097319162,-0.2324659258391497
A_GAP_UP,LONG,3,MCD,21,-0.005423832483509348,-0.005423832483509348,-0.1139004821536963
A_GAP_UP,LONG,3,META,94,0.0006765832301069561,0.0006765832301069561,0.06359882363005387
A_GAP_UP,LONG,3,MRK,32,0.00036465672368543936,0.00036465672368543936,0.01166901515793406
A_GAP_UP,LONG,3,MS,85,0.0020579195325778005,0.0020579195325778005,0.17492316026911303
A_GAP_UP,LONG,3,MSFT,63,-0.0008559002174620883,-0.0008559002174620883,-0.05392171370011156
A_GAP_UP,LONG,3,NEE,26,0.005177362870194884,0.005177362870194884,0.13461143462506697
A_GAP_UP,LONG,3,NFLX,85,0.008899681169255888,0.008899681169255888,0.7564728993867506
A_GAP_UP,LONG,3,NKE,66,-0.00619606770698453,-0.00619606770698453,-0.408940468660979
A_GAP_UP,LONG,3,NVDA,199,0.005530014417483626,0.005530014417483626,1.1004728690792416
A_GAP_UP,LONG,3,ORCL,66,0.0024588858749188393,0.0024588858749188393,0.1622864677446434
A_GAP_UP,LONG,3,PEP,16,0.007994430618463222,0.007994430618463222,0.12791088989541155
A_GAP_UP,LONG,3,PFE,39,-0.009872554410146468,-0.009872554410146468,-0.3850296219957122
A_GAP_UP,LONG,3,PLD,41,-0.010135434255550947,-0.010135434255550947,-0.4155528044775888
A_GAP_UP,LONG,3,TSLA,257,0.006282050781233748,0.006282050781233748,1.6144870507770732
A_GAP_UP,LONG,3,UNH,48,0.011741457554599752,0.011741457554599752,0.5635899626207881
A_GAP_UP,LONG,3,UPS,33,0.005898263127711511,0.005898263127711511,0.19464268321447986
A_GAP_UP,LONG,3,V,41,-0.001143757568995684,-0.001143757568995684,-0.04689406032882304
A_GAP_UP,LONG,3,WMT,23,0.0017248326623524699,0.0017248326623524699,0.039671151234106805
A_GAP_UP,LONG,3,XOM,61,-0.009349170446280568,-0.009349170446280568,-0.5702993972231146
A_GAP_UP,LONG,5,AAPL,71,-0.007551350282637765,-0.007551350282637765,-0.5361458700672813
A_GAP_UP,LONG,5,ABBV,29,0.0036270060530414596,0.0036270060530414596,0.10518317553820233
A_GAP_UP,LONG,5,ADBE,75,0.006331627638323503,0.006331627638323503,0.4748720728742627
A_GAP_UP,LONG,5,AMD,199,0.010467138673296596,0.010467138673296596,2.0829605959860227
A_GAP_UP,LONG,5,AMT,33,-0.0033498822843812366,-0.0033498822843812366,-0.11054611538458081
A_GAP_UP,LONG,5,AMZN,77,0.0005060519311034095,0.0005060519311034095,0.038965998694962534
A_GAP_UP,LONG,5,AVGO,130,0.002529552053023038,0.002529552053023038,0.32884176689299494
A_GAP_UP,LONG,5,BA,121,-0.001842406875747445,-0.001842406875747445,-0.22293123196544085
A_GAP_UP,LONG,5,BAC,79,-0.003406861253919156,-0.003406861253919156,-0.2691420390596133
A_GAP_UP,LONG,5,BLK,50,0.0031906271877807056,0.0031906271877807056,0.1595313593890353
A_GAP_UP,LONG,5,CAT,69,-0.004614999796594937,-0.004614999796594937,-0.3184349859650507
A_GAP_UP,LONG,5,COP,105,0.008346258654245783,0.008346258654245783,0.8763571586958072
A_GAP_UP,LONG,5,COST,12,0.026387888603984683,0.026387888603984683,0.3166546632478162
A_GAP_UP,LONG,5,CRM,89,0.006933405091681695,0.006933405091681695,0.6170730531596709
A_GAP_UP,LONG,5,CVX,68,0.0027741809828358897,0.0027741809828358897,0.1886443068328405
A_GAP_UP,LONG,5,DIS,57,-0.005756505040050754,-0.005756505040050754,-0.32812078728289296
A_GAP_UP,LONG,5,DUK,16,-0.0026688263062737486,-0.0026688263062737486,-0.04270122090037998
A_GAP_UP,LONG,5,GE,90,-0.008736334301893824,-0.008736334301893824,-0.7862700871704441
A_GAP_UP,LONG,5,GOOGL,67,0.0035060793244245407,0.0035060793244245407,0.23490731473644422
A_GAP_UP,LONG,5,GS,56,0.0026984327446374396,0.0026984327446374396,0.15111223369969662
A_GAP_UP,LONG,5,HD,27,-0.01223089428506056,-0.01223089428506056,-0.3302341456966351
A_GAP_UP,LONG,5,HON,36,-0.002529496199391693,-0.002529496199391693,-0.09106186317810094
A_GAP_UP,LONG,5,JNJ,21,-0.0005157163772503944,-0.0005157163772503944,-0.010830043922258281
A_GAP_UP,LONG,5,JPM,59,-0.004379466501181019,-0.004379466501181019,-0.2583885235696801
A_GAP_UP,LONG,5,KO,27,-0.011344885935881746,-0.011344885935881746,-0.30631192026880716
A_GAP_UP,LONG,5,LLY,48,0.015999199523524025,0.015999199523524025,0.7679615771291532
A_GAP_UP,LONG,5,LOW,51,0.010977581465074696,0.010977581465074696,0.5598566547188095
A_GAP_UP,LONG,5,MA,60,-0.0021690554527424464,-0.0021690554527424464,-0.1301433271645468
A_GAP_UP,LONG,5,MCD,21,-0.011518092313566475,-0.011518092313566475,-0.24187993858489598
A_GAP_UP,LONG,5,META,94,0.004772163449226149,0.004772163449226149,0.448583364227258
A_GAP_UP,LONG,5,MRK,32,0.0016925089751764523,0.0016925089751764523,0.054160287205646473
A_GAP_UP,LONG,5,MS,85,0.0026749827801070504,0.0026749827801070504,0.2273735363090993
