Group,Direction,Year,Horizon,N,Action_Mean,Action_Median,Directional_Win_Rate,Directional_Mean
BASELINE_LONG,LONG,ALL,1,93953,0.00024485809796754074,0.0004043628273955324,0.5129160324843273,0.00024485809796754074
BASELINE_LONG,LONG,ALL,3,93953,0.0016435065142461481,0.0017790999149251974,0.5299564675954999,0.0016435065142461481
BASELINE_LONG,LONG,ALL,5,93953,0.003043165505682361,0.0033084757222114902,0.5434632209721882,0.003043165505682361
BASELINE_LONG,LONG,2018,1,11750,-0.00043097887758737174,0.00017359823371210226,0.504,-0.00043097887758737174
BASELINE_LONG,LONG,2018,3,11750,-0.00040528250864642443,0.0009144435828549735,0.5167659574468085,-0.00040528250864642443
BASELINE_LONG,LONG,2018,5,11750,-0.00020653559760907056,0.0017154208318156394,0.5217021276595745,-0.00020653559760907056
BASELINE_LONG,LONG,2019,1,11844,0.0005345614859978406,0.0006204294738181293,0.5244005403579872,0.0005345614859978406
BASELINE_LONG,LONG,2019,3,11844,0.0030046495890023246,0.0030862398487816467,0.5623944613306315,0.0030046495890023246
BASELINE_LONG,LONG,2019,5,11844,0.005249572016799743,0.00542311331290124,0.5941404930766633,0.005249572016799743
BASELINE_LONG,LONG,2020,1,11891,0.00026560528088494554,0.0,0.49911697922798753,0.00026560528088494554
BASELINE_LONG,LONG,2020,3,11891,0.0025216609715910283,0.0017883466002408532,0.5270372550668573,0.0025216609715910283
BASELINE_LONG,LONG,2020,5,11891,0.0049646912705446624,0.004390465563177903,0.5435203094777563,0.0049646912705446624
BASELINE_LONG,LONG,2021,1,11844,0.0002616262111038328,0.00034364339261749866,0.5131712259371833,0.0002616262111038328
BASELINE_LONG,LONG,2021,3,11844,0.002709604575734137,0.0023952889176539482,0.542806484295846,0.002709604575734137
BASELINE_LONG,LONG,2021,5,11844,0.004900075325318096,0.004376843866912505,0.5614657210401891,0.004900075325318096
BASELINE_LONG,LONG,2022,1,11797,6.568279116334176e-05,0.00036119984092763957,0.5086886496566924,6.568279116334176e-05
BASELINE_LONG,LONG,2022,3,11797,-0.0009079096366163772,0.0,0.49987284902941426,-0.0009079096366163772
BASELINE_LONG,LONG,2022,5,11797,-0.0017271336175761517,-0.0001366189044845756,0.4975841315588709,-0.0017271336175761517
BASELINE_LONG,LONG,2023,1,11750,0.0008149642528966063,0.0007380885487805466,0.5257872340425532,0.0008149642528966063
BASELINE_LONG,LONG,2023,3,11750,0.0028018825902225283,0.0019184371974448888,0.5343829787234042,0.0028018825902225283
BASELINE_LONG,LONG,2023,5,11750,0.0046951576392307605,0.0028855847766987575,0.5408510638297872,0.0046951576392307605
BASELINE_LONG,LONG,2024,1,11844,5.658000955855598e-05,0.00033216021743720514,0.5113137453562986,5.658000955855598e-05
BASELINE_LONG,LONG,2024,3,11844,0.0016797026605448507,0.0015220600437770848,0.5268490374873354,0.0016797026605448507
BASELINE_LONG,LONG,2024,5,11844,0.003373865935930645,0.0029146526199070877,0.5408645727794664,0.003373865935930645
BASELINE_LONG,LONG,2025,1,11233,0.0003970419049604079,0.0005282612018913113,0.5171370070328496,0.0003970419049604079
BASELINE_LONG,LONG,2025,3,11233,0.0017273952911770426,0.001887668318182767,0.5293332146354491,0.0017273952911770426
BASELINE_LONG,LONG,2025,5,11233,0.003057115631586668,0.003987106862942014,0.5474049675064542,0.003057115631586668
BASELINE_SHORT,SHORT,ALL,1,93953,0.00024485809796754074,0.0004043628273955324,0.48379508903387863,-0.00024485809796754074
BASELINE_SHORT,SHORT,ALL,3,93953,0.0016435065142461481,0.0017790999149251974,0.4686066437474056,-0.0016435065142461481
BASELINE_SHORT,SHORT,ALL,5,93953,0.003043165505682361,0.0033084757222114902,0.4554191989611827,-0.003043165505682361
BASELINE_SHORT,SHORT,2018,1,11750,-0.00043097887758737174,0.00017359823371210226,0.4908936170212766,0.00043097887758737174
BASELINE_SHORT,SHORT,2018,3,11750,-0.00040528250864642443,0.0009144435828549735,0.48136170212765955,0.00040528250864642443
BASELINE_SHORT,SHORT,2018,5,11750,-0.00020653559760907056,0.0017154208318156394,0.4766808510638298,0.00020653559760907056
BASELINE_SHORT,SHORT,2019,1,11844,0.0005345614859978406,0.0006204294738181293,0.4706180344478217,-0.0005345614859978406
BASELINE_SHORT,SHORT,2019,3,11844,0.0030046495890023246,0.0030862398487816467,0.43541033434650456,-0.0030046495890023246
BASELINE_SHORT,SHORT,2019,5,11844,0.005249572016799743,0.00542311331290124,0.40433975008443096,-0.005249572016799743
BASELINE_SHORT,SHORT,2020,1,11891,0.00026560528088494554,0.0,0.4980237154150198,-0.00026560528088494554
BASELINE_SHORT,SHORT,2020,3,11891,0.0025216609715910283,0.0017883466002408532,0.4713648978218821,-0.0025216609715910283
BASELINE_SHORT,SHORT,2020,5,11891,0.0049646912705446624,0.004390465563177903,0.4557228155748045,-0.0049646912705446624
BASELINE_SHORT,SHORT,2021,1,11844,0.0002616262111038328,0.00034364339261749866,0.48362039851401556,-0.0002616262111038328
BASELINE_SHORT,SHORT,2021,3,11844,0.002709604575734137,0.0023952889176539482,0.45592705167173253,-0.002709604575734137
BASELINE_SHORT,SHORT,2021,5,11844,0.004900075325318096,0.004376843866912505,0.4376899696048632,-0.004900075325318096
BASELINE_SHORT,SHORT,2022,1,11797,6.568279116334176e-05,0.00036119984092763957,0.4888530982453166,-6.568279116334176e-05
BASELINE_SHORT,SHORT,2022,3,11797,-0.0009079096366163772,0.0,0.4991947105196236,0.0009079096366163772
BASELINE_SHORT,SHORT,2022,5,11797,-0.0017271336175761517,-0.0001366189044845756,0.500974824107824,0.0017271336175761517
BASELINE_SHORT,SHORT,2023,1,11750,0.0008149642528966063,0.0007380885487805466,0.47097872340425534,-0.0008149642528966063
BASELINE_SHORT,SHORT,2023,3,11750,0.0028018825902225283,0.0019184371974448888,0.4645106382978723,-0.0028018825902225283
BASELINE_SHORT,SHORT,2023,5,11750,0.0046951576392307605,0.0028855847766987575,0.4585531914893617,-0.0046951576392307605
