Horizon,Ticker,N,Mean,Median,Contribution_Sum
1,AMZN,85,0.007408871780653583,0.003050188756280603,0.6297541013555545
1,NVDA,159,0.00368129660503694,0.0020980241401351574,0.5853261602008735
1,TSLA,222,0.0016187022874523422,0.0030064130667123434,0.35935190781441995
1,AAPL,78,0.0044493325991186005,-0.0015482544889331429,0.34704794273125084
1,CRM,93,0.0034444603881045657,0.0016152550016381717,0.3203348160937246
1,AMD,161,0.0018974030143217365,-0.00024282505691475276,0.30548188530579956
1,NFLX,77,0.003919388957990011,0.001642613159535955,0.30179294976523086
1,LLY,41,0.0063857257535213,0.010608546327483648,0.2618147558943733
1,GOOGL,64,0.0037296975397731816,-0.00039266210224059295,0.23870064254548362
1,MA,57,0.0035432221161969283,9.840748022948986e-05,0.2019636606232249
1,MS,80,0.0023647379248091503,-0.0015910480166337337,0.18917903398473201
1,WMT,28,0.006532242888044064,0.010358342968965206,0.1829028008652338
1,MRK,30,0.0059406728715847516,0.005632523601091233,0.17822018614754254
1,NKE,77,0.001962561476325176,0.0004529672256026185,0.15111723367703855
1,PFE,38,0.003908649462021495,0.0018160948161247692,0.1485286795568168
1,AMT,22,0.006744213898458826,0.0012458410475917336,0.14837270576609418
1,V,49,0.0027139831298750756,0.004547950372733478,0.13298517336387872
1,META,97,0.001291228810254577,-0.001794486590991351,0.12524919459469397
1,BAC,73,0.0016474846872745529,-0.0013181320889196213,0.12026638217104235
1,KO,15,0.007864152013307849,0.002458578263917266,0.11796228019961774
1,MSFT,52,0.0019840969987938847,-0.002853048323920415,0.103173043937282
1,MCD,33,0.002852495405473606,0.0013500320232315843,0.094132348380629
1,PLD,37,0.0023013558477528954,-0.003858504132594587,0.08515016636685713
1,CAT,76,0.000983234682053308,-0.00038741041370504714,0.07472583583605141
1,COP,96,0.0007656933790123969,0.004858687640097892,0.0735065643851901
1,UNH,49,0.0012613622237769408,0.005107397927914814,0.0618067489650701
1,ABBV,39,0.0015114100969798993,0.004601565088305337,0.05894499378221607
1,JPM,62,0.0009106694712900502,-0.0033116685785252176,0.05646150721998311
1,GS,67,0.0005716159068371646,0.0014835877716887769,0.03829826575809003
1,HON,37,0.0005028639524599688,-0.0016765848427292562,0.018605966241018845
1,PEP,15,-0.00010651579298143569,-0.0001535490459094735,-0.0015977368947215354
1,COST,27,-0.00010382178454170509,0.004790143589527007,-0.0028031881826260374
1,ORCL,59,-0.0005012533868248574,-0.0072405696036833556,-0.02957394982266659
1,XOM,76,-0.00100888906798168,-0.0015044662333442704,-0.07667556916660767
1,JNJ,21,-0.0038097754428862507,0.0008068701597163663,-0.08000528430061127
1,BLK,55,-0.0019337254122491754,-0.003093307805067891,-0.10635489767370465
1,DUK,11,-0.010077614503133896,-0.010847447282176903,-0.11085375953447285
1,HD,44,-0.003271496734030301,-0.0008675941447819357,-0.14394585629733325
1,CVX,65,-0.0029609205710042484,0.003032477754117746,-0.19245983711527614
1,LOW,53,-0.0037832384480453443,0.000683791080845042,-0.20051163774640324
1,GE,80,-0.0028387014417108544,-0.0023757878497253637,-0.22709611533686835
1,DIS,53,-0.00430503904312451,-0.005268618213706722,-0.22816706928559904
1,ADBE,75,-0.003386462498774752,-0.008889334390806858,-0.2539846874081064
1,UPS,49,-0.005445319773556452,-0.005362613346018952,-0.26682066890426615
1,NEE,31,-0.00880022400695987,-0.0012725459963570662,-0.272806944215756
1,AVGO,99,-0.0032030964684615004,-0.005117016314045042,-0.31710655037768853
1,BA,104,-0.004047748113937237,-0.0013746197015577222,-0.4209658038494726
3,TSLA,222,0.010616969937628538,0.006191114085839722,2.3569673261535353
3,NVDA,159,0.007272997904617542,0.007929444571694422,1.1564066668341892
3,AMZN,85,0.009759516046857866,0.005462983075709138,0.8295588639829186
3,AMD,161,0.004771062132859023,-0.00046466918942655866,0.7681410033903027
3,NKE,77,0.006691650366015215,0.007021349230704965,0.5152570781831716
3,V,49,0.010425977176011252,0.015568651954051438,0.5108728816245514
3,AAPL,78,0.006509012910906345,0.012740142066803184,0.5077030070506949
3,NFLX,77,0.006157787585817148,0.005105621038056007,0.4741496441079204
3,MSFT,52,0.007927502165163065,0.012461123982797973,0.4122301125884794
