Year,N,Tickers,Dates,Gap_Mean,Gap_Median
2018,250,43,88,-0.03544408660687391,-0.02698683221421827
2019,205,41,83,-0.03375868900293372,-0.027803122260388724
2020,906,47,103,-0.043236124473046235,-0.03251045797141461
2021,224,41,88,-0.030198359431597124,-0.025494939534631
2022,586,44,143,-0.03229099835057905,-0.026332078398431547
2023,191,44,94,-0.03360057615656251,-0.027719228628126702
2024,247,45,110,-0.03924603551546941,-0.028850814259384072
2025,402,46,109,-0.03721099112471468,-0.029868353645705614
